	Twet	Load	Hour(s)	TimeStamp(s)
2012-01-05 09:00:00	0.2	446.2	32400	1325754000
2012-01-05 10:00:00	1.5	58.2	36000	1325757600
2012-01-05 11:00:00	2.3	446.2	39600	1325761200
2012-01-05 12:00:00	2.6	436.5	43200	1325764800
2012-01-05 13:00:00	2.5	436.5	46800	1325768400
2012-01-05 14:00:00	2.3	436.5	50400	1325772000
2012-01-05 15:00:00	2.3	58.2	54000	1325775600
2012-01-05 16:00:00	1.0	58.2	57600	1325779200
2012-01-05 17:00:00	-0.3	58.2	61200	1325782800
2012-01-05 18:00:00	-1.2	58.2	64800	1325786400
2012-01-05 19:00:00	-1.9	58.2	68400	1325790000
2012-01-05 20:00:00	-1.9	58.2	72000	1325793600
2012-01-05 21:00:00	-2.2	58.2	75600	1325797200
2012-01-05 22:00:00	-2.9	58.2	79200	1325800800
2012-01-05 23:00:00	-3.3	58.2	82800	1325804400
2012-01-06 00:00:00	-2.9	58.2	0	1325808000
2012-01-06 01:00:00	-3.3	58.2	3600	1325811600
2012-01-06 02:00:00	-3.3	58.2	7200	1325815200
2012-01-06 03:00:00	-3.7	58.2	10800	1325818800
2012-01-06 04:00:00	-2.6	58.2	14400	1325822400
2012-01-06 05:00:00	-2.6	58.2	18000	1325826000
2012-01-06 06:00:00	-1.7	58.2	21600	1325829600
2012-01-06 07:00:00	-0.1	58.2	25200	1325833200
2012-01-06 08:00:00	1.3	58.2	28800	1325836800
2012-01-06 09:00:00	3.1	58.2	32400	1325840400
2012-01-06 10:00:00	4.9	58.2	36000	1325844000
2012-01-06 11:00:00	6.4	58.2	39600	1325847600
2012-01-06 12:00:00	7.5	58.2	43200	1325851200
2012-01-06 13:00:00	8.2	58.2	46800	1325854800
2012-01-06 14:00:00	8.0	58.2	50400	1325858400
2012-01-06 15:00:00	8.0	58.2	54000	1325862000
2012-01-06 16:00:00	7.4	58.2	57600	1325865600
2012-01-06 17:00:00	6.8	58.2	61200	1325869200
2012-01-06 18:00:00	6.4	58.2	64800	1325872800
2012-01-06 19:00:00	6.0	58.2	68400	1325876400
2012-01-06 20:00:00	5.4	58.2	72000	1325880000
2012-01-06 21:00:00	5.6	58.2	75600	1325883600
2012-01-06 22:00:00	4.1	58.2	79200	1325887200
2012-01-06 23:00:00	3.8	58.2	82800	1325890800
2012-01-07 00:00:00	2.0	58.2	0	1325894400
2012-01-07 01:00:00	3.2	58.2	3600	1325898000
2012-01-07 02:00:00	2.0	58.2	7200	1325901600
2012-01-07 03:00:00	0.8	58.2	10800	1325905200
2012-01-07 04:00:00	1.8	485.0	14400	1325908800
2012-01-07 05:00:00	0.5	475.3	18000	1325912400
2012-01-07 06:00:00	0.5	640.2	21600	1325916000
2012-01-07 07:00:00	-0.1	669.3000000000002	25200	1325919600
2012-01-07 08:00:00	3.7	640.2	28800	1325923200
2012-01-07 09:00:00	6.1	630.5	32400	1325926800
2012-01-07 10:00:00	6.8	58.2	36000	1325930400
2012-01-07 11:00:00	9.7	523.8000000000002	39600	1325934000
2012-01-07 12:00:00	9.7	582.0000000000001	43200	1325937600
2012-01-07 13:00:00	11.3	620.8000000000002	46800	1325941200
2012-01-07 14:00:00	11.3	611.1	50400	1325944800
2012-01-07 15:00:00	11.5	58.2	54000	1325948400
2012-01-07 16:00:00	10.3	58.2	57600	1325952000
2012-01-07 17:00:00	8.5	58.2	61200	1325955600
2012-01-07 18:00:00	8.1	58.2	64800	1325959200
