Date	Ind	Twet
2012/1/1	54	3.5
2012/1/1	154	3.5
2012/1/1	254	2.7
2012/1/1	354	1.3
2012/1/1	454	1.2
2012/1/1	554	-0.2
2012/1/1	654	0.3
2012/1/1	754	0.3
2012/1/1	854	4.3
2012/1/1	954	6.3
2012/1/1	1054	7.2
2012/1/1	1154	8.3
2012/1/1	1254	8.5
2012/1/1	1354	9
2012/1/1	1454	8.9
2012/1/1	1554	9.2
2012/1/1	1654	8.6
2012/1/1	1754	8.6
2012/1/1	1854	8.6
2012/1/1	1954	9.1
2012/1/1	2054	9.9
2012/1/1	2154	7.9
2012/1/1	2254	5.7
2012/1/1	2354	3.4
2012/1/2	54	2.9
2012/1/2	154	2.5
2012/1/2	254	1.8
2012/1/2	354	0.4
2012/1/2	454	-1.4
2012/1/2	554	-1.8
2012/1/2	654	-2.4
2012/1/2	754	-2.5
2012/1/2	854	-1.2
2012/1/2	954	-0.3
2012/1/2	1054	-0.2
2012/1/2	1154	-0.2
2012/1/2	1254	-0.4
2012/1/2	1354	-0.4
2012/1/2	1454	-0.4
2012/1/2	1554	-0.5
2012/1/2	1654	-0.7
2012/1/2	1754	-2
2012/1/2	1854	-2.3
2012/1/2	1954	-2
2012/1/2	2054	-2
2012/1/2	2154	-2.2
2012/1/2	2254	-3
2012/1/2	2354	-3.2
2012/1/3	54	-3.2
2012/1/3	154	-3.9
2012/1/3	254	-3.9
2012/1/3	354	-4.3
2012/1/3	454	-4.3
2012/1/3	554	-4.6
2012/1/3	654	-4.6
2012/1/3	754	-4.3
2012/1/3	854	-3.7
2012/1/3	954	-3.6
2012/1/3	1033	-4.8
2012/1/3	1054	-4
2012/1/3	1118	-4.3
2012/1/3	1154	-3.2
2012/1/3	1254	-4.8
2012/1/3	1354	-5.3
2012/1/3	1454	-4.8
2012/1/3	1554	-5.6
2012/1/3	1654	-6.2
2012/1/3	1754	-6.8
2012/1/3	1854	-7.3
2012/1/3	1954	-7.8
2012/1/3	2054	-7.8
2012/1/3	2154	-8.2
2012/1/3	2254	-9
2012/1/3	2354	-9.3
2012/1/4	54	-10.6
2012/1/4	154	-10.8
2012/1/4	254	-11.7
2012/1/4	354	-11.8
2012/1/4	454	-11.7
2012/1/4	554	-11.7
2012/1/4	654	-11.7
2012/1/4	754	-10.7
2012/1/4	854	-9.3
2012/1/4	954	-8.9
2012/1/4	1054	-7.9
2012/1/4	1154	-6.2
2012/1/4	1254	-5.1
2012/1/4	1354	-4.7
2012/1/4	1454	-4.3
2012/1/4	1554	-4.2
2012/1/4	1654	-4.4
2012/1/4	1754	-4.3
2012/1/4	1854	-4.2
2012/1/4	1954	-4.2
2012/1/4	2054	-3.7
2012/1/4	2131	-4.1
2012/1/4	2152	-3.2
2012/1/4	2154	-3
2012/1/4	2211	-2.8
2012/1/4	2254	-2.6
2012/1/4	2354	-2.8
2012/1/5	54	-3.3
2012/1/5	154	-4.2
2012/1/5	254	-3.7
2012/1/5	354	-3.1
2012/1/5	454	-2.8
2012/1/5	554	-2.6
2012/1/5	654	-2.2
2012/1/5	754	-1.7
2012/1/5	854	-1.4
2012/1/5	954	0.2
2012/1/5	1054	1.5
2012/1/5	1154	2.3
2012/1/5	1254	2.6
2012/1/5	1354	2.5
2012/1/5	1454	2.3
2012/1/5	1554	2.3
2012/1/5	1654	1
2012/1/5	1754	-0.3
2012/1/5	1854	-1.2
2012/1/5	1954	-1.9
2012/1/5	2054	-1.9
2012/1/5	2154	-2.2
2012/1/5	2254	-2.9
2012/1/5	2354	-3.3
2012/1/6	54	-2.9
2012/1/6	154	-3.3
2012/1/6	254	-3.3
2012/1/6	354	-3.7
2012/1/6	454	-2.6
2012/1/6	554	-2.6
2012/1/6	654	-1.7
2012/1/6	754	-0.1
2012/1/6	854	1.3
2012/1/6	954	3.1
2012/1/6	1054	4.9
2012/1/6	1154	6.4
2012/1/6	1254	7.5
2012/1/6	1354	8.2
2012/1/6	1454	8
2012/1/6	1554	8
2012/1/6	1654	7.4
2012/1/6	1754	6.8
2012/1/6	1854	6.4
2012/1/6	1954	6
2012/1/6	2054	5.4
2012/1/6	2154	5.6
2012/1/6	2254	4.1
2012/1/6	2354	3.8
2012/1/7	54	2
2012/1/7	154	3.2
2012/1/7	254	2
2012/1/7	354	0.8
2012/1/7	454	1.8
2012/1/7	554	0.5
2012/1/7	654	0.5
2012/1/7	754	-0.1
2012/1/7	854	3.7
2012/1/7	954	6.1
2012/1/7	1054	6.8
2012/1/7	1154	9.7
2012/1/7	1254	9.7
2012/1/7	1354	11.3
2012/1/7	1454	11.3
2012/1/7	1554	11.5
2012/1/7	1654	10.3
2012/1/7	1754	8.5
