Date	Ind	Twet
2013/1/1	54	-0.3
2013/1/1	154	-0.2
2013/1/1	254	-0.5
2013/1/1	354	-0.1
2013/1/1	454	-0.1
2013/1/1	554	1.2
2013/1/1	654	2.2
2013/1/1	754	1.9
2013/1/1	854	1.9
2013/1/1	954	2.2
2013/1/1	1054	2.7
2013/1/1	1154	2.7
2013/1/1	1254	3
2013/1/1	1354	2.7
2013/1/1	1454	2.5
2013/1/1	1554	2.2
2013/1/1	1654	2.2
2013/1/1	1754	2.1
2013/1/1	1854	2.1
2013/1/1	1954	1.8
2013/1/1	2054	1.6
2013/1/1	2154	1.3
2013/1/1	2254	0.9
2013/1/1	2354	0.4
2013/1/2	54	0.1
2013/1/2	154	-0.5
2013/1/2	254	-1
2013/1/2	354	-1.5
2013/1/2	454	-1.7
2013/1/2	554	-2
2013/1/2	654	-2.5
2013/1/2	754	-2.9
2013/1/2	854	-2.7
2013/1/2	954	-2.1
2013/1/2	1054	-2.4
2013/1/2	1154	-2.2
2013/1/2	1254	-2.3
2013/1/2	1354	-2.7
2013/1/2	1454	-3
2013/1/2	1554	-2.5
2013/1/2	1654	-3.2
2013/1/2	1754	-3.7
2013/1/2	1854	-3.4
2013/1/2	1954	-3.9
2013/1/2	2054	-4.6
2013/1/2	2154	-4.5
2013/1/2	2254	-4.5
2013/1/2	2354	-4.5
2013/1/3	54	-4.5
2013/1/3	154	-4.7
2013/1/3	254	-4.4
2013/1/3	354	-4.6
2013/1/3	454	-5
2013/1/3	554	-5
2013/1/3	654	-6.1
2013/1/3	754	-6.5
2013/1/3	854	-5
2013/1/3	954	-3.9
2013/1/3	1054	-3.3
2013/1/3	1154	-2.5
2013/1/3	1254	-2.3
2013/1/3	1354	-1.2
2013/1/3	1454	-0.9
2013/1/3	1554	-1
2013/1/3	1654	-1.9
2013/1/3	1754	-3
2013/1/3	1854	-2.7
2013/1/3	1954	-2.9
2013/1/3	2054	-3.1
2013/1/3	2154	-3.4
2013/1/3	2254	-3.3
2013/1/3	2354	-3.8
2013/1/4	54	-4.5
2013/1/4	154	-4.2
2013/1/4	254	-3.4
2013/1/4	354	-3.1
2013/1/4	454	-5.8
2013/1/4	554	-2.9
2013/1/4	654	-2.9
2013/1/4	754	-2.9
2013/1/4	854	-1.2
2013/1/4	954	-1
2013/1/4	1054	-0.5
2013/1/4	1154	0.1
2013/1/4	1254	0.4
2013/1/4	1354	0.7
2013/1/4	1454	1
2013/1/4	1554	1
2013/1/4	1654	0
2013/1/4	1754	-0.3
2013/1/4	1854	-0.7
2013/1/4	1954	-1
2013/1/4	2054	-1
2013/1/4	2154	-1.3
2013/1/4	2254	-1.2
2013/1/4	2354	-0.8
2013/1/5	54	-1
2013/1/5	154	-1.7
2013/1/5	254	-1.7
2013/1/5	354	-1.7
2013/1/5	454	-1.3
2013/1/5	554	-1.7
2013/1/5	654	-1.9
2013/1/5	754	-2.6
2013/1/5	854	-1.2
2013/1/5	954	-0.1
2013/1/5	1054	0.1
2013/1/5	1154	0.7
2013/1/5	1254	1.2
2013/1/5	1354	1.2
2013/1/5	1454	1.7
2013/1/5	1554	1.4
2013/1/5	1654	0.6
2013/1/5	1754	-0.2
2013/1/5	1854	-0.3
2013/1/5	1954	-0.3
2013/1/5	2054	0.1
2013/1/5	2154	0.5
2013/1/5	2254	0.3
2013/1/5	2354	0.9
2013/1/6	54	1.1
2013/1/6	154	1.4
2013/1/6	254	1.3
2013/1/6	354	1.5
2013/1/6	454	0.8
2013/1/6	554	-0.4
2013/1/6	654	-2.2
2013/1/6	754	-1.3
2013/1/6	854	1.5
2013/1/6	954	3.1
2013/1/6	1054	3.2
2013/1/6	1154	4.2
2013/1/6	1254	4.5
2013/1/6	1354	4.1
2013/1/6	1454	4.3
2013/1/6	1554	4.2
2013/1/6	1654	3.8
2013/1/6	1754	3.8
2013/1/6	1854	3.5
2013/1/6	1954	3.5
2013/1/6	2054	3.3
2013/1/6	2154	3.2
2013/1/6	2254	3.2
2013/1/6	2354	2.7
2013/1/7	54	2.7
2013/1/7	154	2.1
2013/1/7	254	2.1
2013/1/7	354	2.2
2013/1/7	454	1.7
2013/1/7	554	2.2
2013/1/7	654	1.1
2013/1/7	754	1.4
2013/1/7	854	2.1
2013/1/7	954	2.5
2013/1/7	1054	2.8
2013/1/7	1154	3.4
2013/1/7	1254	3
2013/1/7	1354	3.3
2013/1/7	1454	3
2013/1/7	1554	2.3
2013/1/7	1654	1.7
2013/1/7	1754	1.1
2013/1/7	1854	-0.8
2013/1/7	1954	-1.5
2013/1/7	2054	-2.4
2013/1/7	2154	-3.1
2013/1/7	2254	-3.1
2013/1/7	2354	-3.1
2013/1/8	54	-3.6
2013/1/8	154	-4.4
2013/1/8	254	-3.5
2013/1/8	354	-4
2013/1/8	454	-3.6
2013/1/8	554	-4
2013/1/8	654	-3.8
2013/1/8	754	-3.5
2013/1/8	854	-1
2013/1/8	954	2.2
2013/1/8	1054	3.6
2013/1/8	1154	4.8
2013/1/8	1254	5.4
2013/1/8	1354	5.5
2013/1/8	1454	5.5
2013/1/8	1554	5.5
2013/1/8	1654	4.5
2013/1/8	1754	3.9
2013/1/8	1854	3.8
2013/1/8	1954	2.4
2013/1/8	2054	0.9
2013/1/8	2154	0.5
2013/1/8	2254	-0.8
2013/1/8	2354	-0.6
2013/1/9	54	-1.5
2013/1/9	154	-1.7
2013/1/9	254	-2
2013/1/9	354	-2.6
2013/1/9	454	-2.6
2013/1/9	554	-1.7
2013/1/9	654	-1.7
2013/1/9	754	-1.5
2013/1/9	854	1.6
2013/1/9	954	3
2013/1/9	1054	3.8
2013/1/9	1154	4.8
2013/1/9	1254	5.9
2013/1/9	1354	6.4
2013/1/9	1454	6.5
2013/1/9	1554	6.3
2013/1/9	1654	6.5
2013/1/9	1754	5.7
2013/1/9	1854	4.5
2013/1/9	1954	5.7
2013/1/9	2054	5.5
2013/1/9	2154	6
2013/1/9	2254	5.3
2013/1/9	2354	4.8
2013/1/10	54	4.2
2013/1/10	154	3.9
2013/1/10	254	2.9
2013/1/10	354	2.7
2013/1/10	454	2.2
2013/1/10	554	0.9
2013/1/10	654	0.6
2013/1/10	754	0.9
2013/1/10	854	2.9
2013/1/10	954	3.8
2013/1/10	1054	4.1
2013/1/10	1154	4.5
2013/1/10	1254	4.5
2013/1/10	1354	5
2013/1/10	1454	5.2
2013/1/10	1554	4.7
2013/1/10	1654	4.4
2013/1/10	1754	3.2
2013/1/10	1854	3.1
2013/1/10	1954	3.1
2013/1/10	2054	2.9
2013/1/10	2154	2.5
2013/1/10	2254	2.2
2013/1/10	2354	1.7
2013/1/11	54	2.1
2013/1/11	154	1.5
2013/1/11	254	0.3
2013/1/11	354	0.5
2013/1/11	454	0.9
2013/1/11	554	0.5
2013/1/11	654	0.9
2013/1/11	754	1.7
2013/1/11	854	2.4
2013/1/11	954	2.6
2013/1/11	1054	3.2
2013/1/11	1154	3.9
2013/1/11	1254	4.5
2013/1/11	1354	5
2013/1/11	1447	5.2
2013/1/11	1454	5.1
2013/1/11	1536	5.1
2013/1/11	1549	5.6
2013/1/11	1554	5.6
2013/1/11	1559	5.6
2013/1/11	1609	5.6
2013/1/11	1620	5.6
2013/1/11	1654	5.3
2013/1/11	1754	5.5
2013/1/11	1854	5.5
2013/1/11	1954	5.5
2013/1/11	2025	6.1
2013/1/11	2044	6.1
2013/1/11	2052	6.1
2013/1/11	2054	6.1
2013/1/11	2154	6.1
2013/1/11	2247	6.1
2013/1/11	2254	6.1
2013/1/11	2317	6.1
2013/1/11	2352	6.1
2013/1/11	2354	5.8
2013/1/12	54	5.5
2013/1/12	154	5.5
2013/1/12	254	5.5
2013/1/12	354	5.5
2013/1/12	454	5.8
2013/1/12	536	6.1
2013/1/12	554	5.8
