	Twet	Load	Hour(s)	TimeStamp(s)
2013-01-01 00:00:00	-0.3	873.0	0	1356998400
2013-01-01 01:00:00	-0.2	591.7	3600	1357002000
2013-01-01 02:00:00	-0.5	1134.9	7200	1357005600
2013-01-01 03:00:00	-0.1	1125.2	10800	1357009200
2013-01-01 04:00:00	-0.1	1134.9	14400	1357012800
2013-01-01 05:00:00	1.2	1144.6	18000	1357016400
2013-01-01 06:00:00	2.2	1173.7	21600	1357020000
2013-01-01 07:00:00	1.9	1270.7	25200	1357023600
2013-01-01 08:00:00	1.9	1338.6	28800	1357027200
2013-01-01 09:00:00	2.2	1231.9	32400	1357030800
2013-01-01 10:00:00	2.7	1503.5000000000002	36000	1357034400
2013-01-01 11:00:00	2.7	1348.3000000000004	39600	1357038000
2013-01-01 12:00:00	3.0	1377.4	43200	1357041600
2013-01-01 13:00:00	2.7	1367.6999999999996	46800	1357045200
2013-01-01 14:00:00	2.5	1367.6999999999996	50400	1357048800
2013-01-01 15:00:00	2.2	1425.9	54000	1357052400
2013-01-01 16:00:00	2.2	1445.3	57600	1357056000
2013-01-01 17:00:00	2.1	1416.1999999999996	61200	1357059600
2013-01-01 18:00:00	2.1	1387.1	64800	1357063200
2013-01-01 19:00:00	1.8	1357.9999999999998	68400	1357066800
2013-01-01 20:00:00	1.6	1231.9	72000	1357070400
2013-01-01 21:00:00	1.3	1348.3000000000004	75600	1357074000
2013-01-01 22:00:00	0.9	1338.6	79200	1357077600
2013-01-01 23:00:00	0.4	1309.5	82800	1357081200
2013-01-02 00:00:00	0.1	1299.8000000000004	0	1357084800
2013-01-02 01:00:00	-0.5	1241.6	3600	1357088400
2013-01-02 02:00:00	-1.0	1231.9	7200	1357092000
2013-01-02 03:00:00	-1.5	58.2	10800	1357095600
2013-01-02 04:00:00	-1.7	1581.1	14400	1357099200
2013-01-02 05:00:00	-2.0	1241.6	18000	1357102800
2013-01-02 06:00:00	-2.5	58.2	21600	1357106400
2013-01-02 07:00:00	-2.9	1309.5	25200	1357110000
2013-01-02 08:00:00	-2.7	1416.1999999999996	28800	1357113600
2013-01-02 09:00:00	-2.1	1241.5999999999995	32400	1357117200
2013-01-02 10:00:00	-2.4	1484.1	36000	1357120800
2013-01-02 11:00:00	-2.2	1445.3	39600	1357124400
2013-01-02 12:00:00	-2.3	1474.4	43200	1357128000
2013-01-02 13:00:00	-2.7	1513.2	46800	1357131600
2013-01-02 14:00:00	-3.0	1542.3000000000004	50400	1357135200
2013-01-02 15:00:00	-2.5	1571.4	54000	1357138800
2013-01-02 16:00:00	-3.2	1571.4	57600	1357142400
2013-01-02 17:00:00	-3.7	1513.2	61200	1357146000
2013-01-02 18:00:00	-3.4	1425.9	64800	1357149600
2013-01-02 19:00:00	-3.9	1309.5	68400	1357153200
2013-01-02 20:00:00	-4.6	1251.3	72000	1357156800
2013-01-02 21:00:00	-4.5	1251.3	75600	1357160400
2013-01-02 22:00:00	-4.5	1222.2000000000005	79200	1357164000
2013-01-02 23:00:00	-4.5	1202.8000000000004	82800	1357167600
2013-01-03 00:00:00	-4.5	1164.0000000000002	0	1357171200
2013-01-03 01:00:00	-4.7	1241.5999999999995	3600	1357174800
2013-01-03 02:00:00	-4.4	1241.5999999999995	7200	1357178400
2013-01-03 03:00:00	-4.6	1280.4	10800	1357182000
2013-01-03 04:00:00	-5.0	1309.5	14400	1357185600
2013-01-03 05:00:00	-5.0	1328.9	18000	1357189200
2013-01-03 06:00:00	-6.1	1348.3000000000004	21600	1357192800
2013-01-03 07:00:00	-6.5	1387.1	25200	1357196400
2013-01-03 08:00:00	-5.0	1445.3	28800	1357200000
2013-01-03 09:00:00	-3.9	1416.1999999999996	32400	1357203600
2013-01-03 10:00:00	-3.3	1484.1	36000	1357207200
2013-01-03 11:00:00	-2.5	1503.5000000000002	39600	1357210800
2013-01-03 12:00:00	-2.3	1455.0	43200	1357214400
2013-01-03 13:00:00	-1.2	1377.4	46800	1357218000
2013-01-03 14:00:00	-0.9	1435.6	50400	1357221600
2013-01-03 15:00:00	-1.0	1445.3	54000	1357225200
2013-01-03 16:00:00	-1.9	1445.3	57600	1357228800
2013-01-03 17:00:00	-3.0	1416.1999999999996	61200	1357232400
2013-01-03 18:00:00	-2.7	1396.8	64800	1357236000
2013-01-03 19:00:00	-2.9	1338.6	68400	1357239600
2013-01-03 20:00:00	-3.1	1396.8	72000	1357243200
2013-01-03 21:00:00	-3.4	1357.9999999999998	75600	1357246800
2013-01-03 22:00:00	-3.3	1338.6	79200	1357250400
2013-01-03 23:00:00	-3.8	1590.8000000000004	82800	1357254000
2013-01-04 00:00:00	-4.5	1338.6	0	1357257600
2013-01-04 01:00:00	-4.2	1387.1	3600	1357261200
2013-01-04 02:00:00	-3.4	1377.4	7200	1357264800
2013-01-04 03:00:00	-3.1	1357.9999999999998	10800	1357268400
2013-01-04 04:00:00	-5.8	1319.2	14400	1357272000
2013-01-04 05:00:00	-2.9	1299.8000000000004	18000	1357275600
2013-01-04 06:00:00	-2.9	1299.8000000000004	21600	1357279200
2013-01-04 07:00:00	-2.9	1338.6	25200	1357282800
2013-01-04 08:00:00	-1.2	1396.8	28800	1357286400
2013-01-04 09:00:00	-1.0	1144.6	32400	1357290000
2013-01-04 10:00:00	-0.5	1319.2	36000	1357293600
2013-01-04 11:00:00	0.1	1338.6	39600	1357297200
2013-01-04 12:00:00	0.4	1338.6	43200	1357300800
2013-01-04 13:00:00	0.7	1338.6	46800	1357304400
2013-01-04 14:00:00	1.0	1377.4	50400	1357308000
2013-01-04 15:00:00	1.0	1387.1	54000	1357311600
2013-01-04 16:00:00	0.0	1377.4	57600	1357315200
2013-01-04 17:00:00	-0.3	1338.6	61200	1357318800
2013-01-04 18:00:00	-0.7	1280.4	64800	1357322400
2013-01-04 19:00:00	-1.0	1222.2000000000005	68400	1357326000
2013-01-04 20:00:00	-1.0	1134.9	72000	1357329600
2013-01-04 21:00:00	-1.3	1183.4	75600	1357333200
2013-01-04 22:00:00	-1.2	1183.4	79200	1357336800
2013-01-04 23:00:00	-0.8	1193.1	82800	1357340400
2013-01-05 00:00:00	-1.0	1183.4	0	1357344000
2013-01-05 01:00:00	-1.7	1134.9	3600	1357347600
2013-01-05 02:00:00	-1.7	1134.9	7200	1357351200
2013-01-05 03:00:00	-1.7	1164.0000000000002	10800	1357354800
2013-01-05 04:00:00	-1.3	1164.0000000000002	14400	1357358400
2013-01-05 05:00:00	-1.7	1183.4	18000	1357362000
2013-01-05 06:00:00	-1.9	1202.8000000000004	21600	1357365600
2013-01-05 07:00:00	-2.6	1270.7	25200	1357369200
2013-01-05 08:00:00	-1.2	1299.7999999999995	28800	1357372800
2013-01-05 09:00:00	-0.1	1328.9	32400	1357376400
2013-01-05 10:00:00	0.1	1396.8	36000	1357380000
2013-01-05 11:00:00	0.7	1474.4	39600	1357383600
2013-01-05 12:00:00	1.2	1484.1	43200	1357387200
2013-01-05 13:00:00	1.2	1464.6999999999996	46800	1357390800
2013-01-05 14:00:00	1.7	1503.5000000000002	50400	1357394400
2013-01-05 15:00:00	1.4	1484.1	54000	1357398000
2013-01-05 16:00:00	0.6	1425.9	57600	1357401600
2013-01-05 17:00:00	-0.2	1348.3000000000004	61200	1357405200
2013-01-05 18:00:00	-0.3	1290.1	64800	1357408800
2013-01-05 19:00:00	-0.3	1270.7	68400	1357412400
2013-01-05 20:00:00	0.1	1309.5	72000	1357416000
2013-01-05 21:00:00	0.5	1309.5	75600	1357419600
2013-01-05 22:00:00	0.3	1319.2	79200	1357423200
2013-01-05 23:00:00	0.9	1319.2	82800	1357426800
2013-01-06 00:00:00	1.1	785.7	0	1357430400
2013-01-06 01:00:00	1.4	1299.8000000000004	3600	1357434000
2013-01-06 02:00:00	1.3	1299.8000000000004	7200	1357437600
2013-01-06 03:00:00	1.5	1299.8000000000004	10800	1357441200
2013-01-06 04:00:00	0.8	1299.8000000000004	14400	1357444800
2013-01-06 05:00:00	-0.4	1290.1	18000	1357448400
2013-01-06 06:00:00	-2.2	1299.8000000000004	21600	1357452000
2013-01-06 07:00:00	-1.3	1328.9	25200	1357455600
2013-01-06 08:00:00	1.5	1377.4	28800	1357459200
2013-01-06 09:00:00	3.1	1183.4	32400	1357462800
2013-01-06 10:00:00	3.2	1309.5	36000	1357466400
2013-01-06 11:00:00	4.2	1299.7999999999995	39600	1357470000
2013-01-06 12:00:00	4.5	1338.6	43200	1357473600
2013-01-06 13:00:00	4.1	1367.7	46800	1357477200
2013-01-06 14:00:00	4.3	1348.3000000000004	50400	1357480800
2013-01-06 15:00:00	4.2	1377.4	54000	1357484400
2013-01-06 16:00:00	3.8	1396.8	57600	1357488000
2013-01-06 17:00:00	3.8	1367.7	61200	1357491600
2013-01-06 18:00:00	3.5	1367.7	64800	1357495200
2013-01-06 19:00:00	3.5	1328.9	68400	1357498800
2013-01-06 20:00:00	3.3	1164.0000000000002	72000	1357502400
2013-01-06 21:00:00	3.2	1309.5	75600	1357506000
2013-01-06 22:00:00	3.2	1299.7999999999995	79200	1357509600
2013-01-06 23:00:00	2.7	1290.1	82800	1357513200
2013-01-07 00:00:00	2.7	1280.4	0	1357516800
2013-01-07 01:00:00	2.1	1164.0000000000002	3600	1357520400
2013-01-07 02:00:00	2.1	1144.6	7200	1357524000
2013-01-07 03:00:00	2.2	1154.3	10800	1357527600
2013-01-07 04:00:00	1.7	1164.0000000000002	14400	1357531200
2013-01-07 05:00:00	2.2	1164.0000000000002	18000	1357534800
2013-01-07 06:00:00	1.1	1183.4	21600	1357538400
2013-01-07 07:00:00	1.4	1222.2000000000005	25200	1357542000
2013-01-07 08:00:00	2.1	1270.7	28800	1357545600
2013-01-07 09:00:00	2.5	1357.9999999999998	32400	1357549200
2013-01-07 10:00:00	2.8	1435.6	36000	1357552800
2013-01-07 11:00:00	3.4	1484.1	39600	1357556400
2013-01-07 12:00:00	3.0	1474.4	43200	1357560000
2013-01-07 13:00:00	3.3	1552.0	46800	1357563600
2013-01-07 14:00:00	3.0	1532.6	50400	1357567200
2013-01-07 15:00:00	2.3	58.2	54000	1357570800
2013-01-07 16:00:00	1.7	58.2	57600	1357574400
2013-01-07 17:00:00	1.1	58.2	61200	1357578000
2013-01-07 18:00:00	-0.8	1008.8	64800	1357581600
2013-01-07 19:00:00	-1.5	999.1	68400	1357585200
2013-01-07 20:00:00	-2.4	1299.8000000000004	72000	1357588800
2013-01-07 22:00:00	-3.1	999.1	79200	1357596000
2013-01-07 23:00:00	-3.1	999.1	82800	1357599600
2013-01-08 00:00:00	-3.6	999.1	0	1357603200
2013-01-08 01:00:00	-4.4	1299.8000000000004	3600	1357606800
2013-01-08 02:00:00	-3.5	1503.5000000000002	7200	1357610400
2013-01-08 03:00:00	-4.0	1299.8000000000004	10800	1357614000
2013-01-08 04:00:00	-3.6	1280.4	14400	1357617600
2013-01-08 05:00:00	-4.0	1338.6	18000	1357621200
2013-01-08 06:00:00	-3.8	1357.9999999999998	21600	1357624800
2013-01-08 07:00:00	-3.5	1387.1	25200	1357628400
2013-01-08 08:00:00	-1.0	1416.1999999999996	28800	1357632000
2013-01-08 09:00:00	2.2	1270.7	32400	1357635600
2013-01-08 10:00:00	3.6	1406.5000000000002	36000	1357639200
