	Power	Date	PowerL	TsetL
2012-01-04 06:00:00	2190.0	4/1/2012 6:00	129829	15.11
2012-01-04 07:00:00	2191.0	4/1/2012 7:00	132343	15.11
2012-01-04 08:00:00	2192.0	4/1/2012 8:00	133660	15.11
2012-01-04 09:00:00	2193.0	4/1/2012 9:00	129718	15.11
2012-01-04 10:00:00	2194.0	4/1/2012 10:00	130952	15.11
2012-01-04 11:00:00	2195.0	4/1/2012 11:00	134328	15.11
2012-01-04 12:00:00	2196.0	4/1/2012 12:00	135172	15.11
2012-01-04 13:00:00	2197.0	4/1/2012 13:00	136215	15.11
2012-01-04 14:00:00	2198.0	4/1/2012 14:00	136313	15.11
2012-01-04 15:00:00	2199.0	4/1/2012 15:00	138814	15.11
2012-01-04 16:00:00	2200.0	4/1/2012 16:00	137725	15.11
2012-01-04 17:00:00	2201.0	4/1/2012 17:00	138814	15.11
2012-01-04 18:00:00	2202.0	4/1/2012 18:00	141787	15.11
2012-01-04 19:00:00	2203.0	4/1/2012 19:00	139841	15.11
2012-01-04 20:00:00	2204.0	4/1/2012 20:00	139139	15.11
2012-01-04 21:00:00	2205.0	4/1/2012 21:00	137203	15.11
2012-01-04 22:00:00	2206.0	4/1/2012 22:00	132140	15.11
2012-01-04 23:00:00	2207.0	4/1/2012 23:00	135454	15.11
2012-01-05 00:00:00	2904.0	5/1/2012 0:00	140694	15.11
2012-01-05 01:00:00	2905.0	5/1/2012 1:00	314357	16.11
2012-01-05 02:00:00	2906.0	5/1/2012 2:00	225267	17.11
2012-01-05 03:00:00	2907.0	5/1/2012 3:00	238430	17.11
2012-01-05 04:00:00	2908.0	5/1/2012 4:00	249230	18.11
2012-01-05 05:00:00	2909.0	5/1/2012 5:00	270224	18.11
2012-01-05 06:00:00	2910.0	5/1/2012 6:00	312611	19.11
2012-01-05 07:00:00	2911.0	5/1/2012 7:00	443362	20.11
2012-01-05 08:00:00	2912.0	5/1/2012 8:00	515032	22.11
2012-01-05 09:00:00	2913.0	5/1/2012 9:00	528763	22.11
2012-01-05 10:00:00	2914.0	5/1/2012 10:00	181605	22.11
2012-01-05 11:00:00	2915.0	5/1/2012 11:00	588302	23.11
2012-01-05 12:00:00	2916.0	5/1/2012 12:00	592130	23.11
2012-01-05 13:00:00	2917.0	5/1/2012 13:00	596046	23.11
2012-01-05 14:00:00	2918.0	5/1/2012 14:00	594757	22.11
2012-01-05 15:00:00	2919.0	5/1/2012 15:00	581562	23.11
2012-01-05 16:00:00	2920.0	5/1/2012 16:00	519422	22.11
2012-01-05 17:00:00	2921.0	5/1/2012 17:00	249153	22.11
2012-01-05 18:00:00	2922.0	5/1/2012 18:00	201033	21.11
2012-01-05 19:00:00	2923.0	5/1/2012 19:00	198461	21.11
2012-01-05 20:00:00	2924.0	5/1/2012 20:00	196337	21.11
