	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	month
2011-06-01 00:00:00	22.9	601.4	0	1306886400	307575	25.11	6
2011-06-01 01:00:00	22.7	58.2	3600	1306890000	51218	24.11	6
2011-06-01 02:00:00	22.9	58.2	7200	1306893600	51486	25.11	6
2011-06-01 03:00:00	22.2	58.2	10800	1306897200	50571	24.11	6
2011-06-01 04:00:00	22.2	58.2	14400	1306900800	50571	24.11	6
2011-06-01 05:00:00	22.9	58.2	18000	1306904400	51486	25.11	6
2011-06-01 06:00:00	23.9	58.2	21600	1306908000	52388	26.11	6
2011-06-01 07:00:00	24.9	58.2	25200	1306911600	53533	26.11	6
2011-06-01 08:00:00	25.2	58.2	28800	1306915200	54555	26.11	6
2011-06-01 09:00:00	25.6	858.45	32400	1306918800	512998	25.11	6
2011-06-01 10:00:00	25.4	1294.95	36000	1306922400	743576	25.11	6
2011-06-01 11:00:00	25.3	620.8	39600	1306926000	354386	25.11	6
2011-06-01 12:00:00	24.8	737.2	43200	1306929600	422628	26.11	6
2011-06-01 13:00:00	25.2	805.1	46800	1306933200	460902	26.11	6
2011-06-01 14:00:00	24.7	1086.4	50400	1306936800	577060	26.11	6
2011-06-01 15:00:00	24.7	1125.2	54000	1306940400	599943	26.11	6
2011-06-01 16:00:00	24.2	1144.6	57600	1306944000	595226	26.11	6
2011-06-01 17:00:00	24.4	1096.1	61200	1306947600	571948	26.11	6
2011-06-01 18:00:00	23.8	1057.3	64800	1306951200	540324	26.11	6
2011-06-01 19:00:00	23.7	1018.5	68400	1306954800	519257	26.11	6
2011-06-01 20:00:00	23.2	887.55	72000	1306958400	454890	26.11	6
2011-06-01 21:00:00	21.5	708.1	75600	1306962000	366872	24.11	6
2011-06-01 22:00:00	19.4	688.7	79200	1306965600	338693	22.11	6
2011-06-01 23:00:00	17.4	679.0	82800	1306969200	317183	20.11	6
2011-06-02 00:00:00	16.2	669.3	0	1306972800	301189	19.11	6
2011-06-02 01:00:00	15.9	858.45	3600	1306976400	368475	18.11	6
2011-06-02 02:00:00	15.7	873.0	7200	1306980000	370456	18.11	6
2011-06-02 03:00:00	14.7	931.2	10800	1306983600	379255	17.11	6
2011-06-02 04:00:00	14.6	873.0	14400	1306987200	354569	17.11	6
2011-06-02 05:00:00	15.9	887.55	18000	1306990800	379875	18.11	6
2011-06-02 06:00:00	15.9	902.1	21600	1306994400	385725	18.11	6
2011-06-02 07:00:00	14.7	931.2	25200	1306998000	379255	17.11	6
2011-06-02 08:00:00	15.3	974.85	28800	1307001600	405576	18.11	6
2011-06-02 09:00:00	15.8	620.8	32400	1307005200	283306	15.11	6
2011-06-02 10:00:00	16.0	1474.4	36000	1307008800	682038	19.11	6
2011-06-02 11:00:00	16.6	1532.6	39600	1307012400	749175	16.11	6
2011-06-02 12:00:00	16.3	1561.7	43200	1307016000	761639	16.11	6
2011-06-02 13:00:00	15.8	1532.6	46800	1307019600	732312	15.11	6
2011-06-02 14:00:00	15.6	1532.6	50400	1307023200	728040	15.11	6
2011-06-02 15:00:00	15.8	1464.7	54000	1307026800	690379	15.11	6
2011-06-02 16:00:00	15.5	1377.4	57600	1307030400	633453	15.11	6
2011-06-02 17:00:00	14.5	1367.7	61200	1307034000	590699	18.11	6
2011-06-02 18:00:00	14.3	999.1	64800	1307037600	400375	17.11	6
2011-06-02 19:00:00	13.6	679.0	68400	1307041200	283666	17.11	6
2011-06-02 20:00:00	13.4	669.3	72000	1307044800	276915	17.11	6
2011-06-02 21:00:00	12.4	572.3	75600	1307048400	217893	15.11	6
2011-06-02 22:00:00	12.4	572.3	79200	1307052000	217893	15.11	6
2011-06-02 23:00:00	12.4	543.2	82800	1307055600	204213	15.11	6
2011-06-03 00:00:00	12.0	543.2	0	1307059200	200022	15.11	6
2011-06-03 01:00:00	10.7	669.3	3600	1307062800	252620	15.11	6
2011-06-03 02:00:00	10.5	1571.4	7200	1307066400	515280	15.11	6
2011-06-03 03:00:00	9.4	1377.4	10800	1307070000	517848	15.11	6
2011-06-03 04:00:00	9.4	58.2	14400	1307073600	35675	15.11	6
2011-06-03 05:00:00	11.0	1358.0	18000	1307077200	518601	15.11	6
2011-06-03 06:00:00	12.0	1930.3	21600	1307080800	746568	15.11	6
2011-06-03 07:00:00	11.8	1455.0	25200	1307084400	587129	15.11	6
2011-06-03 08:00:00	12.7	1542.3	28800	1307088000	577147	15.11	6
2011-06-03 09:00:00	12.8	669.3	32400	1307091600	270276	16.11	6
2011-06-03 10:00:00	13.2	805.1	36000	1307095200	310466	16.11	6
2011-06-03 11:00:00	13.3	892.4	39600	1307098800	342086	16.11	6
2011-06-03 12:00:00	13.7	950.6	43200	1307102400	372390	16.11	6
2011-06-03 13:00:00	14.7	999.1	46800	1307106000	408015	17.11	6
2011-06-03 14:00:00	14.4	1411.35	50400	1307109600	614989	18.11	6
2011-06-03 15:00:00	14.4	1484.1	54000	1307113200	659254	18.11	6
2011-06-03 16:00:00	14.3	58.2	57600	1307116800	39237	16.11	6
2011-06-03 17:00:00	13.9	58.2	61200	1307120400	38441	16.11	6
2011-06-03 18:00:00	13.4	1484.1	64800	1307124000	638662	17.11	6
2011-06-03 19:00:00	12.7	1265.85	68400	1307127600	499803	16.11	6
2011-06-03 20:00:00	12.2	649.9	72000	1307131200	254805	15.11	6
2011-06-03 21:00:00	12.2	1164.0	75600	1307134800	440154	15.11	6
2011-06-03 22:00:00	11.2	1134.9	79200	1307138400	411433	15.11	6
2011-06-03 23:00:00	12.0	1120.35	82800	1307142000	415396	15.11	6
2011-06-04 00:00:00	11.2	1076.7	0	1307145600	386319	15.11	6
2011-06-04 01:00:00	10.7	640.2	3600	1307149200	237824	15.11	6
2011-06-04 02:00:00	10.7	659.6	7200	1307152800	247608	15.11	6
2011-06-04 03:00:00	9.9	669.3	10800	1307156400	249983	15.11	6
2011-06-04 04:00:00	10.2	649.9	14400	1307160000	240991	15.11	6
2011-06-04 05:00:00	11.2	649.9	18000	1307163600	245266	15.11	6
2011-06-04 06:00:00	13.5	698.4	21600	1307167200	294028	17.11	6
2011-06-04 07:00:00	13.1	659.6	25200	1307170800	268080	16.11	6
2011-06-04 08:00:00	13.6	1076.7	28800	1307174400	425319	16.11	6
2011-06-04 09:00:00	14.3	523.8	32400	1307178000	210746	17.11	6
2011-06-04 10:00:00	14.7	970.0	36000	1307181600	395434	17.11	6
2011-06-04 11:00:00	15.6	58.2	39600	1307185200	41545	17.11	6
2011-06-04 12:00:00	15.6	1474.4	43200	1307188800	692097	15.11	6
2011-06-04 13:00:00	16.2	785.7	46800	1307192400	382918	16.11	6
2011-06-04 14:00:00	15.5	1416.2	50400	1307196000	655592	15.11	6
2011-06-04 15:00:00	15.8	58.2	54000	1307199600	41948	18.11	6
2011-06-04 16:00:00	16.3	1367.7	57600	1307203200	621683	19.11	6
2011-06-04 17:00:00	16.4	58.2	61200	1307206800	42848	18.11	6
2011-06-04 18:00:00	15.9	1202.8	64800	1307210400	549065	15.11	6
2011-06-04 19:00:00	15.9	620.8	68400	1307214000	284229	15.11	6
2011-06-04 20:00:00	15.7	552.9	72000	1307217600	236159	18.11	6
2011-06-04 21:00:00	16.3	572.3	75600	1307221200	249269	19.11	6
2011-06-04 22:00:00	16.6	543.2	79200	1307224800	237550	19.11	6
2011-06-04 23:00:00	16.9	533.5	82800	1307228400	251482	16.11	6
2011-06-05 00:00:00	16.2	543.2	0	1307232000	234434	19.11	6
2011-06-05 01:00:00	17.1	523.8	3600	1307235600	232247	20.11	6
2011-06-05 02:00:00	16.4	882.7	7200	1307239200	384296	19.11	6
2011-06-05 03:00:00	16.4	766.3	10800	1307242800	372503	16.11	6
2011-06-05 04:00:00	16.4	727.5	14400	1307246400	348376	16.11	6
2011-06-05 05:00:00	16.4	708.1	18000	1307250000	326873	19.11	6
2011-06-05 06:00:00	17.0	688.7	21600	1307253600	319556	20.11	6
2011-06-05 07:00:00	16.2	776.0	25200	1307257200	368788	19.11	6
2011-06-05 08:00:00	16.7	853.6	28800	1307260800	376567	19.11	6
2011-06-05 09:00:00	17.2	1047.6	32400	1307264400	465373	20.11	6
2011-06-05 10:00:00	17.6	989.4	36000	1307268000	443737	20.11	6
2011-06-05 11:00:00	17.8	1149.45	39600	1307271600	525021	20.11	6
2011-06-05 12:00:00	18.8	1338.6	43200	1307275200	672945	18.11	6
2011-06-05 13:00:00	18.7	1338.6	46800	1307278800	644513	21.11	6
2011-06-05 14:00:00	19.5	1411.35	50400	1307282400	701236	22.11	6
2011-06-05 15:00:00	20.2	1455.0	54000	1307286000	740929	23.11	6
2011-06-05 16:00:00	20.0	1455.0	57600	1307289600	738471	23.11	6
2011-06-05 17:00:00	20.2	1425.9	61200	1307293200	721227	23.11	6
2011-06-05 18:00:00	19.6	1324.05	64800	1307296800	647540	22.11	6
2011-06-05 19:00:00	19.0	1236.75	68400	1307300400	587981	22.11	6
2011-06-05 20:00:00	18.8	1018.5	72000	1307304000	472467	21.11	6
2011-06-05 21:00:00	18.4	1120.35	75600	1307307600	516262	21.11	6
2011-06-05 22:00:00	18.8	1076.7	79200	1307311200	500594	21.11	6
2011-06-05 23:00:00	18.7	1033.05	82800	1307314800	477699	21.11	6
2011-06-06 00:00:00	18.5	1003.95	0	1307318400	461677	21.11	6
2011-06-06 01:00:00	17.9	989.4	3600	1307322000	448892	20.11	6
2011-06-06 02:00:00	17.4	989.4	7200	1307325600	441321	20.11	6
2011-06-06 03:00:00	16.8	931.2	10800	1307329200	408919	19.11	6
2011-06-06 04:00:00	16.8	945.75	14400	1307332800	415049	19.11	6
2011-06-06 05:00:00	17.4	974.85	18000	1307336400	435026	20.11	6
2011-06-06 06:00:00	18.8	829.35	21600	1307340000	392646	21.11	6
2011-06-06 07:00:00	19.6	974.85	25200	1307343600	461304	22.11	6
2011-06-06 08:00:00	19.1	1280.4	28800	1307347200	613938	22.11	6
2011-06-06 09:00:00	18.8	543.2	32400	1307350800	252722	21.11	6
2011-06-06 10:00:00	19.3	572.3	36000	1307354400	270355	22.11	6
2011-06-06 11:00:00	18.9	582.0	39600	1307358000	273853	22.11	6
2011-06-06 12:00:00	18.8	591.7	43200	1307361600	278200	21.11	6
2011-06-06 13:00:00	18.1	630.5	46800	1307365200	294018	21.11	6
2011-06-06 14:00:00	18.5	562.6	50400	1307368800	260033	21.11	6
2011-06-06 15:00:00	19.2	552.9	54000	1307372400	259964	22.11	6
2011-06-06 16:00:00	19.1	514.1	57600	1307376000	240885	22.11	6
2011-06-06 17:00:00	19.4	485.0	61200	1307379600	228721	22.11	6
2011-06-06 18:00:00	19.2	475.3	64800	1307383200	223874	22.11	6
2011-06-06 19:00:00	18.5	446.2	68400	1307386800	207140	21.11	6
2011-06-06 20:00:00	17.8	543.2	72000	1307390400	246412	20.11	6
2011-06-06 21:00:00	17.3	446.2	75600	1307394000	200256	20.11	6
2011-06-06 22:00:00	17.1	446.2	79200	1307397600	199630	20.11	6
2011-06-06 23:00:00	16.8	446.2	82800	1307401200	196536	19.11	6
2011-06-07 00:00:00	16.3	436.5	0	1307404800	189900	19.11	6
2011-06-07 01:00:00	16.1	533.5	3600	1307408400	229368	19.11	6
2011-06-07 02:00:00	15.6	552.9	7200	1307412000	234975	18.11	6
2011-06-07 03:00:00	14.9	591.7	10800	1307415600	248194	18.11	6
2011-06-07 04:00:00	15.1	552.9	14400	1307419200	230598	18.11	6
2011-06-07 05:00:00	16.4	543.2	18000	1307422800	235809	19.11	6
2011-06-07 06:00:00	19.0	533.5	21600	1307426400	249755	22.11	6
2011-06-07 07:00:00	19.7	543.2	25200	1307430000	257828	22.11	6
2011-06-07 08:00:00	20.4	552.9	28800	1307433600	266808	23.11	6
2011-06-07 09:00:00	20.4	1018.5	32400	1307437200	490466	23.11	6
2011-06-07 10:00:00	19.9	945.75	36000	1307440800	451975	22.11	6
2011-06-07 11:00:00	20.1	1222.2	39600	1307444400	594171	23.11	6
2011-06-07 12:00:00	20.3	1309.5	43200	1307448000	647712	23.11	6
2011-06-07 13:00:00	20.7	1425.9	46800	1307451600	729925	23.11	6
2011-06-07 14:00:00	21.4	1484.1	50400	1307455200	779765	24.11	6
2011-06-07 15:00:00	20.9	1469.55	54000	1307458800	790658	20.11	6
2011-06-07 16:00:00	21.3	1484.1	57600	1307462400	778286	24.11	6
2011-06-07 17:00:00	21.3	1440.45	61200	1307466000	747559	24.11	6
2011-06-07 18:00:00	21.3	1353.15	64800	1307469600	688980	24.11	6
2011-06-07 19:00:00	20.7	1193.1	68400	1307473200	584515	23.11	6
2011-06-07 20:00:00	20.5	989.4	72000	1307476800	477638	23.11	6
2011-06-07 21:00:00	20.1	1062.15	75600	1307480400	509575	23.11	6
2011-06-07 22:00:00	20.0	1047.6	79200	1307484000	501572	22.11	6
2011-06-07 23:00:00	19.4	1033.05	82800	1307487600	486173	22.11	6
2011-06-08 00:00:00	19.5	1033.05	0	1307491200	487100	22.11	6
2011-06-08 01:00:00	19.3	974.85	3600	1307494800	458879	22.11	6
2011-06-08 02:00:00	19.1	989.4	7200	1307498400	464140	22.11	6
2011-06-08 03:00:00	19.1	1033.05	10800	1307502000	484020	22.11	6
2011-06-08 04:00:00	19.1	1003.95	14400	1307505600	470666	22.11	6
