	Twet	Load	Tset
226	14.1	55.0	16.11
227	13.5	946.0	16.11
228	15.4	910.0	18.11
229	14.8	921.0	17.11
230	15.1	54.0	17.11
231	14.0	55.0	16.11
232	13.2	941.0	16.11
233	14.9	56.0	17.11
234	12.9	55.0	15.11
235	13.5	55.0	15.11
236	14.5	55.0	16.11
237	12.9	55.0	15.11
238	13.7	55.0	16.11
239	9.1	55.0	15.11
240	8.1	55.0	15.11
241	7.0	54.0	15.11
242	6.2	55.0	15.11
243	5.7	55.0	15.11
244	5.5	56.0	15.11
245	5.0	55.0	15.11
246	4.8	55.0	15.11
247	5.1	627.0	15.11
248	5.4	390.0	15.11
249	5.0	420.0	15.11
250	5.3	427.0	15.11
251	5.6	55.0	15.11
252	5.4	462.0	15.11
253	5.5	466.0	15.11
254	5.3	466.0	15.11
255	4.3	452.0	15.11
256	4.0	417.0	15.11
257	3.8	417.0	15.11
258	3.2	55.0	15.11
259	3.0	387.0	15.11
260	2.7	55.0	15.11
261	2.5	480.0	15.11
262	2.2	466.0	15.11
263	2.1	54.0	15.11
264	1.9	422.0	15.11
265	1.4	404.0	15.11
266	1.3	700.0	15.11
267	1.6	55.0	15.11
268	1.6	440.0	15.11
269	1.6	378.0	15.11
270	1.8	410.0	15.11
271	2.1	54.0	15.11
272	2.7	440.0	15.11
273	3.2	54.0	15.11
274	3.5	398.0	15.11
275	3.0	380.0	15.11
276	3.6	415.0	15.11
277	3.8	55.0	15.11
278	3.5	55.0	15.11
279	3.4	436.0	15.11
280	2.9	589.0	15.11
281	2.7	55.0	15.11
282	2.6	55.0	15.11
283	2.2	56.0	15.11
284	2.2	55.0	15.11
285	1.7	55.0	15.11
286	1.6	54.0	15.11
287	1.6	55.0	15.11
288	1.2	55.0	15.11
289	1.2	55.0	15.11
290	0.9	55.0	15.11
291	1.1	54.0	15.11
292	0.7	54.0	15.11
293	0.4	56.0	15.11
294	0.4	54.0	16.11
295	1.6	54.0	15.11
296	2.5	54.0	15.11
297	3.1	56.0	15.11
298	3.6	570.0	15.11
299	3.6	55.0	15.11
300	3.6	56.0	15.11
301	3.4	453.0	15.11
302	3.1	441.0	15.11
303	2.5	433.0	15.11
304	2.2	499.0	15.11
305	1.6	55.0	15.11
306	1.5	454.0	15.11
307	1.2	55.0	15.11
308	1.1	55.0	15.11
309	1.1	54.0	15.11
310	0.0	428.0	15.11
311	0.0	55.0	15.11
312	-0.1	54.0	15.11
313	-1.0	55.0	15.11
314	-0.8	54.0	15.11
315	-1.2	54.0	15.11
316	-1.7	53.0	15.11
317	-1.0	55.0	15.11
318	-0.7	55.0	15.11
319	1.4	53.0	15.11
320	2.5	54.0	15.11
321	4.0	54.0	15.11
322	4.6	54.0	15.11
323	5.1	55.0	15.11
324	5.7	450.0	15.11
325	5.9	462.0	15.11
326	6.0	448.0	15.11
327	4.7	461.0	15.11
328	4.6	442.0	15.11
329	4.5	430.0	15.11
330	4.1	381.0	15.11
331	3.8	54.0	15.11
332	3.3	55.0	15.11
333	3.1	54.0	15.11
334	3.4	524.0	15.11
335	2.8	55.0	15.11
336	3.0	56.0	15.11
337	1.9	57.0	15.11
338	2.2	55.0	15.11
339	2.6	55.0	15.11
340	1.7	53.0	15.11
341	1.4	54.0	15.11
342	2.6	54.0	15.11
343	2.6	54.0	15.11
344	4.1	55.0	15.11
345	4.9	55.0	15.11
346	5.6	54.0	15.11
347	6.0	55.0	15.11
348	6.3	55.0	15.11
349	6.7	55.0	15.11
350	6.4	396.0	15.11
351	6.3	493.0	15.11
352	6.2	494.0	15.11
353	6.2	55.0	15.11
354	5.7	508.0	15.11
355	5.6	55.0	15.11
356	5.9	54.0	15.11
357	5.6	415.0	15.11
358	5.9	55.0	15.11
359	6.3	373.0	15.11
