Date	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset
1/4/2013 6:00	-2.9	1299.8	21600	1357279200	470992	15.11
1/4/2013 7:00	-2.9	1338.6	25200	1357282800	489771	15.11
1/4/2013 8:00	-1.2	1396.8	28800	1357286400	519234	15.11
1/4/2013 9:00	-1	1144.6	32400	1357290000	401690	15.11
1/4/2013 10:00	-0.5	1319.2	36000	1357293600	480609	15.11
1/4/2013 11:00	0.1	1338.6	39600	1357297200	490191	15.11
1/4/2013 12:00	0.4	1338.6	43200	1357300800	490252	15.11
1/4/2013 13:00	0.7	1338.6	46800	1357304400	490317	15.11
1/4/2013 14:00	1	1377.4	50400	1357308000	509791	15.11
1/4/2013 15:00	1	1387.1	54000	1357311600	514730	15.11
1/4/2013 16:00	0	1377.4	57600	1357315200	509554	15.11
1/4/2013 17:00	-0.3	1338.6	61200	1357318800	490117	15.11
1/4/2013 18:00	-0.7	1280.4	64800	1357322400	462060	15.11
1/4/2013 19:00	-1	1222.2	68400	1357326000	435312	15.11
1/4/2013 20:00	-1	1134.9	72000	1357329600	397647	15.11
1/4/2013 21:00	-1.3	1183.4	75600	1357333200	418187	15.11
1/4/2013 22:00	-1.2	1183.4	79200	1357336800	418197	15.11
1/4/2013 23:00	-0.8	1193.1	82800	1357340400	422460	15.11
1/5/2013 0:00	-1	1183.4	0	1357344000	418217	15.11
1/5/2013 1:00	-1.7	1134.9	3600	1357347600	397586	15.11
1/5/2013 2:00	-1.7	1134.9	7200	1357351200	397586	15.11
1/5/2013 3:00	-1.7	1164	10800	1357354800	409818	15.11
1/5/2013 4:00	-1.3	1164	14400	1357358400	409854	15.11
1/5/2013 5:00	-1.7	1183.4	18000	1357362000	418150	15.11
1/5/2013 6:00	-1.9	1202.8	21600	1357365600	426604	15.11
1/5/2013 7:00	-2.6	1270.7	25200	1357369200	457306	15.11
1/5/2013 8:00	-1.2	1299.8	28800	1357372800	471178	15.11
1/5/2013 9:00	-0.1	1328.9	32400	1357376400	485397	15.11
1/5/2013 10:00	0.1	1396.8	36000	1357380000	519481	15.11
1/5/2013 11:00	0.7	1474.4	39600	1357383600	576331	15.11
1/5/2013 12:00	1.2	1484.1	43200	1357387200	569897	15.11
1/5/2013 13:00	1.2	1464.7	46800	1357390800	555602	15.11
1/5/2013 14:00	1.7	1503.5	50400	1357394400	542365	15.11
1/5/2013 15:00	1.4	1484.1	54000	1357398000	569996	15.11
1/5/2013 16:00	0.6	1425.9	57600	1357401600	534733	15.11
1/5/2013 17:00	-0.2	1348.3	61200	1357405200	494926	15.11
1/5/2013 18:00	-0.3	1290.1	64800	1357408800	466696	15.11
1/5/2013 19:00	-0.3	1270.7	68400	1357412400	457576	15.11
1/5/2013 20:00	0.1	1309.5	72000	1357416000	476027	15.11
1/5/2013 21:00	0.5	1309.5	75600	1357419600	476104	15.11
