Date	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset
2/9/2011 10:00	-5.3	397.7	36000	1297245600	139159	15.11
2/9/2011 11:00	-4.6	58.2	39600	1297249200	35675	15.11
2/9/2011 12:00	-4.2	58.2	43200	1297252800	35675	15.11
2/9/2011 13:00	-3.5	388	46800	1297256400	136429	15.11
2/9/2011 14:00	-3.8	397.7	50400	1297260000	139175	15.11
2/9/2011 15:00	-3.9	407.4	54000	1297263600	141995	15.11
2/9/2011 16:00	-3.8	446.2	57600	1297267200	153984	15.11
2/9/2011 17:00	-4	446.2	61200	1297270800	153981	15.11
2/9/2011 18:00	-3.4	446.2	64800	1297274400	153991	15.11
2/9/2011 19:00	-3.5	436.5	68400	1297278000	150886	15.11
2/9/2011 20:00	-3.5	436.5	72000	1297281600	150886	15.11
2/9/2011 21:00	-2.9	58.2	75600	1297285200	35675	15.11
2/9/2011 22:00	-2.6	446.2	79200	1297288800	154005	15.11
2/9/2011 23:00	-3.3	727.5	82800	1297292400	274740	15.11
2/10/2011 0:00	-3.8	426.8	0	1297296000	147849	15.11
2/10/2011 1:00	-4	436.5	3600	1297299600	150878	15.11
2/10/2011 2:00	-4.4	58.2	7200	1297303200	35675	15.11
2/10/2011 3:00	-5.2	58.2	10800	1297306800	35675	15.11
2/10/2011 4:00	-5.4	58.2	14400	1297310400	35675	15.11
2/10/2011 5:00	-6	58.2	18000	1297314000	35675	15.11
2/10/2011 6:00	-7	58.2	21600	1297317600	35675	15.11
2/10/2011 7:00	-7.4	58.2	25200	1297321200	35675	15.11
2/10/2011 8:00	-6.1	58.2	28800	1297324800	35675	15.11
2/10/2011 9:00	-6.1	58.2	32400	1297328400	35675	15.11
2/10/2011 10:00	-5.5	58.2	36000	1297332000	35675	15.11
2/10/2011 11:00	-4.9	58.2	39600	1297335600	35675	15.11
2/10/2011 12:00	-5.4	58.2	43200	1297339200	35675	15.11
2/10/2011 13:00	-4.8	58.2	46800	1297342800	35675	15.11
2/10/2011 14:00	-4.9	58.2	50400	1297346400	35675	15.11
2/10/2011 15:00	-4.6	58.2	54000	1297350000	35675	15.11
2/10/2011 16:00	-5.4	979.7	57600	1297353600	337579	15.11
2/10/2011 17:00	-6.2	58.2	61200	1297357200	35675	15.11
2/10/2011 18:00	-6.2	358.9	64800	1297360800	127611	15.11
2/10/2011 19:00	-8.2	58.2	68400	1297364400	35675	15.11
2/10/2011 20:00	-8.5	533.5	72000	1297368000	185010	15.11
2/10/2011 21:00	-8.6	58.2	75600	1297371600	35675	15.11
2/10/2011 22:00	-9.2	58.2	79200	1297375200	35675	15.11
2/10/2011 23:00	-9.8	58.2	82800	1297378800	35675	15.11
2/11/2011 0:00	-10	58.2	0	1297382400	35675	15.11
2/11/2011 1:00	-9.9	58.2	3600	1297386000	35675	15.11
2/11/2011 2:00	-10.5	58.2	7200	1297389600	35675	15.11
2/11/2011 3:00	-10.3	58.2	10800	1297393200	35675	15.11
2/11/2011 4:00	-10.6	58.2	14400	1297396800	35675	15.11
2/11/2011 5:00	-11	58.2	18000	1297400400	35675	15.11
2/11/2011 6:00	-10.6	58.2	21600	1297404000	35675	15.11
2/11/2011 7:00	-8.8	58.2	25200	1297407600	35675	15.11
2/11/2011 8:00	-5.1	58.2	28800	1297411200	35675	15.11
2/11/2011 9:00	-3.2	58.2	32400	1297414800	35675	15.11
2/11/2011 10:00	-1.8	58.2	36000	1297418400	35675	15.11
2/11/2011 11:00	-1	58.2	39600	1297422000	35675	15.11
2/11/2011 12:00	-0.7	58.2	43200	1297425600	35675	15.11
2/11/2011 13:00	-0.3	58.2	46800	1297429200	35675	15.11
2/11/2011 14:00	0.2	58.2	50400	1297432800	35675	15.11
2/11/2011 15:00	0.6	1154.3	54000	1297436400	405957	15.11
2/11/2011 16:00	0.4	504.4	57600	1297440000	174214	15.11
2/11/2011 17:00	-1.4	630.5	61200	1297443600	226470	15.11
2/11/2011 18:00	-3.3	601.4	64800	1297447200	213253	15.11
2/11/2011 19:00	-3.4	601.4	68400	1297450800	213250	15.11
2/11/2011 20:00	-4.5	58.2	72000	1297454400	35675	15.11
2/11/2011 21:00	-4.5	58.2	75600	1297458000	35675	15.11
2/11/2011 22:00	-5.1	58.2	79200	1297461600	35675	15.11
2/11/2011 23:00	-5.4	58.2	82800	1297465200	35675	15.11
2/12/2011 0:00	-6	58.2	0	1297468800	35675	15.11
2/12/2011 1:00	-6.3	58.2	3600	1297472400	35675	15.11
2/12/2011 2:00	-7.1	58.2	7200	1297476000	35675	15.11
2/12/2011 3:00	-7.1	58.2	10800	1297479600	35675	15.11
2/12/2011 4:00	-7.7	58.2	14400	1297483200	35675	15.11
2/12/2011 5:00	-7.1	58.2	18000	1297486800	35675	15.11
2/12/2011 6:00	-4.4	58.2	21600	1297490400	35675	15.11
2/12/2011 7:00	-4.9	58.2	25200	1297494000	35675	15.11
2/12/2011 8:00	-2.8	58.2	28800	1297497600	35675	15.11
