Date	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset
1/1/2012 0:00	3.5	58.2	0	1325376000	35675	15.11
1/1/2012 1:00	3.5	611.1	3600	1325379600	218153	15.11
1/1/2012 2:00	2.7	601.4	7200	1325383200	213687	15.11
1/1/2012 3:00	1.3	688.7	10800	1325386800	254945	15.11
1/1/2012 4:00	1.2	727.5	14400	1325390400	275196	15.11
1/1/2012 5:00	-0.2	766.3	18000	1325394000	257316	15.11
1/1/2012 6:00	0.3	756.6	21600	1325397600	265661	15.11
1/1/2012 7:00	0.3	717.8	25200	1325401200	269893	15.11
1/1/2012 8:00	4.3	708.1	28800	1325404800	265613	15.11
1/1/2012 9:00	6.3	698.4	32400	1325408400	261250	15.11
1/1/2012 10:00	7.2	669.3	36000	1325412000	246930	15.11
1/1/2012 11:00	8.3	58.2	39600	1325415600	35675	15.11
1/1/2012 12:00	8.5	630.5	43200	1325419200	229052	15.11
1/1/2012 13:00	9	58.2	46800	1325422800	35675	15.11
1/1/2012 14:00	8.9	58.2	50400	1325426400	35675	15.11
1/1/2012 15:00	9.2	58.2	54000	1325430000	35675	15.11
1/1/2012 16:00	8.6	58.2	57600	1325433600	35675	15.11
1/1/2012 17:00	8.6	58.2	61200	1325437200	35675	15.11
1/1/2012 18:00	8.6	58.2	64800	1325440800	35675	15.11
1/1/2012 19:00	9.1	58.2	68400	1325444400	35675	15.11
1/1/2012 20:00	9.9	58.2	72000	1325448000	35675	15.11
1/1/2012 21:00	7.9	582	75600	1325451600	206813	15.11
1/1/2012 22:00	5.7	533.5	79200	1325455200	185956	15.11
1/1/2012 23:00	3.4	679	82800	1325458800	250463	15.11
1/2/2012 0:00	2.9	58.2	0	1325462400	35675	15.11
1/2/2012 1:00	2.5	58.2	3600	1325466000	35675	15.11
1/2/2012 2:00	1.8	58.2	7200	1325469600	35675	15.11
1/2/2012 3:00	0.4	58.2	10800	1325473200	35675	15.11
1/2/2012 4:00	-1.4	58.2	14400	1325476800	35675	15.11
1/2/2012 5:00	-1.8	58.2	18000	1325480400	35675	15.11
1/2/2012 6:00	-2.4	58.2	21600	1325484000	35675	15.11
1/2/2012 7:00	-2.5	58.2	25200	1325487600	35675	15.11
1/2/2012 8:00	-1.2	58.2	28800	1325491200	35675	15.11
1/2/2012 9:00	-0.3	58.2	32400	1325494800	35675	15.11
1/2/2012 10:00	-0.2	58.2	36000	1325498400	35675	15.11
1/2/2012 11:00	-0.2	58.2	39600	1325502000	35675	15.11
1/2/2012 12:00	-0.4	58.2	43200	1325505600	35675	15.11
1/2/2012 13:00	-0.4	58.2	46800	1325509200	35675	15.11
1/2/2012 14:00	-0.4	58.2	50400	1325512800	35675	15.11
1/2/2012 15:00	-0.5	58.2	54000	1325516400	35675	15.11
1/2/2012 16:00	-0.7	58.2	57600	1325520000	35675	15.11
1/2/2012 17:00	-2	58.2	61200	1325523600	35675	15.11
1/2/2012 18:00	-2.3	58.2	64800	1325527200	35675	15.11
1/2/2012 19:00	-2	58.2	68400	1325530800	35675	15.11
1/2/2012 20:00	-2	58.2	72000	1325534400	35675	15.11
1/2/2012 21:00	-2.2	58.2	75600	1325538000	35675	15.11
1/2/2012 22:00	-3	58.2	79200	1325541600	35675	15.11
1/2/2012 23:00	-3.2	58.2	82800	1325545200	35675	15.11
1/3/2012 0:00	-3.2	58.2	0	1325548800	35675	15.11
1/3/2012 1:00	-3.9	58.2	3600	1325552400	35675	15.11
1/3/2012 2:00	-3.9	58.2	7200	1325556000	35675	15.11
1/3/2012 3:00	-4.3	58.2	10800	1325559600	35675	15.11
