	Twet	Load	Tset
393	14.1	491.0	17.11
394	14.5	924.0	17.11
395	14.7	910.0	17.11
396	14.3	906.0	17.11
397	14.1	920.0	17.11
398	14.3	923.0	17.11
399	13.9	896.0	16.11
400	13.4	538.0	16.11
401	13.4	444.0	16.11
402	12.7	431.0	15.11
403	12.2	431.0	15.11
404	12.2	430.0	15.11
405	13.0	888.0	16.11
406	12.0	437.0	15.11
407	11.7	422.0	15.11
408	11.5	964.0	15.11
409	12.0	573.0	15.11
410	11.8	585.0	15.11
411	10.7	605.0	15.11
412	12.1	560.0	15.11
413	12.7	640.0	16.11
414	14.0	721.0	17.11
415	14.4	822.0	17.11
416	14.6	874.0	17.11
417	14.3	422.0	17.11
418	14.1	869.0	16.11
419	14.7	872.0	17.11
420	15.0	738.0	18.11
421	14.9	1289.0	18.11
422	14.7	895.0	17.11
423	14.7	746.0	18.11
424	14.3	752.0	17.11
425	14.1	657.0	17.11
426	13.6	630.0	17.11
427	13.7	611.0	17.11
428	12.2	573.0	15.11
429	11.0	927.0	15.11
430	10.5	545.0	15.11
431	10.5	532.0	15.11
432	10.3	536.0	15.11
433	11.0	545.0	15.11
434	11.2	521.0	15.11
435	10.7	520.0	15.11
436	11.0	504.0	15.11
437	11.7	549.0	15.11
438	12.2	585.0	15.11
439	12.5	603.0	15.11
440	13.8	667.0	17.11
441	15.2	563.0	18.11
442	16.6	700.0	19.11
443	16.2	720.0	19.11
444	16.2	719.0	19.11
445	16.9	734.0	20.11
446	17.1	772.0	20.11
447	17.4	734.0	20.11
448	17.0	715.0	20.11
449	16.6	704.0	19.11
450	16.5	673.0	19.11
451	15.8	667.0	19.11
452	15.9	656.0	19.11
453	14.4	683.0	17.11
454	13.7	592.0	17.11
455	13.4	590.0	16.11
456	13.5	585.0	16.11
457	13.5	591.0	16.11
458	13.3	579.0	16.11
459	12.3	569.0	15.11
460	13.6	574.0	16.11
461	14.2	552.0	17.11
462	12.7	601.0	16.11
463	14.7	643.0	18.11
464	15.2	662.0	18.11
465	15.9	612.0	19.11
466	16.6	689.0	19.11
467	18.0	742.0	21.11
468	17.1	726.0	20.11
469	18.5	754.0	21.11
470	18.8	764.0	22.11
471	19.0	805.0	22.11
472	19.2	827.0	21.11
473	19.0	804.0	22.11
474	19.1	782.0	22.11
475	18.7	769.0	21.11
476	19.1	772.0	22.11
477	18.9	674.0	22.11
478	18.6	784.0	21.11
479	18.4	762.0	21.11
480	18.0	1161.0	21.11
481	18.0	1104.0	20.11
482	17.8	1082.0	20.11
483	17.8	1081.0	20.11
484	17.8	1081.0	20.11
485	17.8	1124.0	20.11
486	18.0	1155.0	21.11
487	18.4	1182.0	21.11
488	18.9	1239.0	21.11
489	19.1	787.0	22.11
490	19.0	1248.0	22.11
491	19.1	1327.0	22.11
492	19.4	1227.0	22.11
493	20.1	1252.0	23.11
494	20.0	1207.0	23.11
495	20.3	1181.0	23.11
496	20.3	1092.0	23.11
497	19.2	786.0	22.11
498	18.4	750.0	21.11
499	18.5	746.0	21.11
500	18.9	767.0	22.11
