	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	month
2011-09-01 00:00:00	15.6	426.8	0	1314835200	180860	18.11	9
2011-09-01 01:00:00	15.6	58.2	3600	1314838800	41545	17.11	9
2011-09-01 02:00:00	14.9	446.2	7200	1314842400	184062	17.11	9
2011-09-01 03:00:00	15.1	475.3	10800	1314846000	196807	18.11	9
2011-09-01 04:00:00	14.9	514.1	14400	1314849600	212037	18.11	9
2011-09-01 05:00:00	14.6	465.6	18000	1314853200	188646	17.11	9
2011-09-01 06:00:00	17.0	455.9	21600	1314856800	202468	19.11	9
2011-09-01 07:00:00	18.5	446.2	25200	1314860400	207140	21.11	9
2011-09-01 08:00:00	19.3	455.9	28800	1314864000	216015	22.11	9
2011-09-01 09:00:00	19.3	504.4	32400	1314867600	237066	22.11	9
2011-09-01 10:00:00	19.7	58.2	36000	1314871200	47785	21.11	9
2011-09-01 11:00:00	19.7	58.2	39600	1314874800	47785	21.11	9
2011-09-01 12:00:00	20.1	58.2	43200	1314878400	48165	22.11	9
2011-09-01 13:00:00	20.1	58.2	46800	1314882000	48165	22.11	9
2011-09-01 14:00:00	19.9	58.2	50400	1314885600	48091	22.11	9
2011-09-01 15:00:00	19.2	58.2	54000	1314889200	46886	21.11	9
2011-09-01 16:00:00	19.5	58.2	57600	1314892800	47326	21.11	9
2011-09-01 17:00:00	19.4	58.2	61200	1314896400	47120	21.11	9
2011-09-01 18:00:00	19.1	58.2	64800	1314900000	46819	21.11	9
2011-09-01 19:00:00	18.9	58.2	68400	1314903600	46732	21.11	9
2011-09-01 20:00:00	17.8	58.2	72000	1314907200	45191	19.11	9
2011-09-01 21:00:00	17.0	58.2	75600	1314910800	43743	19.11	9
2011-09-01 22:00:00	17.3	58.2	79200	1314914400	44126	19.11	9
2011-09-01 23:00:00	17.2	58.2	82800	1314918000	43947	19.11	9
2011-09-02 00:00:00	17.7	58.2	0	1314921600	44971	19.11	9
2011-09-02 01:00:00	17.8	58.2	3600	1314925200	45191	19.11	9
2011-09-02 02:00:00	18.0	58.2	7200	1314928800	45307	20.11	9
2011-09-02 03:00:00	18.0	58.2	10800	1314932400	45307	20.11	9
2011-09-02 04:00:00	17.8	58.2	14400	1314936000	45191	19.11	9
2011-09-02 05:00:00	17.6	58.2	18000	1314939600	44771	19.11	9
2011-09-02 06:00:00	18.7	58.2	21600	1314943200	46429	20.11	9
2011-09-02 07:00:00	18.4	58.2	25200	1314946800	45770	20.11	9
2011-09-02 08:00:00	19.0	58.2	28800	1314950400	46769	21.11	9
2011-09-02 09:00:00	20.0	58.2	32400	1314954000	48123	22.11	9
2011-09-02 10:00:00	20.2	417.1	36000	1314957600	205015	22.11	9
2011-09-02 11:00:00	20.1	58.2	39600	1314961200	48165	22.11	9
2011-09-02 12:00:00	20.5	494.7	43200	1314964800	238821	23.11	9
2011-09-02 13:00:00	19.5	465.6	46800	1314968400	220717	22.11	9
2011-09-02 14:00:00	19.2	485.0	50400	1314972000	228069	22.11	9
2011-09-02 15:00:00	18.2	494.7	54000	1314975600	226303	21.11	9
2011-09-02 16:00:00	19.7	485.0	57600	1314979200	230097	22.11	9
2011-09-02 17:00:00	19.6	485.0	61200	1314982800	229572	22.11	9
2011-09-02 18:00:00	19.2	494.7	64800	1314986400	232355	22.11	9
2011-09-02 19:00:00	19.7	475.3	68400	1314990000	225804	22.11	9
2011-09-02 20:00:00	19.5	572.3	72000	1314993600	271482	22.11	9
2011-09-02 21:00:00	19.5	58.2	75600	1314997200	47326	21.11	9
2011-09-02 22:00:00	19.3	388.0	79200	1315000800	190141	21.11	9
2011-09-02 23:00:00	18.8	58.2	82800	1315004400	46646	20.11	9
2011-09-03 00:00:00	18.4	58.2	0	1315008000	45770	20.11	9
2011-09-03 01:00:00	18.2	475.3	3600	1315011600	217977	21.11	9
2011-09-03 02:00:00	18.6	58.2	7200	1315015200	46230	20.11	9
