	Twet	Load	Tset
222	-0.2	54.0	15.11
223	-0.4	54.0	15.11
224	0.4	54.0	16.11
225	2.1	54.0	15.11
226	3.5	54.0	15.11
227	5.2	53.0	15.11
228	5.9	54.0	15.11
229	5.9	1089.0	15.11
230	6.0	478.0	15.11
231	5.7	589.0	15.11
232	5.3	564.0	15.11
233	5.2	561.0	15.11
234	4.5	56.0	15.11
235	4.3	55.0	15.11
236	3.4	54.0	15.11
237	3.0	55.0	15.11
238	2.5	55.0	15.11
239	2.0	54.0	15.11
240	0.2	55.0	15.11
241	1.1	54.0	15.11
242	0.5	54.0	15.11
243	0.0	54.0	15.11
244	0.2	55.0	15.11
245	-0.2	55.0	15.11
246	0.0	56.0	15.11
247	0.2	54.0	15.11
248	1.5	54.0	15.11
249	2.9	53.0	15.11
250	4.0	54.0	15.11
251	5.1	56.0	15.11
252	5.4	54.0	15.11
253	6.7	54.0	15.11
254	6.9	54.0	15.11
255	6.7	54.0	15.11
256	6.7	54.0	15.11
257	6.4	55.0	15.11
258	6.4	55.0	15.11
259	6.7	54.0	15.11
260	6.9	54.0	15.11
261	6.9	54.0	15.11
262	7.7	55.0	15.11
263	8.8	56.0	15.11
264	8.8	54.0	15.11
265	8.8	56.0	15.11
266	8.3	54.0	15.11
267	8.3	54.0	15.11
268	8.3	56.0	15.11
269	6.9	55.0	15.11
270	6.1	54.0	15.11
271	5.8	54.0	15.11
272	6.4	56.0	15.11
273	6.7	54.0	15.11
274	7.5	54.0	15.11
275	8.0	55.0	15.11
276	9.6	422.0	15.11
277	10.2	518.0	15.11
278	10.7	646.0	15.11
279	10.4	660.0	15.11
280	9.9	652.0	15.11
281	9.1	660.0	15.11
282	9.6	442.0	15.11
283	10.2	408.0	15.11
284	8.1	358.0	15.11
285	9.1	398.0	15.11
286	8.3	402.0	15.11
287	8.1	556.0	15.11
288	8.6	415.0	15.11
289	8.0	410.0	15.11
290	5.6	55.0	15.11
291	3.4	55.0	15.11
292	2.2	54.0	15.11
293	1.6	54.0	15.11
294	0.0	54.0	15.11
295	-1.3	54.0	15.11
296	-1.0	54.0	15.11
297	-1.4	54.0	15.11
298	-1.0	54.0	15.11
299	-0.8	409.0	15.11
300	-0.6	54.0	15.11
301	-0.5	55.0	15.11
302	-0.2	54.0	15.11
303	0.0	55.0	15.11
304	-0.2	54.0	15.11
305	-0.6	54.0	15.11
306	-0.9	54.0	15.11
307	-1.1	54.0	15.11
308	-2.6	54.0	15.11
309	-3.1	54.0	15.11
310	-3.6	55.0	15.11
311	-3.9	55.0	15.11
312	-3.9	55.0	15.11
313	-4.2	54.0	15.11
314	-4.5	54.0	15.11
315	-4.3	55.0	15.11
316	-4.4	54.0	15.11
317	-4.8	54.0	15.11
318	-5.2	54.0	15.11
319	-4.8	54.0	15.11
320	-3.6	53.0	15.11
321	-2.9	54.0	15.11
322	-2.0	53.0	15.11
323	-1.6	54.0	15.11
324	-0.9	55.0	15.11
325	-1.4	56.0	15.11
326	-1.4	54.0	15.11
327	-1.2	54.0	15.11
328	-1.7	54.0	15.11
329	-2.3	55.0	15.11
330	-2.4	55.0	15.11
331	-3.2	54.0	15.11
332	-3.7	54.0	16.11
333	-3.7	54.0	16.11
334	-3.6	54.0	15.11
335	-3.6	54.0	15.11
336	-3.9	53.0	15.11
337	-3.9	54.0	15.11
338	-3.9	54.0	15.11
339	-3.9	53.0	15.11
340	-4.8	54.0	15.11
341	-5.2	54.0	15.11
342	-5.2	54.0	15.11
343	-5.0	54.0	15.11
344	-4.1	54.0	15.11
345	-3.6	53.0	15.11
346	-3.4	54.0	15.11
347	-3.4	55.0	15.11
348	-3.3	53.0	15.11
349	-3.0	54.0	15.11
350	-2.5	54.0	15.11
351	-3.1	54.0	15.11
352	-4.3	55.0	15.11
353	-4.7	54.0	15.11
354	-4.2	53.0	15.11
355	-4.1	54.0	15.11
356	-3.8	53.0	15.11
357	-4.3	54.0	15.11
358	-4.9	54.0	15.11
359	-5.1	53.0	15.11
360	-5.0	53.0	15.11
361	-5.3	54.0	15.11
362	-5.2	53.0	15.11
363	-5.5	53.0	15.11
364	-6.0	54.0	15.11
365	-6.0	53.0	15.11
366	-5.8	54.0	15.11
367	-5.8	52.0	15.11
368	-3.9	54.0	15.11
369	-2.8	53.0	15.11
370	-1.6	54.0	15.11
371	-1.0	53.0	15.11
372	-0.4	53.0	15.11
373	0.0	55.0	15.11
374	0.1	54.0	15.11
375	0.6	54.0	15.11
376	0.9	55.0	15.11
377	0.9	54.0	15.11
378	1.4	54.0	15.11
379	1.6	54.0	15.11
380	1.9	55.0	15.11
381	2.1	54.0	15.11
382	2.4	55.0	15.11
383	2.7	54.0	15.11
384	3.1	54.0	15.11
385	3.3	55.0	15.11
386	3.6	55.0	15.11
387	4.3	54.0	15.11
388	4.4	56.0	15.11
389	4.5	56.0	15.11
390	4.8	55.0	15.11
391	5.4	55.0	15.11
392	4.8	55.0	15.11
393	5.9	54.0	15.11
394	6.1	54.0	15.11
395	7.8	55.0	15.11
396	8.9	55.0	15.11
397	9.9	863.0	15.11
398	10.2	511.0	15.11
399	10.4	631.0	15.11
400	10.4	638.0	15.11
401	10.4	607.0	15.11
402	10.7	444.0	15.11
403	11.2	372.0	15.11
404	11.5	407.0	15.11
405	11.2	386.0	15.11
406	12.0	372.0	15.11
407	12.0	54.0	15.11
408	12.0	426.0	15.11
409	8.2	393.0	15.11
410	4.9	490.0	15.11
