	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	month
2012-09-01 00:00:00	21.1	649.9	0	1346457600	326649	24.11	9
2012-09-01 01:00:00	20.9	659.6	3600	1346461200	331969	24.11	9
2012-09-01 02:00:00	21.0	620.8	7200	1346464800	308740	24.11	9
2012-09-01 03:00:00	20.8	640.2	10800	1346468400	318959	23.11	9
2012-09-01 04:00:00	20.6	630.5	14400	1346472000	311238	23.11	9
2012-09-01 06:00:00	21.7	649.9	21600	1346479200	330197	24.11	9
2012-09-01 07:00:00	22.0	640.2	25200	1346482800	326698	25.11	9
2012-09-01 08:00:00	22.7	659.6	28800	1346486400	342468	25.11	9
2012-09-01 09:00:00	23.5	669.3	32400	1346490000	353660	26.11	9
2012-09-01 10:00:00	24.0	504.4	36000	1346493600	258540	26.11	9
2012-09-01 11:00:00	24.5	989.4	39600	1346497200	516437	26.11	9
2012-09-01 12:00:00	25.0	940.9	43200	1346500800	513069	26.11	9
2012-09-01 13:00:00	24.8	970.0	46800	1346504400	517350	26.11	9
2012-09-01 14:00:00	24.4	1241.6	50400	1346508000	660896	26.11	9
2012-09-01 15:00:00	24.1	1241.6	54000	1346511600	652764	26.11	9
2012-09-01 16:00:00	24.2	1377.4	57600	1346515200	747209	26.11	9
2012-09-01 17:00:00	24.9	970.0	61200	1346518800	522417	26.11	9
2012-09-01 18:00:00	23.6	960.3	64800	1346522400	489835	26.11	9
2012-09-01 19:00:00	23.4	640.2	68400	1346526000	334007	26.11	9
2012-09-01 20:00:00	23.3	543.2	72000	1346529600	276273	26.11	9
2012-09-01 21:00:00	23.5	543.2	75600	1346533200	276832	26.11	9
2012-09-01 22:00:00	23.6	533.5	79200	1346536800	271941	26.11	9
2012-09-01 23:00:00	23.5	533.5	82800	1346540400	271613	26.11	9
2012-09-02 00:00:00	23.1	533.5	0	1346544000	270656	26.11	9
2012-09-02 01:00:00	22.5	543.2	3600	1346547600	272452	25.11	9
2012-09-02 02:00:00	22.5	523.8	7200	1346551200	262363	25.11	9
2012-09-02 03:00:00	21.8	1134.9	10800	1346554800	564473	24.11	9
2012-09-02 04:00:00	21.8	1086.4	14400	1346558400	538380	24.11	9
2012-09-02 05:00:00	21.6	785.7	18000	1346562000	424052	24.11	9
2012-09-02 06:00:00	22.2	785.7	21600	1346565600	429052	25.11	9
2012-09-02 07:00:00	22.4	853.6	25200	1346569200	434931	25.11	9
2012-09-02 08:00:00	23.2	572.3	28800	1346572800	292191	26.11	9
2012-09-02 09:00:00	23.4	911.8	32400	1346576400	466352	26.11	9
2012-09-02 10:00:00	23.9	649.9	36000	1346580000	343405	26.11	9
2012-09-02 11:00:00	24.5	649.9	39600	1346583600	351642	26.11	9
2012-09-02 12:00:00	24.3	659.6	43200	1346587200	354745	26.11	9
2012-09-02 13:00:00	24.6	669.3	46800	1346590800	367228	26.11	9
2012-09-02 14:00:00	24.1	669.3	50400	1346594400	358647	26.11	9
2012-09-02 15:00:00	24.1	717.8	54000	1346598000	393366	26.11	9
2012-09-02 16:00:00	23.9	708.1	57600	1346601600	383876	26.11	9
2012-09-02 17:00:00	23.8	611.1	61200	1346605200	317707	26.11	9
2012-09-02 18:00:00	24.1	669.3	64800	1346608800	358647	26.11	9
2012-09-02 19:00:00	24.0	669.3	68400	1346612400	357500	26.11	9
2012-09-02 20:00:00	23.4	669.3	72000	1346616000	353169	26.11	9
2012-09-02 21:00:00	23.3	649.9	75600	1346619600	339896	26.11	9
2012-09-02 22:00:00	23.3	659.6	79200	1346623200	346269	26.11	9
2012-09-02 23:00:00	23.6	649.9	82800	1346626800	341277	26.11	9
2012-09-03 00:00:00	23.3	649.9	0	1346630400	339896	26.11	9
2012-09-03 01:00:00	23.6	640.2	3600	1346634000	334953	26.11	9
2012-09-03 02:00:00	23.5	649.9	7200	1346637600	340753	26.11	9
2012-09-03 03:00:00	23.5	640.2	10800	1346641200	334448	26.11	9
2012-09-03 04:00:00	23.6	640.2	14400	1346644800	334953	26.11	9
2012-09-03 05:00:00	23.5	649.9	18000	1346648400	340753	26.11	9
2012-09-03 06:00:00	23.6	640.2	21600	1346652000	334953	26.11	9
