Date	Twet	Load	Hour(s)	TimeStamp(s)
2011-02-13 19:00:00	4.1	58.2	68400	1297623600
2011-02-13 20:00:00	4.3	58.2	72000	1297627200
2011-02-13 21:00:00	4.3	58.2	75600	1297630800
2011-02-13 22:00:00	4.6	58.2	79200	1297634400
2011-02-13 23:00:00	4.3	58.2	82800	1297638000
2011-02-14 00:00:00	4.3	58.2	0	1297641600
2011-02-14 01:00:00	4.0	58.2	3600	1297645200
2011-02-14 02:00:00	4.0	58.2	7200	1297648800
2011-02-14 03:00:00	3.8	58.2	10800	1297652400
2011-02-14 04:00:00	3.5	58.2	14400	1297656000
2011-02-14 05:00:00	3.5	58.2	18000	1297659600
2011-02-14 06:00:00	3.5	58.2	21600	1297663200
2011-02-14 07:00:00	4.1	58.2	25200	1297666800
2011-02-14 08:00:00	4.6	58.2	28800	1297670400
2011-02-14 09:00:00	5.2	58.2	32400	1297674000
2011-02-14 10:00:00	7.4	417.1	36000	1297677600
2011-02-14 11:00:00	8.4	58.2	39600	1297681200
2011-02-14 12:00:00	8.7	446.2	43200	1297684800
2011-02-14 13:00:00	8.3	58.2	46800	1297688400
2011-02-14 14:00:00	8.3	426.8	50400	1297692000
2011-02-14 15:00:00	7.2	504.4	54000	1297695600
2011-02-14 16:00:00	5.9	514.1	57600	1297699200
2011-02-14 17:00:00	5.0	58.2	61200	1297702800
2011-02-14 18:00:00	4.2	58.2	64800	1297706400
2011-02-14 19:00:00	4.1	58.2	68400	1297710000
2011-02-14 20:00:00	2.7	58.2	72000	1297713600
2011-02-14 21:00:00	1.8	58.2	75600	1297717200
2011-02-14 22:00:00	1.3	58.2	79200	1297720800
2011-02-14 23:00:00	0.6	58.2	82800	1297724400
2011-02-15 00:00:00	-0.1	58.2	0	1297728000
2011-02-15 01:00:00	-0.9	58.2	3600	1297731600
2011-02-15 02:00:00	-1.8	58.2	7200	1297735200
2011-02-15 03:00:00	-2.5	58.2	10800	1297738800
2011-02-15 04:00:00	-2.7	58.2	14400	1297742400
2011-02-15 05:00:00	-3.4	58.2	18000	1297746000
2011-02-15 06:00:00	-3.4	58.2	21600	1297749600
2011-02-15 07:00:00	-3.2	58.2	25200	1297753200
2011-02-15 08:00:00	-2.6	58.2	28800	1297756800
2011-02-15 09:00:00	-1.8	58.2	32400	1297760400
2011-02-15 10:00:00	-1.6	58.2	36000	1297764000
2011-02-15 11:00:00	-0.9	58.2	39600	1297767600
2011-02-15 12:00:00	-0.2	58.2	43200	1297771200
2011-02-15 13:00:00	0.4	591.7	46800	1297774800
2011-02-15 14:00:00	0.5	446.2	50400	1297778400
2011-02-15 15:00:00	0.2	552.9000000000002	54000	1297782000
2011-02-15 16:00:00	-0.3	688.7	57600	1297785600
2011-02-15 17:00:00	-1.2	698.4000000000002	61200	1297789200
2011-02-15 18:00:00	-1.9	698.4000000000002	64800	1297792800
2011-02-15 19:00:00	-3.5	708.0999999999998	68400	1297796400
2011-02-15 20:00:00	-4.1	465.6	72000	1297800000
2011-02-15 21:00:00	-5.0	58.2	75600	1297803600
2011-02-15 22:00:00	-5.0	436.5	79200	1297807200
2011-02-15 23:00:00	-5.5	378.3	82800	1297810800
2011-02-16 00:00:00	-5.1	426.8	0	1297814400
2011-02-16 01:00:00	-5.3	426.8	3600	1297818000
2011-02-16 02:00:00	-4.5	58.2	7200	1297821600
2011-02-16 03:00:00	-4.8	58.2	10800	1297825200
2011-02-16 04:00:00	-4.5	58.2	14400	1297828800
2011-02-16 05:00:00	-3.9	58.2	18000	1297832400
2011-02-16 06:00:00	-4.2	58.2	21600	1297836000
2011-02-16 07:00:00	-3.4	58.2	25200	1297839600
2011-02-16 08:00:00	-1.2	58.2	28800	1297843200
2011-02-16 09:00:00	-0.1	58.2	32400	1297846800
2011-02-16 10:00:00	1.6	58.2	36000	1297850400
2011-02-16 11:00:00	3.6	58.2	39600	1297854000
2011-02-16 12:00:00	4.0	417.1	43200	1297857600
2011-02-16 13:00:00	4.7	58.2	46800	1297861200
2011-02-16 14:00:00	5.8	58.2	50400	1297864800
2011-02-16 15:00:00	6.0	485.0	54000	1297868400
2011-02-16 16:00:00	6.2	446.2	57600	1297872000
2011-02-16 17:00:00	5.3	58.2	61200	1297875600
2011-02-16 18:00:00	4.6	417.1	64800	1297879200
2011-02-16 19:00:00	4.3	58.2	68400	1297882800
2011-02-16 20:00:00	3.7	58.2	72000	1297886400
