	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	month
2011-05-01 00:00:00	8.9	756.6	0	1304208000	269509	15.11	5
2011-05-01 01:00:00	8.9	669.3	3600	1304211600	248288	15.11	5
2011-05-01 02:00:00	9.1	698.4	7200	1304215200	263502	15.11	5
2011-05-01 03:00:00	7.8	737.2	10800	1304218800	290485	15.11	5
2011-05-01 04:00:00	7.8	698.4	14400	1304222400	262097	15.11	5
2011-05-01 05:00:00	8.0	717.8	18000	1304226000	272499	15.11	5
2011-05-01 06:00:00	9.4	737.2	21600	1304229600	292761	15.11	5
2011-05-01 07:00:00	10.5	737.2	25200	1304233200	296535	15.11	5
2011-05-01 08:00:00	11.5	795.4	28800	1304236800	264068	15.11	5
2011-05-01 09:00:00	12.0	465.6	32400	1304240400	168127	15.11	5
2011-05-01 10:00:00	11.7	659.6	36000	1304244000	254294	15.11	5
2011-05-01 11:00:00	12.0	746.9	39600	1304247600	299225	15.11	5
2011-05-01 12:00:00	12.5	805.1	43200	1304251200	298220	15.11	5
2011-05-01 13:00:00	12.7	882.7	46800	1304254800	330159	15.11	5
2011-05-01 14:00:00	11.7	979.7	50400	1304258400	351497	15.11	5
2011-05-01 15:00:00	12.8	940.9	54000	1304262000	354945	16.11	5
2011-05-01 16:00:00	12.3	940.9	57600	1304265600	344410	15.11	5
2011-05-01 17:00:00	12.9	931.2	61200	1304269200	352157	16.11	5
2011-05-01 18:00:00	12.4	863.3	64800	1304272800	316924	15.11	5
2011-05-01 19:00:00	12.1	591.7	68400	1304276400	223667	15.11	5
2011-05-01 20:00:00	12.1	485.0	72000	1304280000	176314	15.11	5
2011-05-01 21:00:00	12.1	533.5	75600	1304283600	196625	15.11	5
2011-05-01 22:00:00	12.4	533.5	79200	1304287200	199809	15.11	5
2011-05-01 23:00:00	12.1	543.2	82800	1304290800	200932	15.11	5
2011-05-02 00:00:00	11.6	543.2	0	1304294400	197135	15.11	5
2011-05-02 01:00:00	11.3	475.3	3600	1304298000	168717	15.11	5
2011-05-02 02:00:00	11.3	582.0	7200	1304301600	212775	15.11	5
2011-05-02 03:00:00	11.3	582.0	10800	1304305200	212775	15.11	5
2011-05-02 04:00:00	11.3	601.4	14400	1304308800	221845	15.11	5
2011-05-02 05:00:00	11.3	523.8	18000	1304312400	187527	15.11	5
2011-05-02 06:00:00	11.8	523.8	21600	1304316000	190088	15.11	5
2011-05-02 07:00:00	12.3	611.1	25200	1304319600	235803	15.11	5
2011-05-02 08:00:00	13.6	582.0	28800	1304323200	233039	17.11	5
2011-05-02 09:00:00	14.7	746.9	32400	1304326800	334939	18.11	5
2011-05-02 10:00:00	15.9	931.2	36000	1304330400	397724	18.11	5
2011-05-02 11:00:00	17.1	989.4	39600	1304334000	438714	20.11	5
2011-05-02 12:00:00	18.2	999.1	43200	1304337600	456876	21.11	5
2011-05-02 13:00:00	18.3	58.2	46800	1304341200	45583	20.11	5
2011-05-02 14:00:00	18.5	1503.5	50400	1304344800	747282	21.11	5
2011-05-02 15:00:00	18.3	1270.7	54000	1304348400	596201	21.11	5
2011-05-02 16:00:00	18.1	1328.9	57600	1304352000	627553	21.11	5
