	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	month
2011-03-01 00:00:00	2.6	58.2	0	1298937600	35675	15.11	3
2011-03-01 01:00:00	1.4	58.2	3600	1298941200	35675	15.11	3
2011-03-01 02:00:00	0.2	58.2	7200	1298944800	35675	15.11	3
2011-03-01 03:00:00	-0.8	58.2	10800	1298948400	35675	15.11	3
2011-03-01 04:00:00	-1.3	58.2	14400	1298952000	35675	15.11	3
2011-03-01 05:00:00	-1.5	58.2	18000	1298955600	35675	15.11	3
2011-03-01 06:00:00	-1.9	58.2	21600	1298959200	35675	15.11	3
2011-03-01 07:00:00	-1.2	58.2	25200	1298962800	35675	15.11	3
2011-03-01 08:00:00	-0.8	58.2	28800	1298966400	35675	15.11	3
2011-03-01 09:00:00	0.0	58.2	32400	1298970000	35675	15.11	3
2011-03-01 10:00:00	0.6	58.2	36000	1298973600	35675	15.11	3
2011-03-01 11:00:00	1.7	58.2	39600	1298977200	35675	15.11	3
2011-03-01 12:00:00	1.6	58.2	43200	1298980800	35675	15.11	3
2011-03-01 13:00:00	2.4	58.2	46800	1298984400	35675	15.11	3
2011-03-01 14:00:00	2.7	58.2	50400	1298988000	35675	15.11	3
2011-03-01 15:00:00	2.8	58.2	54000	1298991600	35675	15.11	3
2011-03-01 16:00:00	2.2	58.2	57600	1298995200	35675	15.11	3
2011-03-01 17:00:00	1.7	58.2	61200	1298998800	35675	15.11	3
2011-03-01 18:00:00	0.4	58.2	64800	1299002400	35675	15.11	3
2011-03-01 19:00:00	-0.3	58.2	68400	1299006000	35675	15.11	3
2011-03-01 20:00:00	-0.8	58.2	72000	1299009600	35675	15.11	3
2011-03-01 21:00:00	-1.7	58.2	75600	1299013200	35675	15.11	3
2011-03-01 22:00:00	-2.7	58.2	79200	1299016800	35675	15.11	3
2011-03-01 23:00:00	-2.7	58.2	82800	1299020400	35675	15.11	3
2011-03-02 00:00:00	-1.5	58.2	0	1299024000	35675	15.11	3
2011-03-02 01:00:00	-1.7	58.2	3600	1299027600	35675	15.11	3
2011-03-02 02:00:00	-1.7	58.2	7200	1299031200	35675	15.11	3
2011-03-02 03:00:00	-1.2	58.2	10800	1299034800	35675	15.11	3
2011-03-02 04:00:00	-1.0	58.2	14400	1299038400	35675	15.11	3
2011-03-02 05:00:00	-0.7	58.2	18000	1299042000	35675	15.11	3
2011-03-02 06:00:00	-0.8	58.2	21600	1299045600	35675	15.11	3
2011-03-02 07:00:00	0.0	58.2	25200	1299049200	35675	15.11	3
2011-03-02 08:00:00	1.5	58.2	28800	1299052800	35675	15.11	3
2011-03-02 09:00:00	3.3	58.2	32400	1299056400	35675	15.11	3
2011-03-02 10:00:00	4.3	58.2	36000	1299060000	35675	15.11	3
2011-03-02 11:00:00	5.5	58.2	39600	1299063600	35675	15.11	3
2011-03-02 12:00:00	6.7	58.2	43200	1299067200	35675	15.11	3
2011-03-02 13:00:00	7.4	756.6	46800	1299070800	267962	15.11	3
2011-03-02 14:00:00	7.3	58.2	50400	1299074400	35675	15.11	3
2011-03-02 15:00:00	7.4	494.7	54000	1299078000	171830	15.11	3
2011-03-02 16:00:00	6.0	58.2	57600	1299081600	35675	15.11	3
2011-03-02 17:00:00	4.1	58.2	61200	1299085200	35675	15.11	3
2011-03-02 18:00:00	2.8	446.2	64800	1299088800	154193	15.11	3
2011-03-02 19:00:00	1.1	514.1	68400	1299092400	177855	15.11	3
2011-03-02 20:00:00	-0.1	58.2	72000	1299096000	35675	15.11	3
2011-03-02 21:00:00	-0.9	58.2	75600	1299099600	35675	15.11	3
2011-03-02 22:00:00	-2.3	58.2	79200	1299103200	35675	15.11	3
2011-03-02 23:00:00	-3.2	465.6	82800	1299106800	160413	15.11	3
2011-03-03 00:00:00	-4.1	58.2	0	1299110400	35675	15.11	3
2011-03-03 01:00:00	-4.8	407.4	3600	1299114000	141984	15.11	3
2011-03-03 02:00:00	-5.4	58.2	7200	1299117600	35675	15.11	3
2011-03-03 03:00:00	-5.8	58.2	10800	1299121200	35675	15.11	3
2011-03-03 04:00:00	-6.0	58.2	14400	1299124800	35675	15.11	3
2011-03-03 05:00:00	-6.4	58.2	18000	1299128400	35675	15.11	3
2011-03-03 06:00:00	-6.9	58.2	21600	1299132000	35675	15.11	3
2011-03-03 07:00:00	-6.4	58.2	25200	1299135600	35675	15.11	3
2011-03-03 08:00:00	-5.7	58.2	28800	1299139200	35675	15.11	3
2011-03-03 09:00:00	-5.1	58.2	32400	1299142800	35675	15.11	3
2011-03-03 10:00:00	-3.8	426.8	36000	1299146400	147849	15.11	3
2011-03-03 11:00:00	-4.3	58.2	39600	1299150000	35675	15.11	3
2011-03-03 12:00:00	-3.9	58.2	43200	1299153600	35675	15.11	3
2011-03-03 13:00:00	-3.2	58.2	46800	1299157200	35675	15.11	3
2011-03-03 14:00:00	-2.0	58.2	50400	1299160800	35675	15.11	3
2011-03-03 15:00:00	-2.1	58.2	54000	1299164400	35675	15.11	3
2011-03-03 16:00:00	-2.5	58.2	57600	1299168000	35675	15.11	3
2011-03-03 17:00:00	-3.3	58.2	61200	1299171600	35675	15.11	3
2011-03-03 18:00:00	-3.7	58.2	64800	1299175200	35675	15.11	3
2011-03-03 19:00:00	-3.4	58.2	68400	1299178800	35675	15.11	3
2011-03-03 20:00:00	-3.7	58.2	72000	1299182400	35675	15.11	3
2011-03-03 21:00:00	-4.1	58.2	75600	1299186000	35675	15.11	3
2011-03-03 22:00:00	-3.8	58.2	79200	1299189600	35675	15.11	3
2011-03-03 23:00:00	-3.3	58.2	82800	1299193200	35675	15.11	3
2011-03-04 00:00:00	-3.2	58.2	0	1299196800	35675	15.11	3
2011-03-04 01:00:00	-2.9	58.2	3600	1299200400	35675	15.11	3
2011-03-04 02:00:00	-2.7	58.2	7200	1299204000	35675	15.11	3
2011-03-04 03:00:00	-2.7	58.2	10800	1299207600	35675	15.11	3
2011-03-04 04:00:00	-3.6	58.2	14400	1299211200	35675	15.11	3
2011-03-04 05:00:00	-3.4	58.2	18000	1299214800	35675	15.11	3
2011-03-04 06:00:00	-3.6	58.2	21600	1299218400	35675	15.11	3
2011-03-04 07:00:00	-2.2	58.2	25200	1299222000	35675	15.11	3
2011-03-04 08:00:00	-0.7	58.2	28800	1299225600	35675	15.11	3
2011-03-04 09:00:00	0.1	58.2	32400	1299229200	35675	15.11	3
2011-03-04 10:00:00	1.1	58.2	36000	1299232800	35675	15.11	3
2011-03-04 11:00:00	1.1	58.2	39600	1299236400	35675	15.11	3
2011-03-04 12:00:00	1.6	58.2	43200	1299240000	35675	15.11	3
2011-03-04 13:00:00	2.8	58.2	46800	1299243600	35675	15.11	3
2011-03-04 14:00:00	3.1	58.2	50400	1299247200	35675	15.11	3
2011-03-04 15:00:00	3.3	58.2	54000	1299250800	35675	15.11	3
2011-03-04 16:00:00	3.7	58.2	57600	1299254400	35675	15.11	3
2011-03-04 17:00:00	3.1	58.2	61200	1299258000	35675	15.11	3
2011-03-04 18:00:00	3.2	58.2	64800	1299261600	35675	15.11	3
2011-03-04 19:00:00	3.1	58.2	68400	1299265200	35675	15.11	3
2011-03-04 20:00:00	3.4	58.2	72000	1299268800	35675	15.11	3
