	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	month
2012-01-01 00:00:00	3.5	58.2	0	1325376000	35675	15.11	1
2012-01-01 01:00:00	3.5	611.1	3600	1325379600	218153	15.11	1
2012-01-01 02:00:00	2.7	601.4	7200	1325383200	213687	15.11	1
2012-01-01 03:00:00	1.3	688.7	10800	1325386800	254945	15.11	1
2012-01-01 04:00:00	1.2	727.5	14400	1325390400	275196	15.11	1
2012-01-01 05:00:00	-0.2	766.3	18000	1325394000	257316	15.11	1
2012-01-01 06:00:00	0.3	756.6	21600	1325397600	265661	15.11	1
2012-01-01 07:00:00	0.3	717.8	25200	1325401200	269893	15.11	1
2012-01-01 08:00:00	4.3	708.1	28800	1325404800	265613	15.11	1
2012-01-01 09:00:00	6.3	698.4	32400	1325408400	261250	15.11	1
2012-01-01 10:00:00	7.2	669.3	36000	1325412000	246930	15.11	1
2012-01-01 11:00:00	8.3	58.2	39600	1325415600	35675	15.11	1
2012-01-01 12:00:00	8.5	630.5	43200	1325419200	229052	15.11	1
2012-01-01 13:00:00	9.0	58.2	46800	1325422800	35675	15.11	1
2012-01-01 14:00:00	8.9	58.2	50400	1325426400	35675	15.11	1
2012-01-01 15:00:00	9.2	58.2	54000	1325430000	35675	15.11	1
2012-01-01 16:00:00	8.6	58.2	57600	1325433600	35675	15.11	1
2012-01-01 17:00:00	8.6	58.2	61200	1325437200	35675	15.11	1
2012-01-01 18:00:00	8.6	58.2	64800	1325440800	35675	15.11	1
2012-01-01 19:00:00	9.1	58.2	68400	1325444400	35675	15.11	1
2012-01-01 20:00:00	9.9	58.2	72000	1325448000	35675	15.11	1
2012-01-01 21:00:00	7.9	582.0	75600	1325451600	206813	15.11	1
2012-01-01 22:00:00	5.7	533.5	79200	1325455200	185956	15.11	1
2012-01-01 23:00:00	3.4	679.0	82800	1325458800	250463	15.11	1
2012-01-02 00:00:00	2.9	58.2	0	1325462400	35675	15.11	1
2012-01-02 01:00:00	2.5	58.2	3600	1325466000	35675	15.11	1
2012-01-02 02:00:00	1.8	58.2	7200	1325469600	35675	15.11	1
2012-01-02 03:00:00	0.4	58.2	10800	1325473200	35675	15.11	1
2012-01-02 04:00:00	-1.4	58.2	14400	1325476800	35675	15.11	1
