	Twet	Load	Tset
228	13.4	745.0	17.11
229	13.2	745.0	16.11
230	12.7	728.0	16.11
231	12.7	920.0	15.11
232	12.7	699.0	16.11
233	12.2	707.0	15.11
234	12.6	693.0	16.11
235	12.0	686.0	15.11
236	12.3	671.0	15.11
237	11.5	669.0	15.11
238	11.8	676.0	15.11
239	13.0	707.0	16.11
240	14.5	749.0	18.11
241	14.6	816.0	17.11
242	13.9	863.0	16.11
243	13.9	731.0	17.11
244	13.9	909.0	16.11
245	14.1	936.0	17.11
246	14.5	942.0	17.11
247	14.7	939.0	17.11
248	14.9	940.0	17.11
249	14.7	896.0	17.11
250	14.5	817.0	17.11
251	14.6	783.0	18.11
252	15.0	787.0	18.11
253	14.7	745.0	18.11
254	14.8	729.0	18.11
255	14.8	920.0	17.11
256	14.4	710.0	17.11
257	14.1	717.0	17.11
258	14.1	726.0	17.11
259	13.6	716.0	17.11
260	13.1	711.0	16.11
261	13.0	705.0	16.11
262	12.8	703.0	16.11
263	13.8	736.0	17.11
264	15.1	739.0	18.11
265	16.9	859.0	19.11
266	17.3	636.0	20.11
267	17.3	1284.0	20.11
268	16.1	934.0	18.11
269	16.5	842.0	19.11
270	16.8	1243.0	19.11
271	17.2	1178.0	20.11
272	17.5	1173.0	20.11
273	17.5	1486.0	20.11
274	16.7	935.0	19.11
275	16.5	831.0	19.11
276	16.4	791.0	19.11
277	16.2	758.0	19.11
278	15.3	746.0	18.11
279	15.3	936.0	18.11
280	15.9	741.0	19.11
281	15.7	738.0	19.11
282	15.7	735.0	19.11
283	15.3	741.0	18.11
284	15.3	729.0	18.11
285	15.3	727.0	18.11
286	14.5	728.0	18.11
287	15.8	781.0	19.11
288	16.5	861.0	19.11
289	17.1	921.0	19.11
290	18.0	945.0	20.11
291	17.6	739.0	20.11
292	17.1	605.0	20.11
293	17.5	1156.0	20.11
294	18.0	1185.0	21.11
295	18.5	1223.0	21.11
296	17.7	1200.0	20.11
297	18.5	1148.0	21.11
298	19.1	1124.0	22.11
299	18.5	905.0	21.11
300	18.1	835.0	20.11
301	17.6	815.0	20.11
302	17.4	783.0	20.11
303	17.0	946.0	19.11
304	16.2	758.0	19.11
305	16.2	745.0	19.11
306	15.9	746.0	19.11
307	16.0	749.0	19.11
308	15.8	739.0	19.11
309	16.3	734.0	19.11
310	16.4	741.0	19.11
311	17.5	787.0	20.11
312	18.3	882.0	21.11
313	19.4	936.0	22.11
314	20.7	946.0	23.11
315	19.7	618.0	22.11
316	20.4	1328.0	23.11
317	19.5	942.0	22.11
318	19.3	641.0	22.11
319	19.6	1210.0	22.11
320	19.9	1179.0	22.11
321	20.2	1138.0	23.11
322	19.1	1461.0	22.11
323	19.1	898.0	21.11
324	19.0	858.0	21.11
325	19.9	859.0	22.11
326	20.0	830.0	22.11
327	19.2	1147.0	22.11
328	18.8	845.0	21.11
329	17.8	769.0	21.11
330	17.3	743.0	20.11
331	17.5	739.0	20.11
332	17.4	730.0	20.11
333	15.2	684.0	18.11
334	12.5	669.0	16.11
335	12.7	647.0	16.11
336	13.4	684.0	16.11
337	13.6	712.0	17.11
338	14.1	722.0	17.11
339	14.8	829.0	17.11
340	15.2	755.0	18.11
341	15.9	759.0	19.11
342	15.6	777.0	19.11
343	15.6	775.0	19.11
344	15.4	751.0	18.11
345	15.2	732.0	18.11
346	14.3	724.0	17.11
347	14.1	702.0	17.11
348	13.9	685.0	17.11
349	13.7	695.0	17.11
350	13.9	695.0	17.11
351	13.7	732.0	17.11
352	14.0	677.0	17.11
353	13.8	686.0	17.11
354	13.2	665.0	16.11
355	12.5	650.0	16.11
356	12.8	669.0	16.11
357	13.0	646.0	16.11
358	13.0	650.0	16.11
359	13.6	659.0	17.11
360	13.8	674.0	17.11
