Index	Twet	Load	Tset
226	1.7	55.0	15.11
227	2.0	54.0	15.11
228	2.6	54.0	15.11
229	3.3	55.0	15.11
230	3.1	55.0	15.11
231	3.3	53.0	15.11
232	3.4	54.0	15.11
233	3.9	55.0	15.11
234	4.0	55.0	15.11
235	4.0	55.0	15.11
236	3.7	55.0	15.11
237	3.4	54.0	15.11
238	3.5	55.0	15.11
239	3.0	54.0	15.11
240	2.9	56.0	15.11
241	2.4	55.0	15.11
242	2.0	54.0	15.11
243	1.5	54.0	15.11
244	1.2	54.0	15.11
245	1.5	54.0	15.11
246	1.5	54.0	15.11
247	1.8	54.0	15.11
248	2.1	54.0	15.11
249	2.5	55.0	15.11
250	2.5	54.0	15.11
251	2.8	55.0	15.11
252	2.7	54.0	15.11
253	2.4	55.0	15.11
254	0.1	55.0	15.11
255	-1.3	54.0	15.11
256	-3.0	54.0	15.11
257	-3.9	55.0	15.11
258	-4.8	54.0	15.11
259	-5.4	54.0	15.11
260	-5.3	54.0	15.11
261	-5.3	54.0	15.11
262	-6.0	54.0	15.11
263	-6.1	54.0	15.11
264	-6.9	54.0	15.11
265	-6.9	54.0	15.11
266	-6.7	53.0	15.11
267	-6.7	53.0	15.11
268	-7.0	52.0	15.11
269	-7.2	54.0	15.11
270	-6.8	54.0	15.11
271	-6.1	54.0	15.11
272	-5.8	53.0	15.11
273	-5.4	53.0	15.11
274	-4.5	54.0	15.11
275	-4.2	54.0	15.11
276	-4.2	54.0	15.11
277	-3.5	54.0	15.11
278	-3.8	54.0	15.11
279	-4.1	53.0	15.11
280	-4.4	53.0	15.11
281	-4.8	53.0	15.11
282	-5.3	53.0	15.11
283	-5.2	53.0	15.11
284	-5.2	54.0	15.11
285	-5.0	53.0	15.11
286	-5.3	53.0	15.11
287	-4.9	54.0	15.11
288	-5.2	53.0	15.11
289	-5.5	53.0	15.11
290	-5.8	53.0	15.11
291	-6.0	54.0	15.11
292	-6.5	53.0	15.11
293	-6.2	54.0	15.11
294	-5.7	54.0	15.11
295	-4.3	53.0	15.11
296	-2.3	54.0	15.11
297	-0.5	55.0	15.11
298	0.3	53.0	15.11
299	1.4	54.0	15.11
300	2.3	54.0	15.11
301	2.2	55.0	15.11
302	2.3	53.0	15.11
303	1.4	53.0	15.11
304	1.4	56.0	15.11
305	1.7	55.0	15.11
306	0.9	55.0	15.11
307	1.2	55.0	15.11
308	0.6	54.0	15.11
309	1.4	54.0	15.11
310	1.1	54.0	15.11
311	0.7	54.0	15.11
312	0.9	54.0	15.11
313	1.1	53.0	15.11
314	1.6	54.0	15.11
315	0.7	53.0	15.11
316	0.6	54.0	15.11
317	1.3	55.0	15.11
318	0.9	55.0	15.11
319	1.4	54.0	15.11
320	1.5	54.0	15.11
321	2.4	54.0	15.11
322	3.6	54.0	15.11
323	5.4	54.0	15.11
324	6.6	724.0	15.11
325	5.8	550.0	15.11
326	6.0	577.0	15.11
327	5.2	555.0	15.11
328	4.9	538.0	15.11
329	5.2	407.0	15.11
330	4.9	377.0	15.11
331	4.9	388.0	15.11
332	4.6	382.0	15.11
333	3.9	55.0	15.11
334	4.3	54.0	15.11
335	3.3	55.0	15.11
336	3.1	54.0	15.11
337	4.0	54.0	15.11
338	2.9	55.0	15.11
339	3.0	54.0	15.11
340	3.5	53.0	15.11
341	3.8	53.0	15.11
342	3.8	54.0	15.11
343	4.7	53.0	15.11
344	5.0	53.0	15.11
345	5.4	53.0	15.11
346	5.8	54.0	15.11
347	6.3	476.0	15.11
348	6.1	626.0	15.11
349	6.4	771.0	15.11
350	5.9	378.0	15.11
351	5.6	394.0	15.11
352	4.9	522.0	15.11
353	4.5	414.0	15.11
354	4.0	54.0	15.11
355	3.7	54.0	15.11
356	4.0	54.0	15.11
357	3.6	54.0	15.11
358	3.9	1100.0	15.11
359	3.4	54.0	15.11
360	3.3	54.0	15.11
361	3.2	54.0	15.11
362	3.6	53.0	15.11
363	3.6	52.0	15.11
364	3.7	53.0	15.11
365	3.9	52.0	15.11
366	3.9	53.0	15.11
367	4.8	53.0	15.11
368	5.0	52.0	15.11
369	5.4	54.0	15.11
370	5.7	54.0	15.11
371	5.9	53.0	15.11
372	6.5	55.0	15.11
373	6.7	53.0	15.11
374	7.0	54.0	15.11
375	6.7	54.0	15.11
376	6.1	54.0	15.11
377	6.1	53.0	15.11
378	6.4	54.0	15.11
379	5.6	54.0	15.11
380	5.6	53.0	15.11
381	5.3	54.0	15.11
382	5.6	54.0	15.11
383	4.1	54.0	15.11
384	4.7	53.0	15.11
385	4.7	53.0	15.11
386	4.7	53.0	15.11
387	4.7	53.0	15.11
388	5.0	54.0	15.11
389	4.2	53.0	15.11
390	4.5	54.0	15.11
391	5.8	53.0	15.11
392	5.9	54.0	15.11
393	5.4	54.0	15.11
394	5.8	53.0	15.11
395	5.3	489.0	15.11
396	5.4	565.0	15.11
397	5.5	556.0	15.11
398	5.3	920.0	15.11
399	4.8	795.0	15.11
400	4.2	490.0	15.11
401	4.5	409.0	15.11
402	4.3	55.0	15.11
403	3.7	53.0	15.11
404	3.7	53.0	15.11
405	3.4	53.0	15.11
406	2.7	896.0	15.11
