	Twet	Load	Tset
227	10.1	55.0	15.11
228	10.4	55.0	15.11
229	11.0	753.0	15.11
230	10.4	55.0	15.11
231	10.1	55.0	15.11
232	9.0	629.0	15.11
233	9.3	55.0	15.11
234	8.7	640.0	15.11
235	8.1	57.0	15.11
236	7.6	635.0	15.11
237	6.8	55.0	15.11
238	6.7	54.0	15.11
239	6.0	54.0	15.11
240	6.2	55.0	15.11
241	6.4	55.0	15.11
242	5.6	54.0	15.11
243	5.1	55.0	15.11
244	5.3	355.0	15.11
245	5.3	54.0	15.11
246	6.2	54.0	15.11
247	7.6	56.0	15.11
248	8.4	55.0	15.11
249	10.0	56.0	15.11
250	10.5	54.0	15.11
251	11.8	54.0	18.11
252	12.5	55.0	15.11
253	11.8	1243.0	15.11
254	11.3	55.0	26.11
255	11.5	56.0	26.11
256	10.8	55.0	15.11
257	10.3	939.0	15.11
258	9.7	56.0	15.11
259	9.7	508.0	15.11
260	9.4	56.0	15.11
261	9.7	55.0	15.11
262	9.4	55.0	15.11
263	8.9	468.0	15.11
264	8.9	55.0	15.11
265	9.1	827.0	15.11
266	9.1	510.0	15.11
267	8.9	789.0	15.11
268	9.1	493.0	15.11
269	9.9	725.0	15.11
270	10.5	456.0	15.11
271	11.8	876.0	15.11
272	12.8	884.0	15.11
273	14.1	845.0	16.11
274	15.3	497.0	18.11
275	16.2	489.0	19.11
276	15.5	546.0	18.11
277	14.8	664.0	18.11
278	14.8	1153.0	18.11
279	15.0	977.0	17.11
280	14.1	950.0	17.11
281	14.9	1018.0	17.11
282	14.7	464.0	17.11
283	14.7	469.0	17.11
284	14.7	469.0	17.11
285	15.5	475.0	18.11
286	15.0	981.0	17.11
287	11.6	471.0	15.11
288	8.3	55.0	15.11
289	8.1	428.0	15.11
290	7.5	460.0	15.11
291	7.0	54.0	15.11
292	5.9	54.0	15.11
293	5.9	466.0	15.11
294	5.6	53.0	15.11
295	5.4	54.0	15.11
296	4.4	452.0	15.11
297	4.8	496.0	15.11
298	4.6	482.0	15.11
299	4.5	427.0	15.11
300	5.4	456.0	15.11
301	5.3	463.0	15.11
302	4.7	451.0	15.11
303	4.0	441.0	15.11
304	3.7	53.0	15.11
305	2.7	508.0	15.11
306	2.2	455.0	15.11
307	1.9	54.0	15.11
308	1.3	55.0	15.11
309	1.3	54.0	15.11
310	0.9	52.0	15.11
311	0.6	55.0	15.11
312	0.3	55.0	15.11
313	0.4	56.0	15.11
314	0.1	55.0	15.11
315	0.3	53.0	15.11
316	0.6	54.0	15.11
317	1.0	53.0	15.11
318	1.9	53.0	15.11
319	2.3	54.0	15.11
320	2.5	54.0	15.11
321	3.0	54.0	15.11
322	3.3	650.0	15.11
323	4.1	55.0	15.11
324	4.1	53.0	15.11
325	3.9	54.0	15.11
326	3.6	53.0	15.11
327	3.0	53.0	15.11
328	3.4	54.0	15.11
329	2.6	53.0	15.11
330	2.6	54.0	15.11
331	2.7	54.0	15.11
332	2.1	54.0	15.11
333	1.3	55.0	15.11
334	1.3	54.0	15.11
335	1.7	56.0	15.11
336	2.2	53.0	15.11
337	2.2	54.0	15.11
338	2.5	54.0	15.11
339	3.0	55.0	15.11
340	3.2	55.0	15.11
341	3.5	55.0	15.11
342	3.3	53.0	15.11
343	3.8	53.0	15.11
344	4.3	52.0	15.11
345	5.2	54.0	15.11
346	5.9	55.0	15.11
347	6.0	53.0	15.11
348	6.0	54.0	15.11
349	6.2	54.0	15.11
350	5.7	54.0	15.11
351	5.4	54.0	15.11
352	5.2	54.0	15.11
353	4.9	53.0	15.11
354	4.6	53.0	15.11
355	4.3	52.0	15.11
356	4.3	54.0	15.11
357	3.8	54.0	15.11
358	4.0	53.0	15.11
359	3.5	55.0	15.11
360	3.7	54.0	15.11
361	3.2	53.0	15.11
362	3.2	53.0	15.11
363	3.5	54.0	15.11
364	3.0	53.0	15.11
365	3.3	52.0	15.11
366	3.4	54.0	15.11
367	4.0	53.0	15.11
368	4.3	924.0	15.11
369	5.1	54.0	15.11
370	5.5	54.0	15.11
371	5.9	621.0	15.11
372	5.6	482.0	15.11
373	6.2	54.0	15.11
374	5.6	641.0	15.11
375	4.6	964.0	15.11
376	4.5	53.0	15.11
377	4.5	53.0	15.11
378	4.3	53.0	15.11
379	3.9	53.0	15.11
380	3.6	54.0	15.11
381	3.4	53.0	15.11
382	2.6	53.0	15.11
383	1.6	53.0	15.11
384	1.5	53.0	15.11
385	1.5	54.0	15.11
386	1.1	53.0	15.11
387	1.1	53.0	15.11
388	1.1	53.0	15.11
389	0.8	54.0	15.11
390	2.0	53.0	15.11
391	3.9	53.0	15.11
392	4.3	53.0	15.11
393	5.1	53.0	15.11
394	5.5	54.0	15.11
395	5.8	53.0	15.11
396	6.2	54.0	15.11
397	5.7	53.0	15.11
398	5.5	53.0	15.11
399	4.5	53.0	15.11
400	5.0	54.0	15.11
401	4.1	54.0	15.11
402	5.4	54.0	15.11
403	3.8	53.0	15.11
404	3.9	53.0	15.11
405	3.4	53.0	15.11
406	3.4	53.0	15.11
407	3.6	54.0	15.11
408	3.5	53.0	15.11
409	4.3	54.0	15.11
410	4.3	54.0	15.11
411	3.8	54.0	15.11
412	3.8	54.0	15.11
413	3.8	54.0	15.11
414	3.9	53.0	15.11
415	5.0	53.0	15.11
416	5.6	53.0	15.11
417	6.7	53.0	15.11
418	7.7	53.0	15.11
419	7.7	54.0	15.11
420	7.7	54.0	15.11
421	7.7	53.0	15.11
422	7.4	53.0	15.11
423	7.1	54.0	15.11
424	6.6	53.0	15.11
425	6.3	54.0	15.11
426	6.3	54.0	15.11
427	6.3	53.0	15.11
428	6.6	54.0	15.11
429	6.6	52.0	15.11
430	6.6	54.0	15.11
431	6.4	52.0	15.11
432	6.1	54.0	15.11
433	6.1	400.0	15.11
434	6.1	53.0	15.11
435	6.1	520.0	15.11
436	6.1	54.0	15.11
437	5.8	458.0	15.11
438	6.1	54.0	15.11
439	6.3	502.0	15.11
440	6.6	53.0	15.11
441	7.1	53.0	15.11
442	7.9	53.0	15.11
443	8.5	53.0	15.11
444	8.8	497.0	15.11
445	8.5	510.0	15.11
446	8.2	492.0	15.11
447	8.0	55.0	15.11
448	7.5	531.0	15.11
449	7.2	55.0	15.11
450	6.7	53.0	15.11
451	6.0	54.0	15.11
452	5.6	54.0	15.11
453	5.6	53.0	15.11
454	4.8	54.0	15.11
455	5.3	56.0	15.11
456	5.2	52.0	15.11
457	5.5	53.0	15.11
458	5.3	54.0	15.11
459	5.3	53.0	15.11
460	5.5	54.0	15.11
461	5.3	53.0	15.11
462	5.5	54.0	15.11
463	6.8	54.0	15.11
464	7.9	53.0	15.11
465	8.9	53.0	15.11
466	8.9	54.0	15.11
467	9.2	54.0	15.11
468	9.2	587.0	15.11
469	9.5	55.0	15.11
470	8.7	53.0	15.11
471	8.4	54.0	15.11
472	8.1	1048.0	15.11
473	8.1	54.0	15.11
474	7.8	53.0	15.11
475	6.8	53.0	15.11
476	6.8	53.0	15.11
477	5.9	54.0	15.11
478	6.4	55.0	15.11
479	5.6	54.0	15.11
480	4.2	55.0	15.11
481	4.2	53.0	15.11
482	4.2	54.0	15.11
483	4.0	54.0	15.11
484	4.0	54.0	15.11
485	3.4	55.0	15.11
486	3.8	54.0	15.11
487	5.4	54.0	15.11
488	6.2	55.0	15.11
489	6.6	54.0	15.11
490	7.0	54.0	15.11
491	6.6	54.0	15.11
492	6.9	55.0	15.11
493	7.2	55.0	15.11
494	6.4	946.0	15.11
495	5.3	55.0	15.11
496	5.9	56.0	15.11
497	5.0	54.0	15.11
498	4.9	54.0	15.11
499	4.8	55.0	15.11
500	4.1	55.0	15.11
501	4.1	56.0	15.11
502	4.0	54.0	15.11
503	2.7	54.0	15.11
504	1.2	54.0	15.11
505	1.4	54.0	15.11
506	0.9	53.0	15.11
507	1.2	54.0	15.11
508	1.9	54.0	15.11
509	0.7	54.0	15.11
510	1.5	54.0	15.11
511	3.5	54.0	15.11
512	5.2	55.0	15.11
513	6.1	55.0	15.11
514	6.5	54.0	15.11
515	6.7	878.0	15.11
516	7.2	55.0	15.11
517	7.1	561.0	15.11
518	7.0	54.0	15.11
519	6.5	55.0	15.11
520	5.8	534.0	15.11
521	7.3	55.0	15.11
522	5.8	54.0	15.11
523	4.8	55.0	15.11
524	4.1	55.0	15.11
525	3.9	55.0	15.11
526	2.7	55.0	15.11
527	3.5	54.0	15.11
528	2.6	54.0	15.11
529	2.1	54.0	15.11
530	1.7	55.0	15.11
531	1.6	54.0	15.11
532	1.9	55.0	15.11
533	1.9	55.0	15.11
534	1.8	53.0	15.11
535	3.3	54.0	15.11
536	5.1	740.0	15.11
537	6.4	55.0	15.11
538	6.9	55.0	15.11
539	7.6	543.0	15.11
540	8.7	528.0	15.11
541	8.9	516.0	15.11
542	8.7	513.0	15.11
543	8.5	55.0	15.11
544	8.6	654.0	15.11
545	8.8	492.0	15.11
546	7.9	54.0	15.11
547	8.6	55.0	15.11
548	6.4	55.0	15.11
549	5.7	54.0	15.11
550	4.9	55.0	15.11
551	3.4	55.0	15.11
552	2.0	56.0	15.11
553	0.6	55.0	15.11
554	0.0	55.0	15.11
555	-0.3	55.0	15.11
556	-0.6	55.0	15.11
557	-9.1	55.0	15.11
558	0.2	55.0	15.11
559	0.1	56.0	15.11
560	0.2	54.0	15.11
561	0.6	55.0	15.11
562	0.7	55.0	15.11
563	2.0	55.0	15.11
564	1.4	55.0	15.11
565	0.6	55.0	15.11
566	0.3	56.0	15.11
567	0.0	54.0	15.11
568	-0.1	54.0	15.11
569	-0.1	54.0	15.11
570	-0.5	55.0	15.11
571	-0.8	55.0	15.11
572	-0.9	55.0	15.11
573	-0.9	54.0	15.11
574	-1.3	55.0	15.11
575	-1.8	54.0	15.11
576	-1.9	55.0	15.11
577	-1.8	55.0	15.11
578	-1.6	55.0	15.11
579	-1.6	54.0	15.11
580	-1.5	54.0	15.11
581	-1.3	54.0	15.11
582	-1.3	55.0	15.11
583	-0.5	54.0	15.11
584	-0.3	54.0	15.11
585	-0.1	54.0	15.11
586	0.1	54.0	15.11
587	0.1	53.0	15.11
588	1.2	54.0	15.11
589	1.2	56.0	15.11
590	0.9	55.0	15.11
591	0.6	55.0	15.11
592	0.1	55.0	15.11
593	0.1	55.0	15.11
594	0.6	54.0	15.11
595	0.4	54.0	16.11
596	0.2	53.0	15.11
597	0.1	55.0	15.11
598	-0.1	54.0	15.11
599	-0.7	54.0	15.11
600	-1.0	54.0	15.11
601	-0.7	54.0	15.11
602	-0.1	54.0	15.11
603	0.0	55.0	15.11
604	0.3	54.0	15.11
605	0.2	54.0	15.11
606	0.9	55.0	15.11
607	1.7	54.0	15.11
608	3.2	54.0	15.11
609	4.8	569.0	15.11
610	5.4	54.0	15.11
611	5.7	54.0	15.11
612	5.7	55.0	15.11
613	5.8	656.0	15.11
614	5.8	54.0	15.11
615	5.1	55.0	15.11
616	5.1	56.0	15.11
617	4.0	54.0	15.11
618	4.0	55.0	15.11
619	3.8	55.0	15.11
620	4.1	56.0	15.11
621	4.5	55.0	15.11
622	4.5	55.0	15.11
623	4.8	55.0	15.11
624	4.7	54.0	15.11
625	4.7	55.0	15.11
626	4.6	55.0	15.11
627	4.6	54.0	15.11
628	4.8	55.0	15.11
629	4.8	54.0	15.11
630	5.1	55.0	15.11
631	5.6	585.0	15.11
632	5.6	54.0	15.11
633	5.1	55.0	15.11
634	4.0	55.0	15.11
635	4.0	55.0	15.11
636	4.0	55.0	15.11
637	3.8	54.0	15.11
638	4.1	55.0	15.11
639	4.1	54.0	15.11
640	3.0	56.0	15.11
641	2.6	55.0	15.11
642	2.3	55.0	15.11
643	1.9	54.0	15.11
644	1.6	54.0	15.11
645	2.5	54.0	15.11
646	2.3	55.0	15.11
647	2.3	54.0	15.11
648	2.6	54.0	15.11
649	2.4	54.0	15.11
650	2.2	54.0	15.11
651	1.9	54.0	15.11
652	1.5	54.0	15.11
653	0.7	54.0	15.11
654	0.4	54.0	16.11
655	1.6	54.0	15.11
656	1.7	54.0	15.11
657	2.5	55.0	15.11
658	3.0	56.0	15.11
659	3.4	56.0	15.11
660	3.9	606.0	15.11
661	3.1	55.0	15.11
662	2.7	54.0	15.11
663	2.4	55.0	15.11
664	1.7	55.0	15.11
665	1.6	54.0	15.11
666	1.6	55.0	15.11
667	1.1	55.0	15.11
668	0.9	55.0	15.11
669	0.6	56.0	15.11
670	0.0	496.0	15.11
671	-0.2	54.0	15.11
672	-0.2	55.0	15.11
673	-0.3	56.0	15.11
674	-0.5	54.0	15.11
675	-0.8	54.0	15.11
676	0.0	55.0	15.11
677	-1.5	55.0	15.11
678	-0.6	54.0	15.11
679	0.3	55.0	15.11
680	2.5	54.0	15.11
681	3.4	55.0	15.11
682	3.8	55.0	15.11
683	3.7	56.0	15.11
684	4.2	54.0	15.11
685	4.2	494.0	15.11
686	3.8	55.0	15.11
687	3.1	54.0	15.11
688	2.9	366.0	15.11
689	2.6	54.0	15.11
690	2.2	54.0	15.11
691	2.0	54.0	15.11
692	2.2	55.0	15.11
693	2.3	54.0	15.11
694	2.1	578.0	15.11
695	1.0	54.0	15.11
696	1.5	54.0	15.11
697	1.2	54.0	15.11
698	0.7	55.0	15.11
699	0.0	55.0	15.11
700	0.2	53.0	15.11
701	0.7	55.0	15.11
702	0.7	56.0	15.11
703	1.7	54.0	15.11
704	3.5	54.0	15.11
705	4.5	529.0	15.11
706	5.4	54.0	15.11
707	5.6	629.0	15.11
708	5.6	56.0	15.11
709	5.9	55.0	15.11
710	5.5	732.0	15.11
711	4.8	55.0	15.11
712	4.9	617.0	15.11
713	4.9	54.0	15.11
714	4.6	55.0	15.11
715	3.8	56.0	15.11
716	4.1	55.0	15.11
717	3.8	55.0	15.11
718	3.0	54.0	15.11
