Date	Twet	Load	Twet+Err	Load+Err
3/1/2012 0:00	11.3	58.2	15.46	55.1
3/1/2012 1:00	11.9	58.2	15.03	56.12
3/1/2012 2:00	13.8	58.2	18.79	63.49
3/1/2012 3:00	13.2	58.2	16.66	54.6
3/1/2012 4:00	12.7	58.2	16.28	62.7
3/1/2012 5:00	12.4	669.3	16.53	628.26
3/1/2012 6:00	12.7	698.4	17.49	831.56
3/1/2012 7:00	13.2	698.4	17.36	805.4
3/1/2012 8:00	13.6	717.8	17.28	588.24
3/1/2012 9:00	11.2	717.8	15.93	702.14
3/1/2012 10:00	10.5	708.1	13.88	645.72
3/1/2012 11:00	10.4	708.1	15.11	585.32
3/1/2012 12:00	11.1	640.2	14.77	526.26
3/1/2012 13:00	10.6	630.5	15.24	754.08
3/1/2012 14:00	10.4	58.2	14.6	48.64
3/1/2012 15:00	10.2	58.2	14.06	55.51
3/1/2012 16:00	8.9	649.9	13.44	580.79
3/1/2012 17:00	7.7	58.2	11.49	59.4
3/1/2012 18:00	6.4	58.2	10.26	52.62
3/1/2012 19:00	5.7	58.2	9.57	64.73
3/1/2012 20:00	4.9	58.2	8.16	54.11
3/1/2012 21:00	3.9	669.3	7.49	591.75
3/1/2012 22:00	4.2	669.3	8.57	641.41
3/1/2012 23:00	3.3	669.3	6.65	632.93
3/2/2012 0:00	2.4	679	6.09	641.05
3/2/2012 1:00	1.7	679	6.66	759.4
3/2/2012 2:00	0.5	688.7	4.57	551.07
3/2/2012 3:00	0.5	698.4	5.14	704.3
3/2/2012 4:00	0.2	688.7	5.12	820.93
3/2/2012 5:00	0	58.2	3.89	46.92
3/2/2012 6:00	-0.6	58.2	2.7	54.78
3/2/2012 7:00	2.1	58.2	6.31	59.17
3/2/2012 8:00	4.4	58.2	8.97	48.13
3/2/2012 9:00	3.9	58.2	8.14	69.68
3/2/2012 10:00	4.7	58.2	9.05	63.62
3/2/2012 11:00	5.5	58.2	10.11	49.93
3/2/2012 12:00	5.7	58.2	8.97	59.2
3/2/2012 13:00	6.3	58.2	9.44	56.45
3/2/2012 14:00	6.4	58.2	11.28	48.71
3/2/2012 15:00	7.6	58.2	11.99	67.05
3/2/2012 16:00	7.5	58.2	10.65	53.06
3/2/2012 17:00	7.2	58.2	10.78	67.64
3/2/2012 18:00	7.2	58.2	12.09	49.75
3/2/2012 19:00	7.2	58.2	12.1	50.48
3/2/2012 20:00	7.2	58.2	11.32	67.5
3/2/2012 21:00	7.2	58.2	10.66	62.57
3/2/2012 22:00	7.2	58.2	11.41	63.6
3/2/2012 23:00	7.2	58.2	12.2	57.25
3/3/2012 0:00	7.2	58.2	10.25	56.98
3/3/2012 1:00	7.5	58.2	11.42	55.27
3/3/2012 2:00	7.5	58.2	10.74	58.85
3/3/2012 3:00	8	58.2	12.22	48.93
3/3/2012 4:00	8.3	58.2	12.31	54.33
3/3/2012 5:00	8	58.2	11.69	54.96
3/3/2012 6:00	8.6	58.2	13.03	59.59
3/3/2012 7:00	8.8	58.2	12.47	68.31
3/3/2012 8:00	9.4	58.2	13.05	61.93
3/3/2012 9:00	9.7	58.2	13.23	64.93
3/3/2012 10:00	7.9	58.2	12.24	67.02
3/3/2012 11:00	7.3	58.2	10.76	52.94
3/3/2012 12:00	5.5	58.2	9.72	53.58
3/3/2012 13:00	7.1	58.2	11.4	47.64
3/3/2012 14:00	7.7	58.2	11.12	57.52
3/3/2012 15:00	7.4	58.2	10.76	65.07
3/3/2012 16:00	6.4	58.2	9.53	59.52
3/3/2012 17:00	5.4	58.2	8.42	52.8
3/3/2012 18:00	4.1	58.2	9.06	63.1
3/3/2012 19:00	3.3	58.2	8.27	66.14
3/3/2012 20:00	3.5	58.2	6.7	64.39
3/3/2012 21:00	3.2	58.2	7.49	66.91
3/3/2012 22:00	3.5	58.2	6.94	62.15
3/3/2012 23:00	3.5	58.2	7.84	64.79
3/4/2012 0:00	3.1	58.2	6.41	46.6
3/4/2012 1:00	2.7	58.2	5.92	56.17
3/4/2012 2:00	3	58.2	7.62	58.32
3/4/2012 3:00	2.6	58.2	6.83	58.75
3/4/2012 4:00	2.3	58.2	5.6	62.65
3/4/2012 5:00	2	58.2	6.93	60.86
3/4/2012 6:00	1.5	58.2	6.04	65.36
3/4/2012 7:00	1.2	58.2	4.78	54.18
3/4/2012 8:00	1.2	58.2	4.6	66.5
3/4/2012 9:00	1.6	58.2	6.55	61.92
3/4/2012 10:00	1.8	58.2	6.04	54.72
3/4/2012 12:00	2.3	368.6	6.87	342.71
3/4/2012 13:00	1.6	465.6	4.98	528.02
3/4/2012 14:00	2.4	58.2	6.38	60.02
3/4/2012 15:00	1.5	58.2	4.59	53.87
3/4/2012 16:00	1.3	58.2	5.72	62.4
3/4/2012 17:00	0.9	58.2	4.78	48.57
3/4/2012 18:00	0.2	58.2	5.15	67.78
3/4/2012 19:00	0	58.2	3.15	67.3
3/4/2012 20:00	-0.5	58.2	2.67	62.23
3/4/2012 21:00	-0.5	58.2	4.11	59.59
3/4/2012 22:00	-0.8	58.2	3.49	62.08
3/4/2012 23:00	-1.2	58.2	2.56	58.8
3/5/2012 0:00	-1.5	58.2	3.46	68.29
3/5/2012 1:00	-1.5	58.2	1.95	57.56
3/5/2012 2:00	-1.9	58.2	1.46	59.84
3/5/2012 3:00	-2.2	58.2	1.96	48.77
3/5/2012 4:00	-3.3	58.2	1.11	53.03
3/5/2012 5:00	-2.9	58.2	1.18	59.62
3/5/2012 6:00	-2.4	58.2	1.73	66.13
3/5/2012 7:00	-1	378.3	2.15	322.47
3/5/2012 8:00	-0.5	533.5	3.8	476.87
3/5/2012 9:00	0.4	756.6	3.48	860.93
3/5/2012 10:00	0.2	766.3	3.26	744.08
3/5/2012 11:00	0.6	805.1	4.72	827.48
3/5/2012 12:00	0.9	834.2	5.02	961.48
3/5/2012 13:00	1.7	843.9	5.39	830.26
3/5/2012 14:00	1.5	776	5.39	630.49
3/5/2012 15:00	1.7	465.6	4.93	494.21
3/5/2012 16:00	1.7	446.2	4.92	510.37
3/5/2012 17:00	0.3	58.2	5.17	64.95
3/5/2012 18:00	-0.6	446.2	3.8	390.74
3/5/2012 19:00	-1.2	446.2	3.76	469.43
3/5/2012 20:00	-2.2	446.2	1.55	420.17
3/5/2012 21:00	-2.4	446.2	1.88	430.37
3/5/2012 22:00	-2.9	58.2	0.25	68.21
3/5/2012 23:00	-3.2	58.2	0.31	69.15
3/6/2012 0:00	-3.6	58.2	1.15	64
3/6/2012 1:00	-3.9	58.2	-0.86	61.86
3/6/2012 2:00	-4.1	58.2	0.5	67.77
3/6/2012 3:00	-4.3	58.2	-0.99	54.26
3/6/2012 4:00	-5	58.2	-0.44	61.44
3/6/2012 5:00	-5.1	58.2	-2.09	62.51
3/6/2012 6:00	-5	58.2	-0.22	57.7
3/6/2012 7:00	-3.1	58.2	-0.01	49.46
3/6/2012 8:00	-1.5	58.2	3.18	64.07
3/6/2012 9:00	-1	58.2	3.33	57.62
3/6/2012 10:00	0	58.2	3.34	56.04
3/6/2012 11:00	0.3	58.2	4.44	48.14
3/6/2012 12:00	1.4	58.2	5.48	47.32
3/6/2012 13:00	1.8	58.2	6.53	53.22
3/6/2012 14:00	2.2	58.2	6.76	61.04
3/6/2012 15:00	2.5	58.2	7.32	69.59
3/6/2012 16:00	2	58.2	6.22	53.52
3/6/2012 17:00	1.7	58.2	4.84	65.32
3/6/2012 18:00	1.4	58.2	5.29	47.72
3/6/2012 19:00	1.5	58.2	5.98	66.29
3/6/2012 20:00	1.3	58.2	5.26	62.25
3/6/2012 21:00	0.6	58.2	4.47	54.79
3/6/2012 22:00	0.6	58.2	3.83	50.7
3/6/2012 23:00	1.1	58.2	4.49	69.46
3/7/2012 0:00	0.8	58.2	5.17	57.33
3/7/2012 1:00	1.3	58.2	4.99	55.43
3/7/2012 2:00	1	58.2	5	67.85
3/7/2012 3:00	0.5	58.2	3.66	59.84
3/7/2012 4:00	-0.1	58.2	3.85	68.17
3/7/2012 5:00	-0.6	58.2	3.26	52.49
3/7/2012 6:00	-1.2	58.2	2.07	49.88
3/7/2012 7:00	2	58.2	5.69	68.91
3/7/2012 8:00	4.2	58.2	8.79	52.58
3/7/2012 9:00	5.6	523.8	10.45	613.4
3/7/2012 10:00	6.6	591.7	10.37	509.12
3/7/2012 11:00	7.6	58.2	12.08	48.84
3/7/2012 12:00	8.5	504.4	13.44	501.6
3/7/2012 13:00	9.2	523.8	13.02	607.46
3/7/2012 14:00	10.5	659.6	13.73	656.6
3/7/2012 15:00	11.4	58.2	16.12	59.62
3/7/2012 16:00	11.8	58.2	16.64	47.43
3/7/2012 17:00	11.1	58.2	14.7	60.08
3/7/2012 18:00	11	58.2	15.52	66.85
3/7/2012 19:00	10.5	58.2	14.2	62.35
3/7/2012 20:00	10.3	58.2	14.93	54.49
3/7/2012 21:00	10.2	58.2	13.93	62.03
3/7/2012 22:00	10.5	58.2	14.13	51.39
3/7/2012 23:00	10.2	58.2	14.22	46.81
3/8/2012 0:00	10.2	58.2	14.39	50.41
3/8/2012 1:00	10.2	58.2	14.19	47.8
3/8/2012 2:00	10.2	58.2	13.52	51.64
3/8/2012 3:00	9.9	58.2	14.36	64.29
3/8/2012 4:00	10.2	58.2	13.83	63.47
3/8/2012 5:00	10.2	446.2	14.35	513.86
3/8/2012 6:00	10.7	785.7	13.95	824.2
3/8/2012 7:00	11.5	843.9	14.63	678.62
3/8/2012 8:00	12.8	892.4	16.57	818.66
3/8/2012 9:00	13	970	17.48	1077.97
3/8/2012 10:00	13.9	979.7	18.36	1016.66
3/8/2012 11:00	14.4	931.2	17.54	759.17
3/8/2012 12:00	14.6	960.3	17.73	998.53
3/8/2012 13:00	14.8	892.4	19.78	1067.59
3/8/2012 14:00	14.3	843.9	17.79	833
3/8/2012 15:00	14.3	552.9	17.54	484.18
3/8/2012 16:00	13.6	455.9	18.48	537.54
3/8/2012 17:00	13.6	494.7	18.49	430.42
3/8/2012 18:00	13.4	475.3	16.55	418.02
3/8/2012 19:00	13.4	475.3	16.87	515.2
3/8/2012 20:00	13.1	475.3	16.23	422.68
3/8/2012 21:00	13.1	455.9	16.11	534.85
3/8/2012 22:00	13.6	552.9	17.39	642.94
3/8/2012 23:00	13.9	649.9	17.47	706.31
3/9/2012 0:00	13.7	640.2	17.23	766.02
3/9/2012 1:00	9.9	649.9	14.76	611.28
3/9/2012 2:00	7.7	572.3	11.89	634.75
3/9/2012 3:00	6	649.9	10.58	756.34
3/9/2012 4:00	5.1	679	8.21	754.83
3/9/2012 5:00	4.1	58.2	9.07	58.91
3/9/2012 6:00	3.2	58.2	6.44	62.69
3/9/2012 7:00	2.5	58.2	6.51	65.55
3/9/2012 8:00	2.6	58.2	7.24	60
3/9/2012 9:00	2.5	58.2	7.4	52.6
3/9/2012 10:00	3.1	58.2	6.89	48.28
3/9/2012 11:00	3.8	58.2	8.24	60.74
3/9/2012 12:00	4.6	58.2	8.68	46.9
3/9/2012 13:00	5	58.2	8.98	58.03
3/9/2012 14:00	5.9	58.2	10.53	62.91
3/9/2012 15:00	5.3	58.2	9.98	62.6
3/9/2012 16:00	4.9	58.2	8.78	59.13
3/9/2012 17:00	3.7	58.2	8.09	67.69
3/9/2012 18:00	2.6	58.2	6.2	63.63
3/9/2012 19:00	2	58.2	6.36	56.77
3/9/2012 20:00	1.4	58.2	5.27	54.76
3/9/2012 21:00	0.8	58.2	5.7	63.49
3/9/2012 22:00	0.1	58.2	3.25	46.85
3/9/2012 23:00	-0.6	58.2	3.02	67.39
3/10/2012 0:00	-1.2	58.2	2.36	64.89
3/10/2012 1:00	-1.5	58.2	1.63	61.1
3/10/2012 2:00	-2.1	58.2	2.45	47.78
3/10/2012 3:00	-2.2	58.2	2.55	51.11
3/10/2012 4:00	-2.6	58.2	1.38	60.04
3/10/2012 5:00	-3.1	58.2	1.09	64.5
3/10/2012 6:00	-3.1	58.2	1.09	56.85
3/10/2012 7:00	-2	58.2	1.17	62.56
3/10/2012 8:00	-1.3	58.2	2.9	65.59
3/10/2012 9:00	-1.1	58.2	3.81	68.5
3/10/2012 10:00	-0.6	58.2	3.6	62.66
3/10/2012 11:00	0.2	58.2	3.32	55.46
3/10/2012 12:00	0.4	58.2	3.96	51.28
3/10/2012 13:00	1.2	58.2	5.24	68.85
3/10/2012 14:00	1.5	58.2	6.24	53.32
3/10/2012 15:00	1.1	58.2	4.93	63.56
3/10/2012 16:00	1	58.2	4.97	57.32
3/10/2012 17:00	0.6	58.2	3.77	51.45
3/10/2012 18:00	0	58.2	4.27	69.28
3/10/2012 19:00	-0.6	58.2	4.08	68.56
3/10/2012 20:00	-0.9	58.2	2.94	51.19
3/10/2012 21:00	-1.6	58.2	2.85	58.46
3/10/2012 22:00	-1.8	58.2	1.24	53.83
3/10/2012 23:00	-2.2	58.2	1.16	65.19
3/11/2012 0:00	-2.7	58.2	0.88	50.39
3/11/2012 1:00	-2.7	58.2	2.05	53
3/11/2012 3:00	-2.2	58.2	2.77	62
3/11/2012 4:00	-2.7	58.2	0.79	65.77
3/11/2012 5:00	-3.1	58.2	0.05	62.2
3/11/2012 6:00	-2	475.3	2.96	429.22
3/11/2012 7:00	0.4	58.2	4.51	57.54
3/11/2012 8:00	2.4	58.2	5.58	48.19
3/11/2012 9:00	4.1	58.2	8.72	58.83
3/11/2012 10:00	4.5	58.2	8.67	69.37
3/11/2012 11:00	5.7	824.5	9.83	798.02
3/11/2012 12:00	6.7	640.2	10.78	590.01
3/11/2012 13:00	7.6	688.7	12.33	786.92
3/11/2012 14:00	8.3	659.6	13.24	719.98
3/11/2012 15:00	7.9	582	12.31	689.05
3/11/2012 16:00	7.9	475.3	12.02	540.49
3/11/2012 17:00	7.6	504.4	12.05	430.42
3/11/2012 18:00	6.5	426.8	11.3	452.78
3/11/2012 19:00	6.2	58.2	9.64	57.43
3/11/2012 20:00	5.1	58.2	8.58	58.01
3/11/2012 21:00	4.2	58.2	8.35	47.55
3/11/2012 22:00	3.9	475.3	8.56	405.41
3/11/2012 23:00	3.1	582	6.82	693.43
3/12/2012 0:00	2.7	630.5	6.55	707.23
3/12/2012 1:00	2.8	572.3	7.7	539.12
3/12/2012 2:00	1.8	611.1	5.32	571.99
3/12/2012 3:00	1.3	58.2	4.35	47.69
3/12/2012 4:00	1.3	58.2	5.69	56.97
3/12/2012 5:00	0.7	58.2	5.2	65.23
3/12/2012 6:00	0.4	58.2	5.11	55.1
3/12/2012 7:00	4.7	58.2	8.78	58.41
3/12/2012 8:00	5.9	58.2	9.66	58.93
3/12/2012 9:00	7.1	58.2	11.78	64.75
3/12/2012 10:00	8.3	58.2	11.86	69.38
3/12/2012 11:00	9.5	58.2	13.24	64.54
3/12/2012 12:00	10.3	58.2	13.4	68.83
3/12/2012 13:00	11.5	58.2	16.04	52.12
3/12/2012 14:00	12.7	58.2	15.94	58.25
3/12/2012 15:00	12.7	58.2	16.77	52.89
3/12/2012 16:00	12.7	58.2	16.34	62.88
3/12/2012 17:00	12.2	58.2	15.42	54.26
3/12/2012 18:00	11.5	58.2	14.67	67.97
3/12/2012 19:00	11.5	58.2	15.08	59.42
3/12/2012 20:00	11.5	58.2	16.31	55.95
3/12/2012 21:00	11.2	58.2	14.73	60.99
3/12/2012 22:00	10.7	58.2	15.38	69.31
3/12/2012 23:00	11	58.2	15.91	61.12
3/13/2012 0:00	13.2	58.2	16.46	58.01
3/13/2012 1:00	13.5	58.2	16.83	58.12
3/13/2012 2:00	13.6	58.2	17.71	50.8
3/13/2012 3:00	13.4	58.2	16.48	49.39
3/13/2012 4:00	13.1	58.2	17.53	65.94
3/13/2012 5:00	12.8	58.2	15.91	64.64
3/13/2012 6:00	12.8	58.2	16.49	58.73
3/13/2012 7:00	13.3	58.2	17.68	53.14
3/13/2012 8:00	14.8	58.2	18.74	64.52
3/13/2012 9:00	16	58.2	20.99	49.06
3/13/2012 10:00	16.6	58.2	20.17	54.5
3/13/2012 11:00	16.7	58.2	21.39	55.12
3/13/2012 12:00	17.4	58.2	22.1	59.65
3/13/2012 13:00	17.2	58.2	21.41	56.43
3/13/2012 14:00	17	58.2	20.78	49.38
3/13/2012 15:00	17.2	58.2	21.3	49.42
3/13/2012 16:00	17	58.2	20.89	57.16
3/13/2012 17:00	16.4	58.2	20.12	52.26
3/13/2012 18:00	16	58.2	20.03	63.19
3/13/2012 19:00	14.4	58.2	18.4	48.8
3/13/2012 20:00	13.8	58.2	17.98	64.65
3/13/2012 21:00	12.9	58.2	16.26	49.95
3/13/2012 22:00	11.5	58.2	14.92	67.05
3/13/2012 23:00	12.7	58.2	17.33	47.4
3/14/2012 0:00	12	58.2	15.11	68.81
3/14/2012 1:00	12	58.2	16.44	62.31
3/14/2012 2:00	12	58.2	16.43	68.74
3/14/2012 3:00	10.7	58.2	14.51	62.53
