Date	Twet	Load	Tset	Twet+Err	Load+Err
3/1/2012 0:00	11.3	58.2	15.11	9.64	71.89
3/1/2012 1:00	11.9	58.2	15.11	10.44	71.01
3/1/2012 2:00	13.8	58.2	16.11	12.13	43.37
3/1/2012 3:00	13.2	58.2	15.11	12.55	49.98
3/1/2012 4:00	12.7	58.2	15.11	10.93	64.48
3/1/2012 5:00	12.4	669.3	16.11	11.81	725.78
3/1/2012 6:00	12.7	698.4	16.11	12.43	812.41
3/1/2012 7:00	13.2	698.4	16.11	13.11	855.64
3/1/2012 8:00	13.6	717.8	17.11	12.33	861.89
3/1/2012 9:00	11.2	717.8	15.11	9.51	810.45
3/1/2012 10:00	10.5	708.1	15.11	10.3	879.92
3/1/2012 11:00	10.4	708.1	15.11	9.05	860.15
3/1/2012 12:00	11.1	640.2	15.11	10.47	688.56
3/1/2012 13:00	10.6	630.5	15.11	9.11	591.29
3/1/2012 14:00	10.4	58.2	15.11	8.47	70.27
3/1/2012 15:00	10.2	58.2	15.11	9.84	42.24
3/1/2012 16:00	8.9	649.9	15.11	8.18	695.15
3/1/2012 17:00	7.7	58.2	15.11	6	48.14
3/1/2012 18:00	6.4	58.2	15.11	5	52.35
3/1/2012 19:00	5.7	58.2	15.11	5.61	40.77
3/1/2012 20:00	4.9	58.2	15.11	3.5	62.14
3/1/2012 21:00	3.9	669.3	15.11	3.83	817.85
3/1/2012 22:00	4.2	669.3	15.11	3.4	735.42
3/1/2012 23:00	3.3	669.3	15.11	2.66	521.03
3/2/2012 0:00	2.4	679	15.11	1.82	730.32
3/2/2012 1:00	1.7	679	15.11	-0.05	486.02
3/2/2012 2:00	0.5	688.7	15.11	-0.9	812.85
3/2/2012 3:00	0.5	698.4	15.11	0	816.62
3/2/2012 4:00	0.2	688.7	15.11	-1.74	884.22
3/2/2012 5:00	0	58.2	15.11	-1.08	57.83
3/2/2012 6:00	-0.6	58.2	15.11	-2.06	70.05
3/2/2012 7:00	2.1	58.2	15.11	1	43.92
3/2/2012 8:00	4.4	58.2	15.11	2.96	70.53
3/2/2012 9:00	3.9	58.2	15.11	1.98	45.41
3/2/2012 10:00	4.7	58.2	15.11	3.27	52.14
3/2/2012 11:00	5.5	58.2	15.11	4.15	62.65
3/2/2012 12:00	5.7	58.2	15.11	4.77	72.53
3/2/2012 13:00	6.3	58.2	15.11	5.58	51.47
3/2/2012 14:00	6.4	58.2	15.11	6.32	51.92
3/2/2012 15:00	7.6	58.2	15.11	6.64	62.61
3/2/2012 16:00	7.5	58.2	15.11	5.84	71.8
3/2/2012 17:00	7.2	58.2	15.11	5.52	64.8
3/2/2012 18:00	7.2	58.2	15.11	5.59	67.88
3/2/2012 19:00	7.2	58.2	15.11	6.72	60.26
3/2/2012 20:00	7.2	58.2	15.11	5.67	51.98
3/2/2012 21:00	7.2	58.2	15.11	6.92	46.94
3/2/2012 22:00	7.2	58.2	15.11	6.74	57.8
3/2/2012 23:00	7.2	58.2	15.11	5.95	73.83
3/3/2012 0:00	7.2	58.2	15.11	6.41	62.54
3/3/2012 1:00	7.5	58.2	15.11	5.61	56.8
3/3/2012 2:00	7.5	58.2	15.11	6.86	48.08
3/3/2012 3:00	8	58.2	15.11	6.29	66.56
3/3/2012 4:00	8.3	58.2	15.11	6.33	61.88
3/3/2012 5:00	8	58.2	15.11	7.54	71.62
3/3/2012 6:00	8.6	58.2	15.11	6.82	63.59
3/3/2012 7:00	8.8	58.2	15.11	8.48	64.11
3/3/2012 8:00	9.4	58.2	15.11	7.67	45.67
3/3/2012 9:00	9.7	58.2	15.11	9.22	47.43
3/3/2012 10:00	7.9	58.2	15.11	6.42	75.34
3/3/2012 11:00	7.3	58.2	15.11	5.7	67.57
3/3/2012 12:00	5.5	58.2	15.11	4.22	57.86
3/3/2012 13:00	7.1	58.2	15.11	5.9	48.34
3/3/2012 14:00	7.7	58.2	15.11	6.33	73.78
3/3/2012 15:00	7.4	58.2	15.11	5.96	51.86
3/3/2012 16:00	6.4	58.2	15.11	4.52	49.12
3/3/2012 17:00	5.4	58.2	15.11	3.79	54.94
3/3/2012 18:00	4.1	58.2	15.11	3.09	45.49
3/3/2012 19:00	3.3	58.2	15.11	2.57	47.58
3/3/2012 20:00	3.5	58.2	15.11	2.76	64.51
3/3/2012 21:00	3.2	58.2	15.11	2.98	74.99
3/3/2012 22:00	3.5	58.2	15.11	2.66	72.15
3/3/2012 23:00	3.5	58.2	15.11	2.59	56.42
3/4/2012 0:00	3.1	58.2	15.11	1.68	63.82
3/4/2012 1:00	2.7	58.2	15.11	0.94	48.65
3/4/2012 2:00	3	58.2	15.11	2.86	71.01
3/4/2012 3:00	2.6	58.2	15.11	2.34	47.76
3/4/2012 4:00	2.3	58.2	15.11	1.87	75.45
3/4/2012 5:00	2	58.2	15.11	0.51	41.43
3/4/2012 6:00	1.5	58.2	15.11	1.16	62.17
3/4/2012 7:00	1.2	58.2	15.11	-0.51	67.32
3/4/2012 8:00	1.2	58.2	15.11	0.79	62.95
3/4/2012 9:00	1.6	58.2	15.11	-0.18	65.29
3/4/2012 10:00	1.8	58.2	15.11	0.08	50.8
3/4/2012 12:00	2.3	368.6	15.11	0.66	321.69
3/4/2012 13:00	1.6	465.6	15.11	1.45	479.6
3/4/2012 14:00	2.4	58.2	15.11	1.39	54.42
3/4/2012 15:00	1.5	58.2	15.11	-0.23	47.49
3/4/2012 16:00	1.3	58.2	15.11	-0.54	62.06
3/4/2012 17:00	0.9	58.2	15.11	0.66	64.57
3/4/2012 18:00	0.2	58.2	15.11	-0.1	62.49
3/4/2012 19:00	0	58.2	15.11	-1.41	70.14
3/4/2012 20:00	-0.5	58.2	15.11	-2.17	50.88
3/4/2012 21:00	-0.5	58.2	15.11	-1.11	54.74
3/4/2012 22:00	-0.8	58.2	15.11	-1.33	74.57
3/4/2012 23:00	-1.2	58.2	15.11	-2.25	74.18
3/5/2012 0:00	-1.5	58.2	15.11	-2.48	74.09
3/5/2012 1:00	-1.5	58.2	15.11	-1.64	63.87
3/5/2012 2:00	-1.9	58.2	15.11	-2.09	54.16
3/5/2012 3:00	-2.2	58.2	15.11	-2.89	75.54
3/5/2012 4:00	-3.3	58.2	15.11	-4.23	64.23
3/5/2012 5:00	-2.9	58.2	15.11	-3.03	56.52
3/5/2012 6:00	-2.4	58.2	15.11	-2.79	62.36
3/5/2012 7:00	-1	378.3	15.11	-2.87	409.44
3/5/2012 8:00	-0.5	533.5	15.11	-2.32	400.83
3/5/2012 9:00	0.4	756.6	15.11	-0.01	742.34
3/5/2012 10:00	0.2	766.3	15.11	0.19	977.14
3/5/2012 11:00	0.6	805.1	15.11	-0.96	881.81
3/5/2012 12:00	0.9	834.2	15.11	-0.15	941.91
3/5/2012 13:00	1.7	843.9	15.11	-0.29	922.68
3/5/2012 14:00	1.5	776	15.11	1.2	894.44
3/5/2012 15:00	1.7	465.6	15.11	0.4	392.26
3/5/2012 16:00	1.7	446.2	15.11	1.07	491.73
3/5/2012 17:00	0.3	58.2	15.11	-0.72	52.08
3/5/2012 18:00	-0.6	446.2	15.11	-1.17	415.65
3/5/2012 19:00	-1.2	446.2	15.11	-2.75	340.37
3/5/2012 20:00	-2.2	446.2	15.11	-3.58	327.01
3/5/2012 21:00	-2.4	446.2	15.11	-2.74	427.03
3/5/2012 22:00	-2.9	58.2	15.11	-4.81	43.32
3/5/2012 23:00	-3.2	58.2	15.11	-4.25	56.82
3/6/2012 0:00	-3.6	58.2	15.11	-4.59	60.03
3/6/2012 1:00	-3.9	58.2	15.11	-5.61	74.15
3/6/2012 2:00	-4.1	58.2	15.11	-5.76	73.18
