	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek
2011-02-09 10:00:00	-5.3	397.7	36000	1297245600	139159	15.11	10	2	2
2011-02-09 11:00:00	-4.6	58.2	39600	1297249200	35675	15.11	11	2	2
2011-02-09 12:00:00	-4.2	58.2	43200	1297252800	35675	15.11	12	2	2
2011-02-09 13:00:00	-3.5	388.0	46800	1297256400	136429	15.11	13	2	2
2011-02-09 14:00:00	-3.8	397.7	50400	1297260000	139175	15.11	14	2	2
2011-02-09 15:00:00	-3.9	407.4	54000	1297263600	141995	15.11	15	2	2
2011-02-09 16:00:00	-3.8	446.2	57600	1297267200	153984	15.11	16	2	2
2011-02-09 17:00:00	-4.0	446.2	61200	1297270800	153981	15.11	17	2	2
2011-02-09 18:00:00	-3.4	446.2	64800	1297274400	153991	15.11	18	2	2
2011-02-09 19:00:00	-3.5	436.5	68400	1297278000	150886	15.11	19	2	2
2011-02-09 20:00:00	-3.5	436.5	72000	1297281600	150886	15.11	20	2	2
2011-02-09 21:00:00	-2.9	58.2	75600	1297285200	35675	15.11	21	2	2
2011-02-09 22:00:00	-2.6	446.2	79200	1297288800	154005	15.11	22	2	2
2011-02-09 23:00:00	-3.3	727.5	82800	1297292400	274740	15.11	23	2	2
2011-02-10 00:00:00	-3.8	426.8	0	1297296000	147849	15.11	0	2	3
2011-02-10 01:00:00	-4.0	436.5	3600	1297299600	150878	15.11	1	2	3
2011-02-10 02:00:00	-4.4	58.2	7200	1297303200	35675	15.11	2	2	3
2011-02-10 03:00:00	-5.2	58.2	10800	1297306800	35675	15.11	3	2	3
2011-02-10 04:00:00	-5.4	58.2	14400	1297310400	35675	15.11	4	2	3
2011-02-10 05:00:00	-6.0	58.2	18000	1297314000	35675	15.11	5	2	3
2011-02-10 06:00:00	-7.0	58.2	21600	1297317600	35675	15.11	6	2	3
2011-02-10 07:00:00	-7.4	58.2	25200	1297321200	35675	15.11	7	2	3
2011-02-10 08:00:00	-6.1	58.2	28800	1297324800	35675	15.11	8	2	3
2011-02-10 09:00:00	-6.1	58.2	32400	1297328400	35675	15.11	9	2	3
2011-02-10 10:00:00	-5.5	58.2	36000	1297332000	35675	15.11	10	2	3
2011-02-10 11:00:00	-4.9	58.2	39600	1297335600	35675	15.11	11	2	3
2011-02-10 12:00:00	-5.4	58.2	43200	1297339200	35675	15.11	12	2	3
2011-02-10 13:00:00	-4.8	58.2	46800	1297342800	35675	15.11	13	2	3
2011-02-10 14:00:00	-4.9	58.2	50400	1297346400	35675	15.11	14	2	3
2011-02-10 15:00:00	-4.6	58.2	54000	1297350000	35675	15.11	15	2	3
2011-02-10 16:00:00	-5.4	979.7	57600	1297353600	337579	15.11	16	2	3
2011-02-10 17:00:00	-6.2	58.2	61200	1297357200	35675	15.11	17	2	3
2011-02-10 18:00:00	-6.2	358.9	64800	1297360800	127611	15.11	18	2	3
2011-02-10 19:00:00	-8.2	58.2	68400	1297364400	35675	15.11	19	2	3
2011-02-10 20:00:00	-8.5	533.5	72000	1297368000	185010	15.11	20	2	3
2011-02-10 21:00:00	-8.6	58.2	75600	1297371600	35675	15.11	21	2	3
2011-02-10 22:00:00	-9.2	58.2	79200	1297375200	35675	15.11	22	2	3
2011-02-10 23:00:00	-9.8	58.2	82800	1297378800	35675	15.11	23	2	3
2011-02-11 00:00:00	-10.0	58.2	0	1297382400	35675	15.11	0	2	4
2011-02-11 01:00:00	-9.9	58.2	3600	1297386000	35675	15.11	1	2	4
2011-02-11 02:00:00	-10.5	58.2	7200	1297389600	35675	15.11	2	2	4
2011-02-11 03:00:00	-10.3	58.2	10800	1297393200	35675	15.11	3	2	4
2011-02-11 04:00:00	-10.6	58.2	14400	1297396800	35675	15.11	4	2	4
2011-02-11 05:00:00	-11.0	58.2	18000	1297400400	35675	15.11	5	2	4
2011-02-11 06:00:00	-10.6	58.2	21600	1297404000	35675	15.11	6	2	4
2011-02-11 07:00:00	-8.8	58.2	25200	1297407600	35675	15.11	7	2	4
2011-02-11 08:00:00	-5.1	58.2	28800	1297411200	35675	15.11	8	2	4
2011-02-11 09:00:00	-3.2	58.2	32400	1297414800	35675	15.11	9	2	4
2011-02-11 10:00:00	-1.8	58.2	36000	1297418400	35675	15.11	10	2	4
