	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek
2011-10-01 00:00:00	12.0	58.2	0	1317427200	35915	15.11	0	10	5
2011-10-01 01:00:00	11.7	58.2	3600	1317430800	35675	15.11	1	10	5
2011-10-01 02:00:00	10.4	58.2	7200	1317434400	35675	15.11	2	10	5
2011-10-01 03:00:00	9.9	58.2	10800	1317438000	35675	15.11	3	10	5
2011-10-01 04:00:00	9.7	58.2	14400	1317441600	35675	15.11	4	10	5
2011-10-01 05:00:00	9.4	58.2	18000	1317445200	35675	15.11	5	10	5
2011-10-01 06:00:00	9.4	58.2	21600	1317448800	35675	15.11	6	10	5
2011-10-01 07:00:00	9.4	58.2	25200	1317452400	35675	15.11	7	10	5
2011-10-01 08:00:00	9.7	58.2	28800	1317456000	35675	15.11	8	10	5
2011-10-01 09:00:00	9.4	58.2	32400	1317459600	35675	15.11	9	10	5
2011-10-01 10:00:00	10.2	58.2	36000	1317463200	35675	15.11	10	10	5
2011-10-01 11:00:00	10.4	58.2	39600	1317466800	35675	15.11	11	10	5
2011-10-01 12:00:00	10.2	58.2	43200	1317470400	35675	15.11	12	10	5
2011-10-01 13:00:00	10.2	58.2	46800	1317474000	35675	15.11	13	10	5
2011-10-01 14:00:00	9.9	58.2	50400	1317477600	35675	15.11	14	10	5
2011-10-01 15:00:00	9.7	1105.8	54000	1317481200	391896	15.11	15	10	5
2011-10-01 16:00:00	9.4	742.05	57600	1317484800	289672	15.11	16	10	5
2011-10-01 17:00:00	8.8	727.5	61200	1317488400	278656	15.11	17	10	5
2011-10-01 18:00:00	8.8	800.25	64800	1317492000	282423	15.11	18	10	5
2011-10-01 19:00:00	8.8	829.35	68400	1317495600	291177	15.11	19	10	5
2011-10-01 20:00:00	9.1	858.45	72000	1317499200	300573	15.11	20	10	5
2011-10-01 21:00:00	9.4	58.2	75600	1317502800	35675	15.11	21	10	5
2011-10-01 22:00:00	9.1	843.9	79200	1317506400	295994	15.11	22	10	5
2011-10-01 23:00:00	8.8	858.45	82800	1317510000	300248	15.11	23	10	5
2011-10-02 00:00:00	8.3	58.2	0	1317513600	35675	15.11	0	10	6
2011-10-02 01:00:00	8.3	58.2	3600	1317517200	35675	15.11	1	10	6
2011-10-02 02:00:00	7.7	58.2	7200	1317520800	35675	15.11	2	10	6
2011-10-02 03:00:00	7.7	58.2	10800	1317524400	35675	15.11	3	10	6
2011-10-02 04:00:00	7.2	58.2	14400	1317528000	35675	15.11	4	10	6
2011-10-02 05:00:00	6.9	58.2	18000	1317531600	35675	15.11	5	10	6
2011-10-02 06:00:00	6.7	58.2	21600	1317535200	35675	15.11	6	10	6
2011-10-02 07:00:00	6.4	58.2	25200	1317538800	35675	15.11	7	10	6
2011-10-02 09:00:00	7.3	58.2	32400	1317546000	35675	15.11	9	10	6
2011-10-02 10:00:00	7.6	58.2	36000	1317549600	35675	15.11	10	10	6
2011-10-02 11:00:00	7.3	824.5	39600	1317553200	288421	15.11	11	10	6
2011-10-02 12:00:00	7.1	679.0	43200	1317556800	251728	15.11	12	10	6
2011-10-02 13:00:00	7.0	232.8	46800	1317560400	102202	15.11	13	10	6
