	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek
2012-11-01 00:00:00	4.7	1183.4	0	1351728000	419655	15.11	0	11	3
2012-11-01 01:00:00	4.4	1183.4	3600	1351731600	419493	15.11	1	11	3
2012-11-01 02:00:00	4.5	1193.1	7200	1351735200	423801	15.11	2	11	3
2012-11-01 03:00:00	4.7	1183.4	10800	1351738800	419655	15.11	3	11	3
2012-11-01 04:00:00	5.0	1193.1	14400	1351742400	424080	15.11	4	11	3
2012-11-01 05:00:00	5.0	1193.1	18000	1351746000	424080	15.11	5	11	3
2012-11-01 06:00:00	5.3	1222.2	21600	1351749600	437233	15.11	6	11	3
2012-11-01 07:00:00	5.3	1261.0	25200	1351753200	455026	15.11	7	11	3
2012-11-01 08:00:00	5.6	1367.7	28800	1351756800	507058	15.11	8	11	3
2012-11-01 09:00:00	5.6	940.9	32400	1351760400	325267	15.11	9	11	3
2012-11-01 10:00:00	6.1	698.4	36000	1351764000	261167	15.11	10	11	3
2012-11-01 11:00:00	6.1	1299.8	39600	1351767600	473923	15.11	11	11	3
2012-11-01 12:00:00	6.4	1290.1	43200	1351771200	469507	15.11	12	11	3
2012-11-01 13:00:00	6.2	1348.3	46800	1351774800	497756	15.11	13	11	3
2012-11-01 14:00:00	6.2	1348.3	50400	1351778400	497756	15.11	14	11	3
2012-11-01 15:00:00	6.1	1328.9	54000	1351782000	488070	15.11	15	11	3
2012-11-01 16:00:00	6.0	1328.9	57600	1351785600	487995	15.11	16	11	3
2012-11-01 17:00:00	6.0	1348.3	61200	1351789200	497602	15.11	17	11	3
2012-11-01 18:00:00	5.8	1309.5	64800	1351792800	478388	15.11	18	11	3
2012-11-01 19:00:00	5.8	766.3	68400	1351796400	258815	15.11	19	11	3
2012-11-01 20:00:00	5.6	698.4	72000	1351800000	260977	15.11	20	11	3
2012-11-01 21:00:00	5.6	698.4	75600	1351803600	260977	15.11	21	11	3
2012-11-01 22:00:00	5.3	708.1	79200	1351807200	265920	15.11	22	11	3
2012-11-01 23:00:00	5.3	708.1	82800	1351810800	265920	15.11	23	11	3
2012-11-02 00:00:00	4.7	708.1	0	1351814400	265729	15.11	0	11	4
2012-11-02 01:00:00	3.9	708.1	3600	1351818000	265505	15.11	1	11	4
2012-11-02 02:00:00	3.6	688.7	7200	1351821600	255414	15.11	2	11	4
2012-11-02 03:00:00	3.3	1377.4	10800	1351825200	510666	15.11	3	11	4
2012-11-02 05:00:00	4.1	1280.4	18000	1351832400	463453	15.11	5	11	4
2012-11-02 06:00:00	4.1	1280.4	21600	1351836000	463453	15.11	6	11	4
2012-11-02 07:00:00	4.5	1270.7	25200	1351839600	459097	15.11	7	11	4
2012-11-02 08:00:00	5.1	1290.1	28800	1351843200	468617	15.11	8	11	4
2012-11-02 09:00:00	5.6	1328.9	32400	1351846800	487713	15.11	9	11	4
2012-11-02 10:00:00	5.9	1261.0	36000	1351850400	455415	15.11	10	11	4
2012-11-02 11:00:00	6.1	1309.5	39600	1351854000	478604	15.11	11	11	4
