	Hour	DayofWeek	Twet	Tset
265	3	5	0	15.11
266	3	5	2	15.11
267	3	5	5	17.11
268	3	5	6	18.11
269	3	5	7	19.11
270	3	5	9	21.11
271	3	5	11	22.11
272	3	5	13	25.11
273	3	5	15	26.11
274	3	6	0	15.11
275	3	6	1	15.11
276	3	6	2	15.11
277	3	6	3	15.11
278	3	6	6	16.11
279	3	6	9	21.11
280	3	6	10	22.11
281	3	6	11	21.11
282	3	6	13	25.11
283	3	6	14	26.11
284	3	6	15	26.11
285	4	0	0	15.11
286	4	0	1	15.11
287	4	0	2	15.11
288	4	0	6	17.11
289	4	0	8	20.11
290	4	0	9	21.11
291	4	0	11	23.11
292	4	0	12	24.11
293	4	0	13	25.11
294	4	1	0	15.11
295	4	1	4	17.11
296	4	1	5	17.11
297	4	1	7	18.11
298	4	1	8	20.11
299	4	1	9	21.11
300	4	1	10	22.11
301	4	1	11	23.11
302	4	1	12	24.11
303	4	1	13	25.11
304	4	2	0	15.11
305	4	2	3	16.11
306	4	2	7	18.11
307	4	2	8	20.11
308	4	2	10	20.11
309	4	2	11	23.11
310	4	2	12	24.11
311	4	2	13	25.11
312	4	3	0	15.11
313	4	3	1	15.11
314	4	3	2	15.11
315	4	3	3	15.11
316	4	3	5	17.11
317	4	3	6	15.11
318	4	3	7	19.11
319	4	3	8	19.11
320	4	3	10	22.11
321	4	3	11	23.11
322	4	3	13	25.11
323	4	4	0	15.11
324	4	4	4	17.11
325	4	4	6	18.11
326	4	4	8	20.11
327	4	4	9	21.11
328	4	4	10	22.11
329	4	4	11	23.11
330	4	4	12	24.11
331	4	4	13	25.11
332	4	4	14	26.11
333	4	5	0	15.11
334	4	5	3	15.11
335	4	5	4	17.11
336	4	5	6	18.11
337	4	5	8	17.11
338	4	5	9	21.11
339	4	5	10	22.11
340	4	5	11	23.11
341	4	5	12	24.11
342	4	5	13	25.11
343	4	5	15	26.11
344	4	6	0	15.11
345	4	6	2	15.11
346	4	6	3	15.11
347	4	6	5	17.11
348	4	6	6	15.11
349	4	6	9	20.11
350	4	6	10	22.11
351	4	6	11	24.11
352	4	6	13	25.11
353	4	6	14	26.11
354	4	6	15	26.11
355	5	0	0	15.11
356	5	0	3	15.11
357	5	0	6	17.11
358	5	0	8	20.11
359	5	0	9	21.11
360	5	0	11	23.11
361	5	0	12	24.11
362	5	0	13	25.11
363	5	0	14	26.11
364	5	1	0	15.11
365	5	1	4	15.11
366	5	1	5	17.11
367	5	1	6	15.11
368	5	1	7	16.11
369	5	1	8	20.11
370	5	1	9	21.11
371	5	1	10	22.11
372	5	1	11	23.11
373	5	1	12	24.11
374	5	1	13	25.11
375	5	2	0	15.11
376	5	2	3	15.11
377	5	2	7	18.11
378	5	2	8	20.11
379	5	2	9	20.11
380	5	2	10	21.11
381	5	2	11	23.11
382	5	2	12	24.11
383	5	2	13	25.11
384	5	2	14	25.11
385	5	3	0	15.11
386	5	3	2	15.11
387	5	3	3	15.11
388	5	3	6	15.11
389	5	3	7	16.11
390	5	3	8	18.11
391	5	3	9	18.11
392	5	3	10	22.11
393	5	3	11	22.11
394	5	3	12	23.11
395	5	3	13	25.11
396	5	4	0	15.11
397	5	4	2	15.11
398	5	4	4	17.11
399	5	4	6	17.11
400	5	4	8	19.11
401	5	4	9	21.11
402	5	4	10	22.11
403	5	4	11	23.11
404	5	4	12	24.11
405	5	4	13	25.11
406	5	5	0	15.11
407	5	5	4	17.11
408	5	5	6	18.11
409	5	5	7	19.11
410	5	5	8	20.11
411	5	5	10	22.11
412	5	5	11	23.11
413	5	5	13	25.11
414	5	5	14	26.11
415	5	5	15	26.11
416	5	6	0	15.11
417	5	6	3	15.11
418	5	6	4	15.11
419	5	6	5	16.11
420	5	6	7	19.11
421	5	6	9	21.11
422	5	6	10	21.11
423	5	6	11	23.11
424	5	6	13	25.11
425	5	6	14	26.11
426	5	6	15	26.11
427	6	0	0	15.11
428	6	0	3	15.11
429	6	0	6	18.11
430	6	0	7	19.11
431	6	0	8	20.11
432	6	0	9	21.11
433	6	0	10	22.11
434	6	0	11	24.11
435	6	0	12	24.11
436	6	0	13	25.11
437	6	0	14	26.11
438	6	1	0	15.11
439	6	1	4	15.11
440	6	1	5	16.11
441	6	1	6	18.11
442	6	1	8	20.11
443	6	1	9	21.11
444	6	1	11	23.11
445	6	1	12	24.11
446	6	1	13	25.11
447	6	2	0	15.11
448	6	2	3	16.11
449	6	2	4	16.11
450	6	2	6	18.11
451	6	2	8	20.11
452	6	2	9	21.11
453	6	2	10	22.11
454	6	2	11	23.11
455	6	2	12	24.11
456	6	2	13	25.11
457	6	2	14	26.11
458	6	3	0	15.11
459	6	3	2	15.11
460	6	3	3	16.11
461	6	3	6	15.11
462	6	3	7	16.11
463	6	3	9	21.11
464	6	3	10	22.11
465	6	3	11	23.11
466	6	3	12	24.11
467	6	3	13	25.11
468	6	3	14	26.11
469	6	4	0	15.11
470	6	4	3	15.11
471	6	4	5	17.11
472	6	4	6	16.11
473	6	4	8	20.11
474	6	4	10	21.11
475	6	4	11	23.11
476	6	4	12	24.11
477	6	4	13	25.11
478	6	4	14	26.11
479	6	5	0	15.11
480	6	5	2	15.11
481	6	5	3	15.11
482	6	5	4	16.11
483	6	5	5	17.11
484	6	5	6	18.11
485	6	5	8	17.11
486	6	5	9	21.11
487	6	5	10	22.11
488	6	5	11	23.11
489	6	5	13	25.11
490	6	5	15	26.11
491	6	6	0	15.11
492	6	6	2	15.11
493	6	6	3	15.11
494	6	6	4	16.11
495	6	6	5	17.11
496	6	6	8	20.11
497	6	6	9	21.11
498	6	6	10	22.11
499	6	6	11	23.11
500	6	6	14	26.11
501	6	6	15	26.11
502	7	0	0	15.11
503	7	0	2	15.11
504	7	0	4	15.11
505	7	0	7	18.11
506	7	0	8	20.11
507	7	0	10	22.11
508	7	0	11	23.11
509	7	0	12	24.11
510	7	0	13	25.11
511	7	0	14	26.11
512	7	1	0	15.11
513	7	1	2	15.11
514	7	1	3	15.11
515	7	1	5	18.11
516	7	1	7	19.11
517	7	1	8	19.11
518	7	1	9	21.11
519	7	1	10	22.11
520	7	1	12	24.11
521	7	1	13	25.11
522	7	1	14	26.11
523	7	1	15	26.11
524	7	2	0	15.11
525	7	2	1	15.11
526	7	2	4	16.11
527	7	2	5	18.11
528	7	2	8	20.11
529	7	2	9	21.11
530	7	2	10	22.11
531	7	2	11	22.11
532	7	2	12	24.11
533	7	2	13	25.11
534	7	2	15	26.11
535	7	3	0	15.11
536	7	3	1	15.11
537	7	3	2	15.11
538	7	3	3	15.11
539	7	3	4	16.11
540	7	3	6	15.11
541	7	3	7	16.11
542	7	3	10	22.11
543	7	3	11	23.11
544	7	3	12	24.11
545	7	3	13	25.11
546	7	3	14	26.11
547	7	3	15	26.11
548	7	4	0	15.11
549	7	4	3	15.11
550	7	4	4	15.11
551	7	4	5	16.11
552	7	4	6	17.11
553	7	4	7	19.11
554	7	4	8	20.11
555	7	4	11	22.11
556	7	4	12	24.11
557	7	4	13	25.11
558	7	4	14	26.11
559	7	5	0	15.11
560	7	5	1	15.11
561	7	5	2	15.11
562	7	5	3	15.11
563	7	5	4	16.11
564	7	5	6	18.11
565	7	5	7	19.11
566	7	5	8	17.11
567	7	5	10	22.11
568	7	5	12	24.11
569	7	5	14	26.11
570	7	5	15	26.11
571	7	5	16	25.11
572	7	6	0	15.11
573	7	6	1	15.11
574	7	6	3	15.11
575	7	6	5	16.11
576	7	6	6	18.11
577	7	6	9	21.11
578	7	6	10	22.11
579	7	6	11	23.11
580	7	6	12	24.11
581	7	6	14	26.11
582	7	6	15	26.11
583	8	0	0	15.11
584	8	0	1	15.11
585	8	0	4	17.11
586	8	0	5	16.11
587	8	0	7	19.11
588	8	0	8	20.11
589	8	0	9	21.11
590	8	0	10	22.11
591	8	0	12	24.11
592	8	0	13	22.11
593	8	0	14	26.11
594	8	0	15	26.11
595	8	1	0	15.11
596	8	1	1	15.11
597	8	1	3	16.11
598	8	1	4	15.11
599	8	1	6	18.11
600	8	1	8	20.11
601	8	1	9	19.11
602	8	1	10	22.11
603	8	1	12	24.11
604	8	1	13	25.11
605	8	1	14	25.11
606	8	1	16	25.11
607	8	2	0	15.11
608	8	2	2	15.11
609	8	2	4	16.11
610	8	2	5	18.11
611	8	2	6	15.11
612	8	2	8	20.11
613	8	2	9	20.11
614	8	2	10	22.11
615	8	2	11	22.11
616	8	2	12	24.11
617	8	2	13	25.11
618	8	2	15	26.11
619	8	3	0	15.11
620	8	3	1	15.11
621	8	3	2	15.11
622	8	3	3	15.11
623	8	3	4	16.11
624	8	3	6	15.11
625	8	3	7	16.11
626	8	3	11	22.11
627	8	3	12	24.11
628	8	3	13	25.11
629	8	3	14	26.11
630	8	3	15	26.11
631	8	4	0	15.11
632	8	4	4	17.11
633	8	4	5	16.11
634	8	4	6	18.11
635	8	4	7	19.11
636	8	4	8	20.11
637	8	4	11	22.11
638	8	4	12	24.11
639	8	4	13	25.11
640	8	4	14	26.11
641	8	5	0	15.11
642	8	5	3	15.11
643	8	5	4	17.11
644	8	5	7	19.11
645	8	5	8	20.11
646	8	5	9	21.11
647	8	5	10	22.11
648	8	5	11	23.11
649	8	5	12	24.11
650	8	5	13	25.11
651	8	5	15	26.11
652	8	5	16	25.11
653	8	6	0	15.11
654	8	6	2	15.11
655	8	6	5	16.11
656	8	6	7	19.11
657	8	6	9	21.11
658	8	6	10	22.11
659	8	6	11	23.11
660	8	6	12	24.11
661	8	6	13	25.11
662	8	6	15	26.11
663	9	0	0	15.11
664	9	0	2	15.11
665	9	0	3	15.11
666	9	0	4	17.11
667	9	0	8	19.11
668	9	0	10	22.11
669	9	0	12	24.11
670	9	0	13	25.11
671	9	0	14	26.11
672	9	0	15	26.11
673	9	1	0	15.11
674	9	1	1	15.11
675	9	1	3	16.11
676	9	1	4	16.11
677	9	1	7	19.11
678	9	1	9	21.11
679	9	1	10	22.11
680	9	1	12	24.11
681	9	1	13	25.11
682	9	1	14	26.11
683	9	1	16	25.11
684	9	2	0	15.11
685	9	2	2	15.11
686	9	2	3	15.11
687	9	2	4	16.11
688	9	2	5	17.11
689	9	2	7	19.11
690	9	2	8	20.11
691	9	2	9	21.11
692	9	2	10	22.11
693	9	2	11	23.11
694	9	2	12	24.11
695	9	2	13	24.11
696	9	2	16	25.11
697	9	3	0	15.11
698	9	3	2	15.11
699	9	3	3	15.11
700	9	3	4	16.11
701	9	3	5	17.11
702	9	3	6	18.11
703	9	3	7	16.11
704	9	3	10	22.11
705	9	3	11	23.11
706	9	3	12	24.11
707	9	3	13	25.11
708	9	3	14	26.11
709	9	3	15	26.11
710	9	3	16	26.11
711	9	4	0	15.11
712	9	4	1	15.11
713	9	4	3	16.11
714	9	4	5	17.11
715	9	4	7	19.11
716	9	4	8	19.11
717	9	4	9	21.11
718	9	4	10	22.11
719	9	4	12	24.11
720	9	4	14	26.11
721	9	4	15	26.11
722	9	5	0	15.11
723	9	5	1	15.11
724	9	5	3	16.11
725	9	5	4	16.11
726	9	5	8	20.11
727	9	5	9	21.11
728	9	5	11	23.11
729	9	5	12	24.11
730	9	5	13	25.11
731	9	5	15	26.11
732	9	5	16	26.11
733	9	6	0	15.11
734	9	6	1	15.11
735	9	6	4	17.11
736	9	6	5	17.11
737	9	6	6	18.11
738	9	6	8	20.11
739	9	6	10	21.11
740	9	6	11	23.11
741	9	6	13	25.11
742	9	6	14	26.11
743	9	6	15	26.11
744	9	6	16	25.11
745	10	0	0	15.11
746	10	0	2	15.11
747	10	0	4	17.11
748	10	0	5	17.11
749	10	0	8	20.11
750	10	0	9	21.11
751	10	0	10	21.11
752	10	0	12	23.11
753	10	0	14	26.11
754	10	0	15	26.11
755	10	1	0	15.11
756	10	1	1	15.11
757	10	1	2	15.11
758	10	1	4	17.11
759	10	1	5	18.11
760	10	1	7	19.11
761	10	1	8	17.11
762	10	1	9	21.11
763	10	1	10	21.11
764	10	1	11	23.11
765	10	1	12	24.11
766	10	1	13	25.11
767	10	1	14	26.11
768	10	1	16	25.11
769	10	2	0	15.11
770	10	2	3	15.11
771	10	2	4	16.11
772	10	2	5	18.11
773	10	2	8	20.11
774	10	2	9	18.11
775	10	2	10	22.11
776	10	2	11	23.11
777	10	2	12	24.11
778	10	2	13	25.11
779	10	2	14	26.11
780	10	2	16	26.11
781	10	3	0	15.11
782	10	3	1	15.11
783	10	3	3	16.11
784	10	3	4	17.11
785	10	3	5	17.11
786	10	3	6	18.11
787	10	3	7	19.11
788	10	3	10	22.11
789	10	3	11	23.11
790	10	3	12	24.11
791	10	3	13	25.11
792	10	3	14	26.11
793	10	3	15	26.11
794	10	3	16	26.11
795	10	4	0	15.11
796	10	4	1	15.11
797	10	4	4	16.11
798	10	4	5	17.11
799	10	4	6	15.11
800	10	4	7	18.11
801	10	4	8	17.11
802	10	4	9	21.11
803	10	4	11	23.11
804	10	4	12	24.11
805	10	4	13	25.11
806	10	4	14	26.11
807	10	4	15	26.11
808	10	5	0	15.11
809	10	5	2	15.11
810	10	5	3	15.11
811	10	5	4	16.11
812	10	5	5	17.11
813	10	5	6	18.11
814	10	5	8	17.11
815	10	5	9	21.11
816	10	5	10	22.11
817	10	5	11	22.11
818	10	5	12	24.11
819	10	5	13	25.11
820	10	5	14	26.11
821	10	5	16	25.11
822	10	6	0	15.11
823	10	6	1	15.11
824	10	6	2	15.11
825	10	6	4	17.11
826	10	6	5	17.11
827	10	6	6	15.11
828	10	6	7	19.11
829	10	6	8	20.11
830	10	6	10	22.11
831	10	6	11	23.11
832	10	6	13	25.11
833	10	6	14	26.11
834	10	6	15	26.11
835	10	6	16	26.11
836	11	0	0	15.11
837	11	0	3	15.11
838	11	0	4	17.11
839	11	0	5	18.11
840	11	0	6	15.11
841	11	0	8	17.11
842	11	0	9	21.11
843	11	0	10	22.11
844	11	0	11	23.11
845	11	0	12	24.11
846	11	0	13	25.11
847	11	0	14	26.11
848	11	0	15	26.11
849	11	1	0	15.11
850	11	1	1	15.11
851	11	1	2	15.11
852	11	1	4	16.11
853	11	1	6	15.11
854	11	1	8	20.11
855	11	1	9	21.11
856	11	1	10	22.11
857	11	1	11	23.11
858	11	1	12	24.11
859	11	1	13	25.11
860	11	1	14	26.11
861	11	1	15	26.11
862	11	1	16	25.11
863	11	2	0	15.11
864	11	2	1	15.11
865	11	2	2	15.11
866	11	2	4	16.11
867	11	2	5	15.11
868	11	2	8	20.11
869	11	2	9	18.11
870	11	2	10	22.11
871	11	2	11	22.11
872	11	2	12	24.11
873	11	2	13	25.11
874	11	2	14	25.11
875	11	2	16	25.11
876	11	3	0	15.11
877	11	3	2	15.11
878	11	3	3	16.11
879	11	3	4	16.11
880	11	3	5	17.11
881	11	3	6	18.11
882	11	3	8	20.11
883	11	3	9	21.11
884	11	3	11	23.11
885	11	3	12	24.11
886	11	3	15	26.11
887	11	3	16	25.11
888	11	4	0	15.11
889	11	4	1	15.11
890	11	4	4	16.11
891	11	4	6	18.11
892	11	4	7	19.11
893	11	4	9	20.11
894	11	4	10	22.11
895	11	4	11	23.11
896	11	4	12	24.11
897	11	4	13	25.11
898	11	4	15	26.11
899	11	4	16	26.11
900	11	5	0	15.11
901	11	5	2	15.11
902	11	5	3	16.11
903	11	5	5	18.11
904	11	5	6	18.11
905	11	5	9	21.11
906	11	5	10	19.11
907	11	5	11	22.11
908	11	5	12	24.11
909	11	5	13	22.11
910	11	5	14	26.11
911	11	5	16	26.11
912	11	6	0	15.11
913	11	6	1	15.11
914	11	6	2	15.11
915	11	6	4	17.11
916	11	6	6	18.11
917	11	6	7	16.11
918	11	6	8	20.11
919	11	6	11	23.11
920	11	6	12	24.11
921	11	6	13	25.11
922	11	6	14	26.11
923	11	6	15	26.11
924	11	6	16	26.11
925	12	0	0	15.11
926	12	0	3	15.11
927	12	0	4	17.11
928	12	0	6	15.11
929	12	0	9	21.11
930	12	0	10	21.11
931	12	0	11	23.11
932	12	0	12	24.11
933	12	0	13	25.11
934	12	0	14	26.11
935	12	0	15	26.11
936	12	1	0	15.11
937	12	1	2	15.11
938	12	1	3	15.11
939	12	1	4	17.11
940	12	1	7	19.11
941	12	1	8	20.11
942	12	1	9	21.11
943	12	1	10	22.11
944	12	1	11	23.11
945	12	1	12	24.11
946	12	1	13	25.11
947	12	1	14	26.11
948	12	1	16	26.11
949	12	2	0	15.11
950	12	2	2	15.11
951	12	2	3	16.11
952	12	2	5	17.11
953	12	2	6	18.11
954	12	2	8	20.11
955	12	2	9	21.11
956	12	2	10	22.11
957	12	2	11	23.11
958	12	2	12	24.11
959	12	2	13	25.11
960	12	2	15	26.11
961	12	3	0	15.11
962	12	3	3	16.11
963	12	3	4	15.11
964	12	3	5	18.11
965	12	3	7	17.11
966	12	3	9	20.11
967	12	3	10	22.11
968	12	3	11	23.11
969	12	3	12	24.11
970	12	3	15	26.11
971	12	3	16	25.11
972	12	4	0	15.11
973	12	4	1	15.11
974	12	4	2	15.11
975	12	4	4	17.11
976	12	4	6	18.11
977	12	4	7	19.11
978	12	4	9	21.11
979	12	4	10	22.11
980	12	4	11	22.11
981	12	4	12	24.11
982	12	4	13	25.11
983	12	4	15	26.11
984	12	4	16	25.11
985	12	5	0	15.11
986	12	5	2	15.11
987	12	5	3	15.11
988	12	5	5	18.11
989	12	5	6	18.11
990	12	5	8	20.11
991	12	5	9	21.11
992	12	5	10	22.11
993	12	5	11	22.11
994	12	5	13	25.11
995	12	5	14	26.11
996	12	5	15	26.11
997	12	5	16	26.11
998	12	6	0	15.11
999	12	6	1	15.11
1000	12	6	2	15.11
1001	12	6	3	15.11
1002	12	6	6	18.11
1003	12	6	7	18.11
1004	12	6	9	21.11
1005	12	6	11	23.11
1006	12	6	12	24.11
1007	12	6	13	25.11
1008	12	6	15	26.11
1009	12	6	16	26.11
1010	13	0	0	15.11
1011	13	0	1	15.11
1012	13	0	3	15.11
1013	13	0	4	17.11
1014	13	0	5	17.11
1015	13	0	6	15.11
1016	13	0	9	21.11
1017	13	0	10	22.11
1018	13	0	11	23.11
1019	13	0	12	23.11
1020	13	0	13	25.11
1021	13	0	14	25.11
1022	13	0	15	26.11
1023	13	0	16	26.11
1024	13	1	0	15.11
1025	13	1	1	15.11
1026	13	1	3	15.11
1027	13	1	4	15.11
1028	13	1	7	19.11
1029	13	1	9	21.11
1030	13	1	10	22.11
1031	13	1	11	23.11
1032	13	1	13	25.11
1033	13	1	14	26.11
1034	13	1	16	25.11
1035	13	2	0	15.11
1036	13	2	2	15.11
1037	13	2	3	16.11
1038	13	2	6	18.11
1039	13	2	8	20.11
1040	13	2	9	21.11
1041	13	2	10	22.11
1042	13	2	11	23.11
1043	13	2	12	24.11
1044	13	2	13	25.11
1045	13	2	15	26.11
1046	13	3	0	15.11
