	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek
2012-10-01 00:00:00	10.5	1164.0	0	1349049600	419652	15.11	0	10	0
2012-10-01 01:00:00	9.9	1154.3	3600	1349053200	413024	15.11	1	10	0
2012-10-01 02:00:00	9.7	1047.6	7200	1349056800	368451	15.11	2	10	0
2012-10-01 03:00:00	9.7	1639.3	10800	1349060400	579853	15.11	3	10	0
2012-10-01 04:00:00	9.4	1571.4	14400	1349064000	506761	15.11	4	10	0
2012-10-01 05:00:00	9.1	1561.7	18000	1349067600	508380	15.11	5	10	0
2012-10-01 06:00:00	9.4	1619.9	21600	1349071200	571039	15.11	6	10	0
2012-10-01 07:00:00	11.3	1513.2	25200	1349074800	560069	15.11	7	10	0
2012-10-01 08:00:00	13.8	1649.0	28800	1349078400	656979	17.11	8	10	0
2012-10-01 09:00:00	13.7	1736.3	32400	1349082000	696059	17.11	9	10	0
2012-10-01 10:00:00	13.1	1358.0	36000	1349085600	557861	16.11	10	10	0
2012-10-01 11:00:00	13.6	1164.0	39600	1349089200	466069	17.11	11	10	0
2012-10-01 12:00:00	13.8	1251.3	43200	1349092800	512286	17.11	12	10	0
2012-10-01 13:00:00	14.3	1367.7	46800	1349096400	586812	17.11	13	10	0
2012-10-01 14:00:00	14.8	1382.25	50400	1349100000	603332	18.11	14	10	0
2012-10-01 15:00:00	14.9	1396.8	54000	1349103600	613629	18.11	15	10	0
2012-10-01 16:00:00	14.5	1396.8	57600	1349107200	607623	18.11	16	10	0
2012-10-01 17:00:00	14.0	1833.3	61200	1349110800	750538	17.11	17	10	0
2012-10-01 18:00:00	14.3	1590.8	64800	1349114400	671296	15.11	18	10	0
2012-10-01 19:00:00	15.2	1416.2	68400	1349118000	631402	18.11	19	10	0
2012-10-01 20:00:00	14.7	1358.0	72000	1349121600	587728	18.11	20	10	0
2012-10-01 21:00:00	15.2	1406.5	75600	1349125200	625491	18.11	21	10	0
2012-10-01 22:00:00	14.9	1328.9	79200	1349128800	574132	18.11	22	10	0
2012-10-01 23:00:00	15.2	1328.9	82800	1349132400	579653	18.11	23	10	0
2012-10-02 00:00:00	15.2	1309.5	0	1349136000	568599	18.11	0	10	1
2012-10-02 01:00:00	15.5	1299.8	3600	1349139600	591105	15.11	1	10	1
2012-10-02 02:00:00	15.9	1377.4	7200	1349143200	641367	15.11	2	10	1
2012-10-02 03:00:00	16.9	1387.1	10800	1349146800	666329	16.11	3	10	1
2012-10-02 04:00:00	16.3	1377.4	14400	1349150400	627542	19.11	4	10	1
2012-10-02 05:00:00	16.9	1377.4	18000	1349154000	660723	16.11	5	10	1
2012-10-02 06:00:00	17.3	1416.2	21600	1349157600	668446	20.11	6	10	1
2012-10-02 07:00:00	17.6	1445.3	25200	1349161200	714498	17.11	7	10	1
2012-10-02 08:00:00	18.5	1542.3	28800	1349164800	794196	18.11	8	10	1
2012-10-02 09:00:00	18.5	1697.5	32400	1349168400	785066	21.11	9	10	1
2012-10-02 10:00:00	17.9	1134.9	36000	1349172000	550415	17.11	10	10	1
2012-10-02 11:00:00	18.2	1649.0	39600	1349175600	755491	21.11	11	10	1
2012-10-02 12:00:00	18.7	1716.9	43200	1349179200	800180	21.11	12	10	1
2012-10-02 13:00:00	19.2	1765.4	46800	1349182800	835325	22.11	13	10	1
2012-10-02 14:00:00	19.8	1794.5	50400	1349186400	864271	22.11	14	10	1
2012-10-02 15:00:00	20.0	1794.5	54000	1349190000	868430	23.11	15	10	1
2012-10-02 16:00:00	20.3	1813.9	57600	1349193600	882889	23.11	16	10	1
2012-10-02 17:00:00	20.3	1775.1	61200	1349197200	861217	23.11	17	10	1
2012-10-02 18:00:00	20.3	1736.3	64800	1349200800	840041	23.11	18	10	1
2012-10-02 19:00:00	20.7	1396.8	68400	1349204400	710306	23.11	19	10	1
2012-10-02 20:00:00	20.7	1328.9	72000	1349208000	666119	23.11	20	10	1
2012-10-02 21:00:00	20.7	1115.5	75600	1349211600	542007	23.11	21	10	1
2012-10-02 22:00:00	20.7	1251.3	79200	1349215200	618373	23.11	22	10	1
