	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek
2011-04-01 00:00:00	3.6	58.2	0	1301616000	35675	15.11	0	4	4
2011-04-01 01:00:00	3.0	58.2	3600	1301619600	35675	15.11	1	4	4
2011-04-01 02:00:00	2.8	58.2	7200	1301623200	35675	15.11	2	4	4
2011-04-01 03:00:00	2.5	58.2	10800	1301626800	35675	15.11	3	4	4
2011-04-01 04:00:00	2.3	58.2	14400	1301630400	35675	15.11	4	4	4
2011-04-01 05:00:00	1.7	58.2	18000	1301634000	35675	15.11	5	4	4
2011-04-01 06:00:00	2.3	58.2	21600	1301637600	35675	15.11	6	4	4
2011-04-01 07:00:00	3.1	58.2	25200	1301641200	35675	15.11	7	4	4
2011-04-01 08:00:00	4.0	58.2	28800	1301644800	35675	15.11	8	4	4
2011-04-01 09:00:00	4.4	58.2	32400	1301648400	35675	15.11	9	4	4
2011-04-01 10:00:00	4.7	58.2	36000	1301652000	35675	15.11	10	4	4
2011-04-01 11:00:00	4.3	58.2	39600	1301655600	35675	15.11	11	4	4
2011-04-01 12:00:00	4.1	58.2	43200	1301659200	35675	15.11	12	4	4
2011-04-01 13:00:00	4.7	58.2	46800	1301662800	35675	15.11	13	4	4
2011-04-01 14:00:00	4.5	58.2	50400	1301666400	35675	15.11	14	4	4
2011-04-01 15:00:00	3.9	58.2	54000	1301670000	35675	15.11	15	4	4
2011-04-01 16:00:00	4.5	58.2	57600	1301673600	35675	15.11	16	4	4
2011-04-01 17:00:00	4.0	58.2	61200	1301677200	35675	15.11	17	4	4
2011-04-01 18:00:00	3.7	58.2	64800	1301680800	35675	15.11	18	4	4
2011-04-01 19:00:00	3.4	58.2	68400	1301684400	35675	15.11	19	4	4
2011-04-01 20:00:00	3.1	58.2	72000	1301688000	35675	15.11	20	4	4
2011-04-01 21:00:00	2.8	58.2	75600	1301691600	35675	15.11	21	4	4
2011-04-01 22:00:00	2.5	58.2	79200	1301695200	35675	15.11	22	4	4
2011-04-01 23:00:00	2.5	58.2	82800	1301698800	35675	15.11	23	4	4
2011-04-02 00:00:00	1.8	58.2	0	1301702400	35675	15.11	0	4	5
2011-04-02 01:00:00	1.5	58.2	3600	1301706000	35675	15.11	1	4	5
2011-04-02 02:00:00	0.9	58.2	7200	1301709600	35675	15.11	2	4	5
2011-04-02 03:00:00	-0.2	58.2	10800	1301713200	35675	15.11	3	4	5
2011-04-02 04:00:00	-0.2	58.2	14400	1301716800	35675	15.11	4	4	5
2011-04-02 05:00:00	0.1	58.2	18000	1301720400	35675	15.11	5	4	5
2011-04-02 06:00:00	1.7	58.2	21600	1301724000	35675	15.11	6	4	5
2011-04-02 07:00:00	3.0	58.2	25200	1301727600	35675	15.11	7	4	5
2011-04-02 08:00:00	4.1	58.2	28800	1301731200	35675	15.11	8	4	5
2011-04-02 09:00:00	5.3	58.2	32400	1301734800	35675	15.11	9	4	5
2011-04-02 10:00:00	5.8	58.2	36000	1301738400	35675	15.11	10	4	5
2011-04-02 11:00:00	5.5	58.2	39600	1301742000	35675	15.11	11	4	5
2011-04-02 12:00:00	6.4	58.2	43200	1301745600	35675	15.11	12	4	5
2011-04-02 13:00:00	4.0	58.2	46800	1301749200	35675	15.11	13	4	5
2011-04-02 14:00:00	7.3	58.2	50400	1301752800	35675	15.11	14	4	5
2011-04-02 15:00:00	6.5	58.2	54000	1301756400	35675	15.11	15	4	5
2011-04-02 16:00:00	5.5	58.2	57600	1301760000	35675	15.11	16	4	5
2011-04-02 17:00:00	5.0	58.2	61200	1301763600	35675	15.11	17	4	5
2011-04-02 18:00:00	3.9	58.2	64800	1301767200	35675	15.11	18	4	5
2011-04-02 19:00:00	4.0	58.2	68400	1301770800	35675	15.11	19	4	5
2011-04-02 20:00:00	3.6	58.2	72000	1301774400	35675	15.11	20	4	5
2011-04-02 21:00:00	3.5	58.2	75600	1301778000	35675	15.11	21	4	5
2011-04-02 22:00:00	3.2	58.2	79200	1301781600	35675	15.11	22	4	5
2011-04-02 23:00:00	2.9	58.2	82800	1301785200	35675	15.11	23	4	5
2011-04-03 00:00:00	2.9	58.2	0	1301788800	35675	15.11	0	4	6
2011-04-03 01:00:00	2.2	58.2	3600	1301792400	35675	15.11	1	4	6
2011-04-03 02:00:00	2.2	58.2	7200	1301796000	35675	15.11	2	4	6
2011-04-03 03:00:00	2.2	58.2	10800	1301799600	35675	15.11	3	4	6
2011-04-03 04:00:00	2.0	58.2	14400	1301803200	35675	15.11	4	4	6
2011-04-03 05:00:00	1.7	58.2	18000	1301806800	35675	15.11	5	4	6
2011-04-03 06:00:00	2.9	58.2	21600	1301810400	35675	15.11	6	4	6
2011-04-03 07:00:00	4.4	58.2	25200	1301814000	35675	15.11	7	4	6
2011-04-03 08:00:00	5.4	58.2	28800	1301817600	35675	15.11	8	4	6
2011-04-03 09:00:00	5.8	58.2	32400	1301821200	35675	15.11	9	4	6
2011-04-03 10:00:00	5.9	58.2	36000	1301824800	35675	15.11	10	4	6
2011-04-03 11:00:00	6.5	58.2	39600	1301828400	35675	15.11	11	4	6
2011-04-03 12:00:00	6.8	58.2	43200	1301832000	35675	15.11	12	4	6
2011-04-03 13:00:00	7.4	58.2	46800	1301835600	35675	15.11	13	4	6
2011-04-03 14:00:00	6.6	58.2	50400	1301839200	35675	15.11	14	4	6
2011-04-03 15:00:00	6.5	58.2	54000	1301842800	35675	15.11	15	4	6
2011-04-03 16:00:00	6.4	485.0	57600	1301846400	167957	15.11	16	4	6
2011-04-03 17:00:00	6.5	58.2	61200	1301850000	35675	15.11	17	4	6
2011-04-03 18:00:00	6.2	58.2	64800	1301853600	35675	15.11	18	4	6
2011-04-03 19:00:00	6.0	58.2	68400	1301857200	35675	15.11	19	4	6
2011-04-03 20:00:00	6.5	58.2	72000	1301860800	35675	15.11	20	4	6
2011-04-03 21:00:00	6.6	58.2	75600	1301864400	35675	15.11	21	4	6
2011-04-03 22:00:00	6.7	58.2	79200	1301868000	35675	15.11	22	4	6
2011-04-03 23:00:00	6.6	58.2	82800	1301871600	35675	15.11	23	4	6
2011-04-04 00:00:00	6.8	58.2	0	1301875200	35675	15.11	0	4	0
2011-04-04 01:00:00	6.8	58.2	3600	1301878800	35675	15.11	1	4	0
2011-04-04 02:00:00	7.0	58.2	7200	1301882400	35675	15.11	2	4	0
2011-04-04 03:00:00	6.1	58.2	10800	1301886000	35675	15.11	3	4	0
2011-04-04 04:00:00	5.8	58.2	14400	1301889600	35675	15.11	4	4	0
2011-04-04 05:00:00	6.1	58.2	18000	1301893200	35675	15.11	5	4	0
2011-04-04 06:00:00	6.6	58.2	21600	1301896800	35675	15.11	6	4	0
2011-04-04 07:00:00	8.6	58.2	25200	1301900400	35675	15.11	7	4	0
2011-04-04 08:00:00	10.2	58.2	28800	1301904000	35675	15.11	8	4	0
2011-04-04 09:00:00	12.2	58.2	32400	1301907600	35950	15.11	9	4	0
2011-04-04 10:00:00	12.4	58.2	36000	1301911200	36013	15.11	10	4	0
2011-04-04 11:00:00	13.8	58.2	39600	1301914800	38299	16.11	11	4	0
2011-04-04 12:00:00	15.1	58.2	43200	1301918400	40564	17.11	12	4	0
2011-04-04 13:00:00	15.5	921.5	46800	1301922000	386432	18.11	13	4	0
2011-04-04 14:00:00	15.7	572.3	50400	1301925600	258825	15.11	14	4	0
2011-04-04 15:00:00	15.9	717.8	54000	1301929200	337529	15.11	15	4	0
2011-04-04 16:00:00	15.5	776.0	57600	1301932800	369098	15.11	16	4	0
2011-04-04 17:00:00	14.9	756.6	61200	1301936400	342998	18.11	17	4	0
2011-04-04 18:00:00	14.7	727.5	64800	1301940000	322795	18.11	18	4	0
2011-04-04 19:00:00	14.4	679.0	68400	1301943600	291913	17.11	19	4	0
2011-04-04 20:00:00	14.6	475.3	72000	1301947200	192608	17.11	20	4	0
2011-04-04 21:00:00	16.0	58.2	75600	1301950800	42090	18.11	21	4	0
2011-04-04 22:00:00	15.5	436.5	79200	1301954400	183845	18.11	22	4	0
2011-04-04 23:00:00	15.5	426.8	82800	1301958000	180254	18.11	23	4	0
2011-04-05 00:00:00	15.5	436.5	0	1301961600	183845	18.11	0	4	1
2011-04-05 01:00:00	16.2	436.5	3600	1301965200	189534	19.11	1	4	1
2011-04-05 02:00:00	16.3	58.2	7200	1301968800	42648	18.11	2	4	1
2011-04-05 03:00:00	16.8	58.2	10800	1301972400	43638	18.11	3	4	1
2011-04-05 04:00:00	14.3	58.2	14400	1301976000	39237	16.11	4	4	1
2011-04-05 05:00:00	14.3	58.2	18000	1301979600	39237	16.11	5	4	1
2011-04-05 06:00:00	14.2	58.2	21600	1301983200	39080	16.11	6	4	1
2011-04-05 07:00:00	10.2	58.2	25200	1301986800	35675	15.11	7	4	1
2011-04-05 08:00:00	8.0	58.2	28800	1301990400	35675	15.11	8	4	1
2011-04-05 09:00:00	7.5	58.2	32400	1301994000	35675	15.11	9	4	1
2011-04-05 10:00:00	5.6	58.2	36000	1301997600	35675	15.11	10	4	1
2011-04-05 11:00:00	4.9	58.2	39600	1302001200	35675	15.11	11	4	1
2011-04-05 12:00:00	5.5	58.2	43200	1302004800	35675	15.11	12	4	1
2011-04-05 13:00:00	6.0	591.7	46800	1302008400	210228	15.11	13	4	1
2011-04-05 14:00:00	5.6	58.2	50400	1302012000	35675	15.11	14	4	1
2011-04-05 15:00:00	5.8	58.2	54000	1302015600	35675	15.11	15	4	1
2011-04-05 16:00:00	5.1	58.2	57600	1302019200	35675	15.11	16	4	1
2011-04-05 17:00:00	5.0	436.5	61200	1302022800	151274	15.11	17	4	1
2011-04-05 18:00:00	3.1	58.2	64800	1302026400	35675	15.11	18	4	1
2011-04-05 19:00:00	2.6	407.4	68400	1302030000	142155	15.11	19	4	1
2011-04-05 20:00:00	2.0	58.2	72000	1302033600	35675	15.11	20	4	1
2011-04-05 21:00:00	1.8	58.2	75600	1302037200	35675	15.11	21	4	1
2011-04-05 22:00:00	1.5	388.0	79200	1302040800	136527	15.11	22	4	1
2011-04-05 23:00:00	1.4	475.3	82800	1302044400	163874	15.11	23	4	1
2011-04-06 00:00:00	0.7	58.2	0	1302048000	35675	15.11	0	4	2
2011-04-06 01:00:00	0.7	58.2	3600	1302051600	35675	15.11	1	4	2
2011-04-06 02:00:00	0.7	58.2	7200	1302055200	35675	15.11	2	4	2
