	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek
2012-07-01 00:00:00	22.2	1319.2	0	1341100800	679317	25.11	0	7	6
2012-07-01 01:00:00	22.5	1144.6	3600	1341104400	576617	25.11	1	7	6
2012-07-01 02:00:00	22.2	1105.8	7200	1341108000	553397	25.11	2	7	6
2012-07-01 03:00:00	22.2	1115.5	10800	1341111600	558619	25.11	3	7	6
2012-07-01 04:00:00	22.2	1096.1	14400	1341115200	548222	25.11	4	7	6
2012-07-01 05:00:00	22.9	1067.0	18000	1341118800	538522	25.11	5	7	6
2012-07-01 06:00:00	23.9	1076.7	21600	1341122400	551815	26.11	6	7	6
2012-07-01 07:00:00	24.3	1067.0	25200	1341126000	553023	26.11	7	7	6
2012-07-01 08:00:00	24.3	1425.9	28800	1341129600	785630	26.11	8	7	6
2012-07-01 09:00:00	24.7	1396.8	32400	1341133200	781237	26.11	9	7	6
2012-07-01 10:00:00	24.5	1425.9	36000	1341136800	793285	26.11	10	7	6
2012-07-01 11:00:00	25.0	1474.4	39600	1341140400	857786	26.11	11	7	6
2012-07-01 12:00:00	24.7	1571.4	43200	1341144000	916844	26.11	12	7	6
2012-07-01 13:00:00	24.8	1726.6	46800	1341147600	930938	26.11	13	7	6
2012-07-01 14:00:00	23.9	1280.4	50400	1341151200	674013	26.11	14	7	6
2012-07-01 15:00:00	23.5	873.0	54000	1341154800	449600	26.11	15	7	6
2012-07-01 16:00:00	23.3	1319.2	57600	1341158400	692533	26.11	16	7	6
2012-07-01 17:00:00	24.1	1309.5	61200	1341162000	697416	26.11	17	7	6
2012-07-01 18:00:00	24.0	1309.5	64800	1341165600	695203	26.11	18	7	6
2012-07-01 19:00:00	23.5	1328.9	68400	1341169200	700787	26.11	19	7	6
2012-07-01 20:00:00	23.0	1377.4	72000	1341172800	729785	26.11	20	7	6
2012-07-01 21:00:00	23.2	1348.3	75600	1341176400	711249	26.11	21	7	6
2012-07-01 22:00:00	22.5	1358.0	79200	1341180000	707826	25.11	22	7	6
2012-07-01 23:00:00	22.7	1290.1	82800	1341183600	666095	25.11	23	7	6
2012-07-02 00:00:00	21.3	659.6	0	1341187200	333622	24.11	0	7	0
2012-07-02 01:00:00	20.8	543.2	3600	1341190800	264125	23.11	1	7	0
2012-07-02 02:00:00	19.4	902.1	7200	1341194400	428647	22.11	2	7	0
2012-07-02 03:00:00	20.2	533.5	10800	1341198000	256275	23.11	3	7	0
2012-07-02 04:00:00	20.4	533.5	14400	1341201600	256988	23.11	4	7	0
2012-07-02 05:00:00	20.4	523.8	18000	1341205200	252217	23.11	5	7	0
2012-07-02 06:00:00	21.1	533.5	21600	1341208800	261383	24.11	6	7	0
2012-07-02 07:00:00	21.5	873.0	25200	1341212400	436022	24.11	7	7	0
2012-07-02 08:00:00	21.4	1920.6	28800	1341216000	966202	24.11	8	7	0
2012-07-02 09:00:00	21.9	1804.2	32400	1341219600	907235	24.11	9	7	0
