	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek
2012-02-01 00:00:00	7.1	727.5	0	1328054400	277052	15.11	0	2	2
2012-02-01 01:00:00	7.3	698.4	3600	1328058000	261759	15.11	1	2	2
2012-02-01 02:00:00	7.6	708.1	7200	1328061600	267028	15.11	2	2	2
2012-02-01 03:00:00	7.3	717.8	10800	1328065200	271968	15.11	3	2	2
2012-02-01 04:00:00	7.0	776.0	14400	1328068800	253771	15.11	4	2	2
2012-02-01 05:00:00	7.1	455.9	18000	1328072400	158104	15.11	5	2	2
2012-02-01 06:00:00	7.1	523.8	21600	1328076000	182653	15.11	6	2	2
2012-02-01 07:00:00	7.1	572.3	25200	1328079600	202293	15.11	7	2	2
2012-02-01 08:00:00	7.7	640.2	28800	1328083200	233075	15.11	8	2	2
2012-02-01 09:00:00	8.8	679.0	32400	1328086800	253067	15.11	9	2	2
2012-02-01 10:00:00	9.4	717.8	36000	1328090400	274401	15.11	10	2	2
2012-02-01 11:00:00	10.4	727.5	39600	1328094000	282840	15.11	11	2	2
2012-02-01 12:00:00	12.7	708.1	43200	1328097600	291338	16.11	12	2	2
2012-02-01 13:00:00	12.7	679.0	46800	1328101200	274739	16.11	13	2	2
2012-02-01 14:00:00	12.9	679.0	50400	1328104800	276683	16.11	14	2	2
2012-02-01 15:00:00	12.9	504.4	54000	1328108400	191372	16.11	15	2	2
2012-02-01 16:00:00	12.4	475.3	57600	1328112000	175065	15.11	16	2	2
2012-02-01 17:00:00	11.2	455.9	61200	1328115600	161500	15.11	17	2	2
2012-02-01 18:00:00	10.5	436.5	64800	1328119200	153757	15.11	18	2	2
2012-02-01 19:00:00	10.5	436.5	68400	1328122800	153757	15.11	19	2	2
2012-02-01 20:00:00	10.0	436.5	72000	1328126400	153249	15.11	20	2	2
2012-02-01 21:00:00	9.4	455.9	75600	1328130000	159219	15.11	21	2	2
2012-02-01 22:00:00	8.9	640.2	79200	1328133600	234027	15.11	22	2	2
2012-02-01 23:00:00	9.2	630.5	82800	1328137200	229756	15.11	23	2	2
2012-02-02 00:00:00	8.7	591.7	0	1328140800	211559	15.11	0	2	3
