	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek
2012-05-01 00:00:00	12.5	640.2	0	1335830400	252217	16.11	0	5	1
2012-05-01 01:00:00	12.8	640.2	3600	1335834000	254551	16.11	1	5	1
2012-05-01 02:00:00	13.1	814.8	7200	1335837600	312796	16.11	2	5	1
2012-05-01 03:00:00	13.4	756.6	10800	1335841200	328365	17.11	3	5	1
2012-05-01 04:00:00	14.0	858.45	14400	1335844800	342784	17.11	4	5	1
2012-05-01 05:00:00	14.3	873.0	18000	1335848400	350601	17.11	5	5	1
2012-05-01 06:00:00	15.7	800.25	21600	1335852000	343897	18.11	6	5	1
2012-05-01 07:00:00	16.7	814.8	25200	1335855600	362353	19.11	7	5	1
2012-05-01 08:00:00	17.9	829.35	28800	1335859200	382547	20.11	8	5	1
2012-05-01 09:00:00	19.0	426.8	32400	1335862800	202256	21.11	9	5	1
2012-05-01 10:00:00	19.8	746.9	36000	1335866400	393464	19.11	10	5	1
2012-05-01 11:00:00	19.6	805.1	39600	1335870000	392457	22.11	11	5	1
2012-05-01 12:00:00	19.8	853.6	43200	1335873600	412361	22.11	12	5	1
2012-05-01 13:00:00	19.5	911.8	46800	1335877200	433306	22.11	13	5	1
2012-05-01 14:00:00	19.7	979.7	50400	1335880800	464556	22.11	14	5	1
2012-05-01 15:00:00	18.7	999.1	54000	1335884400	461939	21.11	15	5	1
2012-05-01 16:00:00	18.2	999.1	57600	1335888000	456876	21.11	16	5	1
2012-05-01 17:00:00	19.1	989.4	61200	1335891600	464140	22.11	17	5	1
2012-05-01 18:00:00	17.7	979.7	64800	1335895200	440923	20.11	18	5	1
2012-05-01 19:00:00	17.4	552.9	68400	1335898800	247672	20.11	19	5	1
2012-05-01 20:00:00	17.5	426.8	72000	1335902400	193635	20.11	20	5	1
2012-05-01 21:00:00	16.3	504.4	75600	1335906000	217405	19.11	21	5	1
2012-05-01 22:00:00	15.9	523.8	79200	1335909600	238952	15.11	22	5	1
2012-05-01 23:00:00	15.3	523.8	82800	1335913200	218566	18.11	23	5	1
2012-05-02 00:00:00	15.1	523.8	0	1335916800	217270	18.11	0	5	2
2012-05-02 01:00:00	15.6	426.8	3600	1335920400	180860	18.11	1	5	2
2012-05-02 02:00:00	16.0	611.1	7200	1335924000	267125	19.11	2	5	2
2012-05-02 03:00:00	16.2	679.0	10800	1335927600	306921	19.11	3	5	2
2012-05-02 04:00:00	16.5	649.9	14400	1335931200	293085	19.11	4	5	2
2012-05-02 05:00:00	16.0	669.3	18000	1335934800	299455	19.11	5	5	2
2012-05-02 06:00:00	15.1	669.3	21600	1335938400	291613	18.11	6	5	2
2012-05-02 07:00:00	14.8	543.2	25200	1335942000	224477	18.11	7	5	2
2012-05-02 08:00:00	14.7	591.7	28800	1335945600	247070	18.11	8	5	2
2012-05-02 09:00:00	14.7	446.2	32400	1335949200	181886	17.11	9	5	2
2012-05-02 10:00:00	14.7	776.0	36000	1335952800	353762	18.11	10	5	2
2012-05-02 11:00:00	14.9	795.4	39600	1335956400	357483	15.11	11	5	2
2012-05-02 12:00:00	15.2	882.7	43200	1335960000	368315	18.11	12	5	2
2012-05-02 13:00:00	15.7	863.3	46800	1335963600	366765	18.11	13	5	2
2012-05-02 14:00:00	15.2	892.4	50400	1335967200	371932	18.11	14	5	2
2012-05-02 15:00:00	14.9	979.7	54000	1335970800	403731	18.11	15	5	2
2012-05-02 16:00:00	14.4	979.7	57600	1335974400	393767	17.11	16	5	2
2012-05-02 17:00:00	13.9	940.9	61200	1335978000	372380	17.11	17	5	2
2012-05-02 18:00:00	13.7	940.9	64800	1335981600	368391	16.11	18	5	2
2012-05-02 19:00:00	13.4	552.9	68400	1335985200	216998	16.11	19	5	2
2012-05-02 20:00:00	12.9	465.6	72000	1335988800	176081	16.11	20	5	2
2012-05-02 21:00:00	12.6	485.0	75600	1335992400	181279	15.11	21	5	2
2012-05-02 22:00:00	12.1	494.7	79200	1335996000	180211	15.11	22	5	2
2012-05-02 23:00:00	12.1	485.0	82800	1335999600	176314	15.11	23	5	2
2012-05-03 00:00:00	12.1	475.3	0	1336003200	172502	15.11	0	5	3
2012-05-03 01:00:00	12.1	475.3	3600	1336006800	172502	15.11	1	5	3
