	Unnamed: 0	Twet	Load	Hour(s)	TimeStamp(s)	Power	Tset	Hour	month	DayofWeek	Load_dis	Twet_dis	Tset_BN
57	2012-03-15 17:00:00	13.5	683.85	61200	1331830800	285695	17.11	17	3	3	700	14.0	17.11
58	2012-09-11 11:00:00	13.8	659.6	39600	1347361200	274394	17.11	11	9	1	700	14.0	17.11
59	2012-09-16 21:00:00	13.4	698.4	75600	1347829200	293337	17.11	21	9	6	700	14.0	17.11
60	2012-09-20 21:00:00	13.5	698.4	75600	1348174800	294028	17.11	21	9	3	700	14.0	17.11
61	2012-03-01 08:00:00	13.6	717.8	28800	1330588800	306212	17.11	8	3	3	750	14.0	17.11
62	2012-03-15 09:00:00	13.9	712.95	32400	1331802000	306052	17.11	9	3	3	750	14.0	17.11
63	2012-03-16 15:00:00	13.5	708.1	54000	1331910000	299685	17.11	15	3	4	750	14.0	17.11
64	2012-09-19 02:00:00	13.5	727.5	7200	1348020000	311239	17.11	2	9	2	750	14.0	17.11
65	2012-09-20 10:00:00	13.8	737.2	36000	1348135200	319815	17.11	10	9	3	750	14.0	17.11
66	2012-03-01 09:00:00	11.2	717.8	32400	1330592400	282131	15.11	9	3	3	750	12.0	15.11
67	2012-06-05 07:00:00	11.7	727.5	25200	1338879600	292428	15.11	7	6	1	750	12.0	15.11
68	2012-09-11 00:00:00	11.5	708.1	0	1347321600	279159	15.11	0	9	1	750	12.0	15.11
69	2012-03-01 10:00:00	10.5	708.1	36000	1330596000	272485	15.11	10	3	3	750	11.0	15.11
70	2012-03-01 11:00:00	10.4	708.1	39600	1330599600	272052	15.11	11	3	3	750	11.0	15.11
71	2012-03-16 10:00:00	10.2	708.1	36000	1331892000	271286	15.11	10	3	4	750	11.0	15.11
72	2012-03-01 12:00:00	11.1	640.2	43200	1330603200	239726	15.11	12	3	3	650	12.0	15.11
73	2012-06-05 23:00:00	11.0	640.2	82800	1338937200	239186	15.11	23	6	1	650	12.0	15.11
74	2012-06-08 03:00:00	11.8	620.8	10800	1339124400	235081	15.11	3	6	4	650	12.0	15.11
75	2012-06-08 04:00:00	11.3	630.5	14400	1339128000	236055	15.11	4	6	4	650	12.0	15.11
76	2012-09-23 01:00:00	11.5	620.8	3600	1348362000	232588	15.11	1	9	6	650	12.0	15.11
77	2012-09-23 02:00:00	11.0	601.4	7200	1348365600	220345	15.11	2	9	6	650	12.0	15.11
78	2012-09-24 10:00:00	11.1	601.4	36000	1348480800	220798	15.11	10	9	0	650	12.0	15.11
79	2012-09-29 04:00:00	11.8	630.5	14400	1348891200	240018	15.11	4	9	5	650	12.0	15.11
80	2012-03-01 13:00:00	10.6	630.5	46800	1330606800	232690	15.11	13	3	3	650	11.0	15.11
81	2012-03-01 14:00:00	10.4	58.2	50400	1330610400	35675	15.11	14	3	3	100	11.0	15.11
82	2012-03-01 15:00:00	10.2	58.2	54000	1330614000	35675	15.11	15	3	3	100	11.0	15.11
83	2012-03-07 19:00:00	10.5	58.2	68400	1331146800	35675	15.11	19	3	2	100	11.0	15.11
84	2012-03-07 20:00:00	10.3	58.2	72000	1331150400	35675	15.11	20	3	2	100	11.0	15.11
85	2012-03-07 21:00:00	10.2	58.2	75600	1331154000	35675	15.11	21	3	2	100	11.0	15.11
86	2012-03-07 22:00:00	10.5	58.2	79200	1331157600	35675	15.11	22	3	2	100	11.0	15.11
87	2012-03-07 23:00:00	10.2	58.2	82800	1331161200	35675	15.11	23	3	2	100	11.0	15.11
88	2012-03-08 00:00:00	10.2	58.2	0	1331164800	35675	15.11	0	3	3	100	11.0	15.11
89	2012-03-08 01:00:00	10.2	58.2	3600	1331168400	35675	15.11	1	3	3	100	11.0	15.11
90	2012-03-08 02:00:00	10.2	58.2	7200	1331172000	35675	15.11	2	3	3	100	11.0	15.11
91	2012-03-08 04:00:00	10.2	58.2	14400	1331179200	35675	15.11	4	3	3	100	11.0	15.11
92	2012-03-12 12:00:00	10.3	58.2	43200	1331553600	35675	15.11	12	3	0	100	11.0	15.11
93	2012-03-12 22:00:00	10.7	58.2	79200	1331589600	35675	15.11	22	3	0	100	11.0	15.11
94	2012-03-14 03:00:00	10.7	58.2	10800	1331694000	35675	15.11	3	3	2	100	11.0	15.11
95	2012-03-14 05:00:00	10.4	58.2	18000	1331701200	35675	15.11	5	3	2	100	11.0	15.11
96	2012-09-20 00:00:00	10.2	58.2	0	1348099200	35675	15.11	0	9	3	100	11.0	15.11
97	2012-09-30 04:00:00	10.2	58.2	14400	1348977600	35675	15.11	4	9	6	100	11.0	15.11
98	2012-12-08 15:00:00	10.7	58.2	54000	1354978800	35675	15.11	15	12	5	100	11.0	15.11
99	2012-12-18 09:00:00	10.2	58.2	32400	1355821200	35675	15.11	9	12	1	100	11.0	15.11
100	2012-03-01 16:00:00	8.9	649.9	57600	1330617600	238707	15.11	16	3	3	650	10.0	15.11
101	2012-03-09 01:00:00	9.9	649.9	3600	1331254800	240263	15.11	1	3	4	650	10.0	15.11
102	2012-03-09 03:00:00	6.0	649.9	10800	1331262000	236932	15.11	3	3	4	650	10.0	15.11
103	2012-03-11 12:00:00	6.7	640.2	43200	1331467200	232576	15.11	12	3	6	650	10.0	15.11
104	2012-03-12 00:00:00	2.7	630.5	0	1331510400	226879	15.11	0	3	0	650	10.0	15.11
105	2012-03-12 02:00:00	1.8	611.1	7200	1331517600	217892	15.11	2	3	0	650	10.0	15.11
106	2012-03-16 08:00:00	9.7	649.9	28800	1331884800	239862	15.11	8	3	4	650	10.0	15.11
107	2012-09-24 21:00:00	8.9	611.1	75600	1348520400	220427	15.11	21	9	0	650	10.0	15.11
108	2012-09-24 22:00:00	8.6	640.2	79200	1348524000	233732	15.11	22	9	0	650	10.0	15.11
109	2012-09-25 01:00:00	8.0	620.8	3600	1348534800	224179	15.11	1	9	1	650	10.0	15.11
110	2012-09-25 02:00:00	7.8	611.1	7200	1348538400	219626	15.11	2	9	1	650	10.0	15.11
111	2012-12-23 11:00:00	0.7	620.8	39600	1356260400	222168	15.11	11	12	6	650	10.0	15.11
112	2012-12-23 12:00:00	1.2	620.8	43200	1356264000	222216	15.11	12	12	6	650	10.0	15.11
113	2012-12-23 13:00:00	1.7	630.5	46800	1356267600	226734	15.11	13	12	6	650	10.0	15.11
114	2012-12-23 14:00:00	2.0	640.2	50400	1356271200	231308	15.11	14	12	6	650	10.0	15.11
115	2012-12-23 16:00:00	0.7	649.9	57600	1356278400	235753	15.11	16	12	6	650	10.0	15.11
116	2012-12-23 17:00:00	-0.7	640.2	61200	1356282000	231037	15.11	17	12	6	650	10.0	15.11
117	2012-12-23 19:00:00	-1.9	649.9	68400	1356289200	235554	15.11	19	12	6	650	10.0	15.11
118	2012-12-23 21:00:00	-2.2	601.4	75600	1356296400	213295	15.11	21	12	6	650	10.0	15.11
119	2012-12-23 22:00:00	-3.5	611.1	79200	1356300000	217551	15.11	22	12	6	650	10.0	15.11
120	2012-12-23 23:00:00	-2.2	601.4	82800	1356303600	213295	15.11	23	12	6	650	10.0	15.11
121	2012-12-24 00:00:00	-2.9	601.4	0	1356307200	213267	15.11	0	12	0	650	10.0	15.11
122	2012-12-25 09:00:00	3.2	601.4	32400	1356426000	213766	15.11	9	12	1	650	10.0	15.11
123	2012-12-25 19:00:00	1.9	601.4	68400	1356462000	213584	15.11	19	12	1	650	10.0	15.11
124	2012-12-25 21:00:00	1.2	601.4	75600	1356469200	213511	15.11	21	12	1	650	10.0	15.11
125	2012-12-26 01:00:00	-0.5	611.1	3600	1356483600	217693	15.11	1	12	2	650	10.0	15.11
126	2012-12-29 19:00:00	1.6	620.8	68400	1356807600	222260	15.11	19	12	5	650	10.0	15.11
127	2012-12-29 21:00:00	0.6	611.1	75600	1356814800	217773	15.11	21	12	5	650	10.0	15.11
128	2012-12-29 22:00:00	0.6	601.4	79200	1356818400	213459	15.11	22	12	5	650	10.0	15.11
129	2012-12-29 23:00:00	0.9	601.4	82800	1356822000	213484	15.11	23	12	5	650	10.0	15.11
130	2012-12-30 00:00:00	0.4	601.4	0	1356825600	213443	15.11	0	12	6	650	10.0	15.11
131	2012-03-01 17:00:00	7.7	58.2	61200	1330621200	35675	15.11	17	3	3	100	10.0	15.11
132	2012-03-01 18:00:00	6.4	58.2	64800	1330624800	35675	15.11	18	3	3	100	10.0	15.11
133	2012-03-01 19:00:00	5.7	58.2	68400	1330628400	35675	15.11	19	3	3	100	10.0	15.11
134	2012-03-01 20:00:00	4.9	58.2	72000	1330632000	35675	15.11	20	3	3	100	10.0	15.11
135	2012-03-02 05:00:00	0.0	58.2	18000	1330664400	35675	15.11	5	3	4	100	10.0	15.11
136	2012-03-02 06:00:00	-0.6	58.2	21600	1330668000	35675	15.11	6	3	4	100	10.0	15.11
137	2012-03-02 07:00:00	2.1	58.2	25200	1330671600	35675	15.11	7	3	4	100	10.0	15.11
138	2012-03-02 08:00:00	4.4	58.2	28800	1330675200	35675	15.11	8	3	4	100	10.0	15.11
139	2012-03-02 09:00:00	3.9	58.2	32400	1330678800	35675	15.11	9	3	4	100	10.0	15.11
140	2012-03-02 10:00:00	4.7	58.2	36000	1330682400	35675	15.11	10	3	4	100	10.0	15.11
141	2012-03-02 11:00:00	5.5	58.2	39600	1330686000	35675	15.11	11	3	4	100	10.0	15.11
